train/learning_rate,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/n_updates,rollout/ep_len_mean,time/total_timesteps,time/episodes
0.001,-0.8562251925468445,6.716583251953125,-118.62629425,75,3,186,71.75,287,4
0.001,-2.0790514945983887,21.034976959228516,-119.4752345,60,10,557,82.25,658,8
0.001,0.10729480534791946,10.299642562866211,-118.43906516666668,57,15,801,75.16666666666667,902,12
0.001,-15.867687225341797,3.602877616882324,-125.89366275,52,46,2334,152.1875,2435,16
0.001,-19.234848022460938,4.57765007019043,-123.5418736,52,50,2557,132.9,2658,20
0.001,-36.606834411621094,3.509047508239746,-128.99960591666664,51,119,6074,257.2916666666667,6175,24
0.001,-38.849552154541016,4.078521251678467,-126.498417,51,124,6279,227.85714285714286,6380,28
0.001,-41.99345016479492,2.4045469760894775,-125.697436875,51,132,6709,212.8125,6810,32
0.001,-44.955322265625,2.7959446907043457,-124.9367481111111,51,139,7033,198.16666666666666,7134,36
0.001,-52.0501823425293,3.1615757942199707,-125.00849212499998,51,154,7819,198.0,7920,40
0.001,-51.59974670410156,4.454972267150879,-124.58632409090906,51,161,8143,187.36363636363637,8244,44
0.001,-52.71039962768555,4.05904483795166,-124.790716875,51,173,8740,184.1875,8841,48
0.001,-60.011348724365234,4.3511152267456055,-125.41087461538463,51,185,9358,181.90384615384616,9459,52
0.001,-57.93660354614258,5.702700614929199,-124.56848841071428,50,191,9638,173.91071428571428,9739,56
0.001,-60.91985321044922,4.791637897491455,-123.54573676666668,50,197,9959,167.66666666666666,10060,60
0.001,-57.45418930053711,4.443617820739746,-124.061603453125,50,206,10420,164.390625,10521,64
0.001,-60.764404296875,5.425130367279053,-124.09044136764706,50,213,10773,159.91176470588235,10874,68
0.001,-64.47886657714844,8.183372497558594,-124.50189845833332,50,221,11167,156.5,11268,72
0.001,-65.05125427246094,8.241423606872559,-124.78678525000001,50,234,11830,156.98684210526315,11931,76
0.001,-71.2248306274414,5.635780334472656,-125.17670857500002,50,244,12316,155.2125,12417,80
0.001,-90.02964782714844,6.987046241760254,-127.36580553571432,50,313,15781,189.07142857142858,15882,84
0.001,-104.08992767333984,11.165077209472656,-127.59339854545455,50,331,16714,191.07954545454547,16815,88
0.001,-101.86521911621094,11.489873886108398,-126.77273361956522,50,338,17052,186.44565217391303,17153,92
0.001,-108.97752380371094,7.571651458740234,-125.84326085416667,50,343,17324,181.51041666666666,17425,96
0.001,-97.44661712646484,8.414861679077148,-124.84851304000001,50,350,17670,177.71,17771,100
0.001,-105.9493637084961,10.678140640258789,-124.15283213000001,50,359,18102,179.16,18203,104
0.001,-110.49833679199219,9.825760841369629,-123.66784214,50,397,20008,194.51,20109,108
0.001,-110.96786499023438,6.700695991516113,-124.24110449,50,415,20926,201.25,21027,112
0.001,-115.046875,6.994219779968262,-123.29164912,50,428,21562,192.28,21663,116
0.001,-110.02830505371094,9.510168075561523,-123.07568604,50,435,21939,193.82,22040,120
0.001,-103.75772857666016,9.111766815185547,-121.66020372999998,50,449,22611,165.37,22712,124
0.001,-107.78895568847656,8.136215209960938,-121.61276071999998,50,455,22930,166.51,23031,128
0.001,-111.90205383300781,6.86885929107666,-121.61536876999998,50,463,23306,165.97,23407,132
0.001,-105.94646453857422,9.977764129638672,-121.63115970000001,50,469,23606,165.73,23707,136
0.001,-103.8909912109375,6.596406936645508,-121.69128604,50,479,24149,163.3,24250,140
0.001,-111.49954986572266,12.039884567260742,-122.95630271000002,50,514,25884,177.41,25985,144
0.001,-113.22270202636719,10.968921661376953,-123.36852551999999,50,527,26568,178.28,26669,148
0.001,-130.7481689453125,17.102767944335938,-124.60145036,50,560,28216,188.58,28317,152
0.001,-134.25469970703125,17.73312759399414,-125.51190988,50,583,29372,197.34,29473,156
0.001,-124.4081039428711,16.619136810302734,-126.11083899000003,50,598,30095,201.36,30196,160
0.001,-134.34066772460938,15.081001281738281,-125.88841461999996,50,610,30700,202.8,30801,164
0.001,-136.6967315673828,13.199529647827148,-126.50934022,50,628,31591,208.18,31692,168
0.001,-139.6793212890625,16.65581703186035,-127.32590559999998,50,660,33233,220.66,33334,172
0.001,-143.8498077392578,13.73905086517334,-128.10492986,50,718,36130,243.0,36231,176
0.001,-145.70677185058594,18.60757064819336,-128.11881151,50,731,36804,244.88,36905,180
0.001,-132.03453063964844,19.154117584228516,-125.74074234000001,50,771,38770,229.89,38871,184
0.001,-148.47145080566406,21.22846794128418,-124.95283898999998,50,841,42242,255.28,42343,188
0.001,-138.70555114746094,12.245528221130371,-127.72421399999996,50,928,46509,294.57,46610,192
0.001,-146.47573852539062,9.107331275939941,-129.61260886999997,50,957,47912,305.88,48013,196
0.001,-151.11412048339844,7.935938358306885,-132.26665093,50,1003,50195,325.25,50296,200
0.001,-141.63880920410156,13.508277893066406,-133.33155793999998,50,1034,51704,336.02,51805,204
0.001,-148.89317321777344,21.6890869140625,-134.15775753,50,1058,52851,328.43,52952,208
0.001,-147.91717529296875,12.243952751159668,-134.3219177,49,1086,54190,332.64,54291,212
0.001,-146.82069396972656,15.531850814819336,-134.25075789000002,49,1101,54898,333.36,54999,216
0.001,-145.7535400390625,11.92979621887207,-135.25327703,49,1117,55669,337.3,55770,220
0.001,-144.51290893554688,14.304145812988281,-135.67929207,49,1131,56317,337.06,56418,224
0.001,-145.43907165527344,9.971817970275879,-137.14103913,49,1154,57405,344.75,57506,228
0.001,-138.38674926757812,9.579753875732422,-137.71676112,49,1168,58100,347.94,58201,232
0.001,-139.4698944091797,9.009492874145508,-138.88604285999998,49,1203,59730,361.24,59831,236
