time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates
4,1799,449.75,-100.37179499999999,1442,1,,,,
8,6670,833.75,-94.61634725,1462,4,,,,
12,6952,579.3333333333334,-98.30131999999999,1460,4,,,,
16,10686,667.875,-100.9406079375,508,21,2.6145386695861816,-0.18338651955127716,0.001,685
20,10972,548.6,-103.5369009,412,26,0.5692209601402283,-0.6701884865760803,0.001,971
24,13070,544.5833333333334,-105.93117166666667,197,66,4.636204719543457,-3.6010382175445557,0.001,3069
28,13557,484.17857142857144,-106.66589571428572,179,75,0.3084830641746521,-4.289775848388672,0.001,3556
32,16585,518.28125,-110.816688875,124,133,0.21482467651367188,-8.699859619140625,0.001,6584
36,20397,566.5833333333334,-112.98602877777779,98,206,0.35809364914894104,-11.045486450195312,0.001,10396
40,21125,528.125,-114.11049969999999,95,220,0.2811804711818695,-13.011042594909668,0.001,11124
44,21403,486.4318181818182,-114.00934681818184,94,226,0.5303866863250732,-12.48494815826416,0.001,11402
48,21777,453.6875,-113.81052516666666,93,233,0.3364267945289612,-12.82474136352539,0.001,11776
52,22142,425.8076923076923,-113.93071726923077,92,240,0.5677972435951233,-14.579623222351074,0.001,12141
56,22369,399.44642857142856,-113.4972930892857,91,244,6.562808036804199,-14.867772102355957,0.001,12368
60,22637,377.28333333333336,-113.54635608333334,90,250,0.6553403735160828,-15.372722625732422,0.001,12636
64,22937,358.390625,-113.481080578125,89,255,2.8331427574157715,-16.531234741210938,0.001,12936
68,23239,341.75,-113.51231561764705,88,261,1.6698949337005615,-18.599334716796875,0.001,13238
72,23474,326.02777777777777,-113.32405170833333,88,266,1.7869755029678345,-17.328144073486328,0.001,13473
76,23789,313.0131578947368,-113.19735147368422,87,272,1.5031802654266357,-18.804649353027344,0.001,13788
80,24153,301.9125,-113.32479020000001,86,279,2.994556188583374,-19.91543960571289,0.001,14152
84,24476,291.3809523809524,-113.47441732142859,85,285,1.2512165307998657,-19.965194702148438,0.001,14475
88,24775,281.53409090909093,-113.55969261363634,84,291,1.7938792705535889,-19.917312622070312,0.001,14774
92,25041,272.1847826086956,-113.55633046739129,84,296,1.7713481187820435,-19.659313201904297,0.001,15040
96,25396,264.5416666666667,-113.82647904166667,83,303,1.471366286277771,-20.771833419799805,0.001,15395
100,25888,258.88,-114.00146632000002,82,313,0.7116581797599792,-20.909887313842773,0.001,15887
104,26225,244.26,-114.79573691999998,82,319,2.55238938331604,-20.766685485839844,0.001,16224
108,26398,197.28,-115.84595953999998,81,323,1.7321105003356934,-19.671119689941406,0.001,16397
112,26658,197.06,-116.49380143999998,81,328,1.6185026168823242,-18.920366287231445,0.001,16657
116,26931,162.45,-117.05802856999999,80,333,2.579200029373169,-22.32954978942871,0.001,16930
120,27609,166.37,-117.54004116,79,346,1.32169771194458,-23.215408325195312,0.001,17608
124,28195,151.25,-117.11303677000002,78,358,1.3205277919769287,-22.45302963256836,0.001,18194
128,28875,153.18,-117.48352664,77,371,2.3574600219726562,-23.355133056640625,0.001,18874
132,29322,127.37,-116.25261884,77,379,1.307404637336731,-20.72230339050293,0.001,19321
136,29727,93.3,-115.13875499,76,387,1.9807941913604736,-23.37017822265625,0.001,19726
140,30362,92.37,-115.23993354,75,400,2.5382747650146484,-25.27615737915039,0.001,20361
144,31026,96.23,-115.33898829000002,75,412,1.6506798267364502,-23.37860679626465,0.001,21025
148,33021,112.44,-115.92135229,73,451,2.2718632221221924,-28.40468978881836,0.001,23020
152,33911,117.69,-116.92425617999999,72,468,1.5723150968551636,-29.26412010192871,0.001,23910
156,38994,166.25,-117.14957937,68,570,1.87372624874115,-30.308887481689453,0.001,28993
160,42680,200.43,-117.84075756,66,645,1.0489020347595215,-31.767587661743164,0.001,32679
164,43296,203.59,-118.78702366999998,65,658,1.7122747898101807,-28.58534812927246,0.001,33295
168,43825,205.86,-118.97899065,65,669,0.9949400424957275,-32.90213394165039,0.001,33824
172,44249,207.75,-119.42257982,65,677,1.1047025918960571,-30.191129684448242,0.001,34248
176,44428,206.39,-119.58085745,65,681,2.0183932781219482,-30.577539443969727,0.001,34427
180,44599,204.46,-119.59401692999998,65,684,1.219859004020691,-30.067453384399414,0.001,34598
184,44760,202.84,-119.58821904,65,688,2.4358937740325928,-32.0960693359375,0.001,34759
188,44918,201.43,-119.57599598,64,691,1.2093137502670288,-30.163654327392578,0.001,34917
192,45071,200.3,-119.73853674000001,64,694,1.862889051437378,-29.2230281829834,0.001,35070
196,45221,198.25,-119.57305814999998,64,697,1.1732457876205444,-30.828617095947266,0.001,35220
200,45500,196.12,-119.48533640000001,64,702,2.1671745777130127,-28.305227279663086,0.001,35499
204,45666,194.41,-119.2161238,64,705,1.3973326683044434,-28.358829498291016,0.001,35665
208,46141,197.43,-119.55366603,64,715,2.5520429611206055,-25.431926727294922,0.001,36140
212,46540,198.82,-119.61935884999998,64,723,1.5333044528961182,-30.38007164001465,0.001,36539
216,47979,210.48,-120.11928464,63,751,1.788105845451355,-29.343263626098633,0.001,37978
220,49199,215.9,-119.27277919,63,774,1.9322903156280518,-28.28302764892578,0.001,39198
