time/total_timesteps,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,train/ent_coef,train/n_updates,train/ent_coef_loss,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,time/episodes,time/fps
1900,475.0,-16.743785858154297,50,0.582755446434021,1799,-3.5728964805603027,0.0003,0.3413606882095337,-105.32185325,4,37
5017,627.125,-23.76950454711914,119,0.22875265777111053,4916,-9.558893203735352,0.0003,0.297811895608902,-116.731616,8,41
8410,700.8333333333334,-22.78726577758789,194,0.08439324796199799,8309,-14.406686782836914,0.0003,0.31870517134666443,-112.43931791666665,12,43
11219,701.1875,-20.072315216064453,265,0.039419498294591904,11118,-13.237918853759766,0.0003,0.6880823373794556,-113.6506173125,16,42
12063,603.15,-19.408903121948242,284,0.03187008947134018,11962,-11.073856353759766,0.0003,0.563079833984375,-116.02635095000001,20,42
16734,697.25,-16.884370803833008,386,0.013935099355876446,16633,-1.198994517326355,0.0003,2.164095401763916,-115.60569674999999,24,43
17252,616.1428571428571,-16.225175857543945,398,0.01351558044552803,17151,-0.1852150559425354,0.0003,1.1189279556274414,-115.88426357142858,28,43
17728,554.0,-15.275219917297363,409,0.012941892258822918,17627,-2.3698348999023438,0.0003,0.8738212585449219,-116.51204803125,32,43
21181,588.3611111111111,-14.504952430725098,485,0.01227321196347475,21080,0.5558059215545654,0.0003,0.970024824142456,-114.65520430555557,36,43
22176,554.4,-13.201337814331055,507,0.014867734163999557,22075,1.429990530014038,0.0003,0.6363661289215088,-114.66376365,40,43
24166,549.2272727272727,-12.9822359085083,551,0.018002402037382126,24065,0.5529148578643799,0.0003,0.9951094388961792,-116.98657488636364,44,43
24459,509.5625,-12.720353126525879,557,0.017886649817228317,24358,-2.923039674758911,0.0003,1.121480941772461,-116.42454841666667,48,43
25252,485.61538461538464,-10.684207916259766,575,0.018250741064548492,25151,-1.1470856666564941,0.0003,1.8440741300582886,-117.43133913461536,52,43
27016,482.42857142857144,-10.765472412109375,614,0.016213160008192062,26915,-1.667870044708252,0.0003,1.2343287467956543,-118.88751142857143,56,43
33416,556.9333333333333,-10.250408172607422,755,0.011493327096104622,33315,-1.3276050090789795,0.0003,0.47069022059440613,-116.71906461666666,60,44
