rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,time/total_timesteps,train/critic_loss,time/time_elapsed,train/n_updates,time/episodes
137.25,52,-115.3736425,0.001,1.5646978616714478,549,5.438880920410156,10,448,4
121.125,52,-110.03419550000001,0.001,3.263108015060425,969,32.40752410888672,18,868,8
112.16666666666667,51,-108.18892266666667,0.001,4.7933759689331055,1346,3.087350845336914,25,1245,12
331.3125,50,-122.8480381875,0.001,0.4294191002845764,5301,2.848118543624878,104,5200,16
378.75,50,-133.35495495,0.001,-3.7573297023773193,7575,3.681283950805664,149,7474,20
322.25,50,-128.850525,0.001,-2.0094780921936035,7734,3.524606704711914,153,7633,24
283.5,50,-125.26970471428571,0.001,-2.3248214721679688,7938,4.263310432434082,157,7837,28
254.1875,50,-122.4126148125,0.001,-1.9969241619110107,8134,7.8651909828186035,161,8033,32
231.5,50,-120.34875058333334,0.001,-2.526585102081299,8334,6.857508659362793,165,8233,36
213.65,50,-118.92798842500001,0.001,-1.6503201723098755,8546,3.961782932281494,169,8445,40
199.4090909090909,50,-117.52858447727273,0.001,0.8033522367477417,8774,3.092909336090088,173,8673,44
189.52083333333334,50,-117.4953375,0.001,-2.7476933002471924,9097,3.9041242599487305,180,8996,48
180.67307692307693,50,-116.68792626923079,0.001,0.7091256380081177,9395,3.5131044387817383,186,9294,52
174.21428571428572,50,-116.48315707142858,0.001,0.3425654172897339,9756,3.313271999359131,193,9655,56
168.46666666666667,50,-115.78372606666669,0.001,2.1469666957855225,10108,7.278164863586426,200,10007,60
163.4375,50,-115.585035921875,0.001,5.161822319030762,10460,3.5708422660827637,207,10359,64
158.4264705882353,50,-116.01936019117647,0.001,5.910312175750732,10773,7.697031021118164,214,10672,68
154.625,50,-116.44078745833333,0.001,4.466729164123535,11133,5.551492691040039,221,11032,72
151.4078947368421,50,-116.1709210526316,0.001,4.9284348487854,11507,3.4605448246002197,228,11406,76
147.1125,50,-115.53880880000001,0.001,6.112212181091309,11769,3.5877878665924072,233,11668,80
144.73809523809524,50,-115.06198575,0.001,7.447196960449219,12158,4.4652605056762695,241,12057,84
140.85227272727272,50,-114.55135156818183,0.001,9.910218238830566,12395,4.224130153656006,246,12294,88
137.41304347826087,50,-114.06127056521744,0.001,10.26779842376709,12642,8.611948013305664,251,12541,92
138.69791666666666,50,-113.93428021875,0.001,8.967432975769043,13315,3.126883029937744,264,13214,96
147.39,50,-115.01447719,0.001,11.612799644470215,14739,3.679046630859375,293,14638,100
159.91,50,-115.00720166,0.001,14.425963401794434,16540,3.229130506515503,328,16439,104
189.4,50,-114.97832579999998,0.001,14.849995613098145,19909,3.922790050506592,396,19808,108
204.15,50,-114.93598461000002,0.001,13.596519470214844,21761,4.1127519607543945,433,21660,112
167.57,50,-112.21614217000003,0.001,16.752277374267578,22058,3.1672353744506836,439,21957,116
163.22,49,-109.53220609999998,0.001,16.302536010742188,23897,3.5282840728759766,479,23796,120
225.63,49,-110.31507331,0.001,15.527894973754883,30297,4.435480117797852,607,30196,124
272.04,49,-110.46079753999999,0.001,13.302529335021973,35142,4.291234016418457,704,35041,128
287.91,49,-111.09487073,0.001,14.794485092163086,36925,2.422739267349243,740,36824,132
288.01,49,-111.59519125000001,0.001,13.7410888671875,37135,3.284696102142334,744,37034,136
319.34,49,-111.52670245000002,0.001,16.889915466308594,40480,3.816741704940796,812,40379,140
335.6,49,-111.95579545999999,0.001,15.937156677246094,42334,3.625835418701172,850,42233,144
381.22,49,-111.50515698999999,0.001,14.697864532470703,47219,3.430781126022339,949,47118,148
427.16,49,-111.97916041,0.001,14.531865119934082,52111,2.4095406532287598,1050,52010,152
429.76,49,-112.67741609999999,0.001,14.2172212600708,52732,2.1890881061553955,1063,52631,156
438.79,49,-113.88599067999998,0.001,15.174095153808594,53987,2.417780637741089,1089,53886,160
446.74,49,-114.84347205,0.001,15.981850624084473,55134,1.9896259307861328,1113,55033,164
447.03,49,-114.82096836,0.001,13.715863227844238,55476,3.159613609313965,1120,55375,168
445.6,49,-114.69911572000001,0.001,14.698369026184082,55693,3.018537998199463,1124,55592,172
444.88,49,-115.12605531000001,0.001,10.823195457458496,55995,4.409635543823242,1131,55894,176
446.04,49,-116.02583472,0.001,11.722949028015137,56373,3.8892996311187744,1139,56272,180
445.32,49,-116.77501320000002,0.001,10.565975189208984,56690,4.472200393676758,1146,56589,184
448.18,49,-117.54247162,0.001,9.394417762756348,57213,3.4014718532562256,1157,57112,188
449.89,49,-118.22598961999998,0.001,10.361117362976074,57631,2.9069364070892334,1166,57530,192
447.03,49,-118.59325953,0.001,8.34822940826416,58018,8.671537399291992,1174,57917,196
436.93,49,-117.84008817,0.001,8.299220085144043,58432,4.442544937133789,1183,58331,200
422.43,49,-118.11836433999999,0.001,6.934334754943848,58783,6.394106388092041,1190,58682,204
392.36,49,-118.68350444,0.001,8.65805721282959,59145,6.498868942260742,1198,59044,208
376.75,49,-119.30261848000002,0.001,3.3714702129364014,59436,5.8806891441345215,1204,59335,212
376.28,49,-119.89845632000001,0.001,5.182314395904541,59686,4.686075687408447,1210,59585,216
361.16,49,-120.13643457,0.001,3.6666030883789062,60013,5.461048126220703,1217,59912,220
302.05,49,-119.79594940000001,0.001,4.09027099609375,60502,5.995004653930664,1228,60401,224
256.44,49,-120.16879152,0.001,1.7661479711532593,60786,4.888252258300781,1234,60685,228
243.87,49,-120.27815872,0.001,1.9425365924835205,61312,7.101590156555176,1246,61211,232
248.86,49,-120.47213058999999,0.001,2.9162991046905518,62021,7.005454063415527,1261,61920,236
222.22,49,-120.95675357000002,0.001,1.783156156539917,62702,5.229543209075928,1276,62601,240
208.73,49,-120.98868698,0.001,3.0432682037353516,63207,4.173333168029785,1288,63106,244
165.69,49,-121.43118139,0.001,3.327939033508301,63788,4.312979698181152,1301,63687,248
119.28,48,-121.10833133,0.001,5.833921432495117,64039,4.740939617156982,1307,63938,252
115.86,48,-120.20865038999996,0.001,3.929616689682007,64318,3.3658719062805176,1313,64217,256
108.44,48,-119.21987465999999,0.001,6.725258827209473,64831,7.1868391036987305,1325,64730,260
101.68,48,-118.03021678,0.001,3.218459367752075,65302,6.493141174316406,1336,65201,264
102.19,48,-117.42193370000001,0.001,3.769822597503662,65695,4.331686973571777,1345,65594,268
105.15,48,-116.75754424,0.001,4.716080188751221,66208,5.356245517730713,1357,66107,272
104.8,48,-116.24418488,0.001,8.4826078414917,66475,5.144486904144287,1363,66374,276
103.76,48,-115.46631482999999,0.001,4.349787712097168,66749,5.531441688537598,1369,66648,280
105.92,48,-114.62434776,0.001,7.0205397605896,67282,7.8061299324035645,1382,67181,284
134.87,48,-114.33200503000002,0.001,6.274415969848633,70700,3.2469658851623535,1463,70599,288
164.86,47,-114.17840316999998,0.001,7.372004508972168,74117,4.181442737579346,1546,74016,292
224.99,47,-114.59843676999999,0.001,9.56753158569336,80517,4.674375534057617,1709,80416,296
279.97,46,-112.38322789,0.001,8.443154335021973,86429,3.024204969406128,1871,86328,300
317.74,45,-109.42338074999999,0.001,8.74209976196289,90557,4.002769947052002,1989,90456,304
373.1,44,-106.21852326,0.001,6.063166618347168,96455,2.661792278289795,2162,96354,308
423.01,44,-102.96917606,0.001,8.471592903137207,101737,4.679549217224121,2310,101636,312
468.21,43,-101.87586075999998,0.001,8.822986602783203,106507,3.652367115020752,2444,106406,316
528.94,42,-99.08130223999999,0.001,8.439859390258789,112907,4.218012809753418,2631,112806,320
588.05,42,-96.83024878999998,0.001,7.279985427856445,119307,1.7044267654418945,2814,119206,324
633.27,41,-93.47019798000001,0.001,8.066167831420898,124113,2.773425579071045,2955,124012,328
681.0,41,-89.37688096,0.001,10.461586952209473,129412,2.7542972564697266,3110,129311,332
726.56,41,-84.68971681000001,0.001,10.100241661071777,134677,1.7103803157806396,3266,134576,336
783.75,40,-78.84988752,0.001,9.163620948791504,141077,2.0202724933624268,3457,140976,340
829.27,40,-74.98166685,0.001,11.704998970031738,146134,1.7867445945739746,3609,146033,344
887.46,40,-67.66247505,0.001,9.434174537658691,152534,1.9806231260299683,3803,152433,348
943.91,39,-58.90473665,0.001,11.547268867492676,158430,1.8584346771240234,3982,158329,352
1005.12,39,-49.78120946,0.001,9.33173656463623,164830,1.6731739044189453,4178,164729,356
1063.99,39,-39.00690706,0.001,8.721563339233398,171230,1.3720297813415527,4375,171129,360
1123.28,38,-27.43736358,0.001,6.0526204109191895,177630,3.3074088096618652,4572,177529,364
1183.35,38,-16.40307831,0.001,5.817187786102295,184030,1.4655356407165527,4772,183929,368
1241.77,38,-9.510910420000002,0.001,5.479515552520752,190385,1.3571808338165283,4968,190284,372
1303.1,38,-6.978957840000003,0.001,3.4349303245544434,196785,1.1755053997039795,5166,196684,376
1364.36,37,-4.866135170000003,0.001,1.9991581439971924,203185,0.9724687933921814,5364,203084,380
1423.03,37,1.1440262199999989,0.001,3.655282974243164,209585,1.2803399562835693,5561,209484,384
1452.85,37,13.86787908,0.001,0.4653218984603882,215985,1.1257259845733643,5759,215884,388
1482.68,37,27.556626629999997,0.001,1.0941369533538818,222385,1.4326224327087402,5957,222284,392
1476.51,37,42.77598414,0.001,3.74703049659729,228168,1.7320411205291748,6138,228067,396
1476.02,37,55.317665240000004,0.001,0.49675750732421875,234031,1.2945308685302734,6320,233930,400
1494.86,36,66.82950460999999,0.001,0.03548595309257507,240043,1.4145216941833496,6507,239942,404
1494.13,36,77.87991006,0.001,-0.7911590337753296,245868,0.9456460475921631,6688,245767,408
1496.72,36,89.16382666000001,0.001,-1.1671901941299438,251409,0.83628910779953,6860,251308,412
1504.97,36,102.25946920000003,0.001,-2.369112253189087,257004,1.292629599571228,7034,256903,416
1481.61,36,110.20223818000001,0.001,-4.211390018463135,261068,1.5060224533081055,7161,260967,420
1468.86,36,122.75545155,0.001,-1.1430000066757202,266193,0.8986554145812988,7320,266092,424
1477.23,36,133.96574202000002,0.001,-2.9576656818389893,271836,1.8364577293395996,7495,271735,428
1475.33,36,145.16962131999998,0.001,-4.504438400268555,276945,0.5244098901748657,7655,276844,432
1474.22,36,155.81603404,0.001,-6.359153747558594,282099,0.5997622013092041,7815,281998,436
1461.74,36,164.91599274,0.001,-4.715311527252197,287251,0.7163790464401245,7976,287150,440
1460.83,35,176.17474909,0.001,-5.989745140075684,292217,0.6862878799438477,8131,292116,444
1443.21,35,184.24251769000003,0.001,-6.7076921463012695,296855,1.0099966526031494,8275,296754,448
1430.7,35,190.56381418999993,0.001,-3.4552485942840576,301500,0.603958010673523,8420,301399,452
1412.19,35,196.43251180000004,0.001,-5.900979995727539,306049,0.5873262882232666,8562,305948,456
1394.24,35,200.68454354000002,0.001,-7.493595600128174,310654,0.9368569850921631,8706,310553,460
1375.69,35,204.11834817000002,0.001,-7.855956554412842,315199,0.9274637699127197,8848,315098,464
1357.54,35,207.99275447000002,0.001,-7.392729759216309,319784,1.488739013671875,8991,319683,468
1337.63,35,215.0595231,0.001,-6.2916975021362305,324148,0.8361620903015137,9127,324047,472
1316.21,35,227.69500126,0.001,-9.122274398803711,328406,1.0852305889129639,9261,328305,476
1295.57,35,240.62023537000002,0.001,-9.06812572479248,332742,1.053187370300293,9397,332641,480
1276.8,35,249.22467532,0.001,-6.913753986358643,337265,1.3238143920898438,9538,337164,484
1259.04,35,251.64680435999995,0.001,-6.209924221038818,341889,0.7770199775695801,9684,341788,488
1240.02,35,253.44061936999998,0.001,-8.670464515686035,346387,0.7505839467048645,9826,346286,492
1227.9,35,254.28906497,0.001,-8.542444229125977,350958,1.0395506620407104,9969,350857,496
1214.34,35,255.29829736,0.001,-10.4608793258667,355465,1.562554121017456,10111,355364,500
1198.72,35,256.55700324000003,0.001,-8.332378387451172,359915,0.8881626129150391,10251,359814,504
1184.59,35,257.95132345,0.001,-9.92984390258789,364327,0.6542272567749023,10390,364226,508
1173.66,35,259.06014591999997,0.001,-10.340938568115234,368775,1.238746166229248,10530,368674,512
1162.03,34,260.36975181,0.001,-9.615682601928711,373207,1.3806397914886475,10670,373106,516
1160.49,34,261.97395062000004,0.001,-10.221698760986328,377117,0.8260664939880371,10793,377016,520
1152.79,34,262.93326821,0.001,-11.597259521484375,381472,0.6003821492195129,10930,381371,524
1137.15,34,264.26932014,0.001,-11.096231460571289,385551,1.1464409828186035,11059,385450,528
1127.59,34,264.93106027,0.001,-10.853781700134277,389704,0.5652942657470703,11190,389603,532
1109.54,34,261.65821067999997,0.001,-9.255303382873535,393053,1.362683653831482,11296,392952,536
1101.49,34,262.31683351,0.001,-11.029662132263184,397400,0.6246670484542847,11433,397299,540
