episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-8112.322484659785,-0.23151605264440026,-3731.035443734366,-0.10647932202438258,-4381.28704092542,-0.1250367306200177,-74620708.87468731,-2129.5864404876515,-8762.57408185084,-0.2500734612400354,74620708.87468731,2129.5864404876515,8762.57408185084,0.2500734612400354,26.865671641791046,35041,8760.083333333334
2,-7938.394826838546,-0.22655236377963886,-4357.055438022409,-0.1243451894412788,-3581.339388816137,-0.10220717433836007,-87141108.76044817,-2486.9037888255757,-7162.678777632274,-0.20441434867672015,87141108.76044817,2486.9037888255757,7162.678777632274,0.20441434867672015,22.94455066921606,35041,8760.125
3,-6490.081824619048,-0.18521923015465322,-4894.7134704289765,-0.13968931137068996,-1595.3683541900728,-0.045529918783963265,-97894269.40857951,-2793.7862274137988,-3190.7367083801455,-0.09105983756792653,97894269.40857951,2793.7862274137988,3190.7367083801455,0.09105983756792653,13.30156102850946,35041,8760.0625
4,-5433.084496459897,-0.15505378129166372,-4989.736456691533,-0.14240115458594557,-443.3480397683637,-0.012652626705718142,-99794729.13383068,-2848.023091718912,-886.6960795367274,-0.025305253411436284,99794729.13383068,2848.023091718912,886.6960795367274,0.025305253411436284,5.893096658200394,35041,8760.0
5,-5242.09538456353,-0.14960317878320578,-4906.1786576841205,-0.14001651420331393,-335.9167268794108,-0.009586664579891862,-98123573.1536824,-2800.3302840662786,-671.8334537588216,-0.019173329159783724,98123573.1536824,2800.3302840662786,671.8334537588216,0.019173329159783724,4.183670557347108,35041,8760.0
6,-5121.787941950081,-0.14616974720177173,-4821.367523370529,-0.13759610511902196,-300.4204185795531,-0.008573642082749803,-96427350.46741055,-2751.922102380438,-600.8408371591062,-0.017147284165499606,96427350.46741055,2751.922102380438,600.8408371591062,0.017147284165499606,4.197939556519506,35041,8760.0
7,-4980.795167220193,-0.14214598079966306,-4767.022224923158,-0.1360451548208664,-213.77294229703543,-0.006100825978796673,-95340444.49846317,-2720.903096417328,-427.54588459407086,-0.012201651957593346,95340444.49846317,2720.903096417328,427.54588459407086,0.012201651957593346,3.7299163836648495,35041,8760.0
8,-4954.536362716116,-0.14139658569395308,-4667.748956531263,-0.1332120135996365,-286.7874061848534,-0.008184572094316592,-93354979.13062523,-2664.240271992729,-573.5748123697068,-0.016369144188633184,93354979.13062523,2664.240271992729,573.5748123697068,0.016369144188633184,4.997003510173796,35041,8760.0
9,-4880.762017129331,-0.13929512877448932,-4628.175287766651,-0.13208639766450672,-252.58672936267996,-0.007208731109982589,-92563505.755333,-2641.727953290134,-505.1734587253599,-0.014417462219965179,92563505.755333,2641.727953290134,505.1734587253599,0.014417462219965179,4.463470319634704,35040,8759.75
10,-4844.675602525914,-0.13826129002642448,-4604.394208408159,-0.13140394430388583,-240.2813941177542,-0.006857345722538647,-92087884.16816317,-2628.078886077716,-480.5627882355084,-0.013714691445077294,92087884.16816317,2628.078886077716,480.5627882355084,0.013714691445077294,4.266430752547016,35041,8760.0
11,-4743.730307563732,-0.135380431151933,-4554.390488993672,-0.1299768975169427,-189.3398185700595,-0.005403533634990282,-91087809.77987345,-2599.537950338854,-378.679637140119,-0.010807067269980564,91087809.77987345,2599.537950338854,378.679637140119,0.010807067269980564,4.132302160326475,35041,8760.0
12,-4758.3165704344065,-0.13580058136460535,-4533.196255129677,-0.12937573147434794,-225.12031530472936,-0.006424849890257409,-90663925.10259354,-2587.5146294869587,-450.2406306094587,-0.012849699780514819,90663925.10259354,2587.5146294869587,450.2406306094587,0.012849699780514819,4.546232876712328,35040,8759.75
13,-4796.16005611581,-0.13687671393024572,-4476.231165581988,-0.12774632321866403,-319.92889053382265,-0.009130390711581697,-89524623.31163974,-2554.9264643732804,-639.8577810676453,-0.018260781423163393,89524623.31163974,2554.9264643732804,639.8577810676453,0.018260781423163393,5.293798692959676,35041,8760.125
14,-4724.751735841532,-0.13484265349586266,-4467.447732250106,-0.12749929313764966,-257.30400359142607,-0.007343360358213022,-89348954.64500211,-2549.985862752993,-514.6080071828521,-0.014686720716426044,89348954.64500211,2549.985862752993,514.6080071828521,0.014686720716426044,4.937214611872146,35040,8759.75
15,-4715.486699825838,-0.1345743921183173,-4476.376357058991,-0.12775046681104427,-239.11034276684623,-0.006823925307273009,-89527527.14117981,-2555.009336220885,-478.22068553369246,-0.013647850614546018,89527527.14117981,2555.009336220885,478.22068553369246,0.013647850614546018,4.6745241288776,35041,8760.05
16,-4707.336742501582,-0.13434180201203144,-4450.15499210129,-0.1270021401855391,-257.181750400292,-0.007339661826492352,-89003099.84202579,-2540.0428037107818,-514.363500800584,-0.014679323652984704,89003099.84202579,2540.0428037107818,514.363500800584,0.014679323652984704,4.89712051596701,35041,8760.035714285714
17,-4693.837711905712,-0.13396037877524222,-4436.806476150366,-0.12662480310940283,-257.03123575534664,-0.007335575665839397,-88736129.5230073,-2532.4960621880564,-514.0624715106933,-0.014671151331678794,88736129.5230073,2532.4960621880564,514.0624715106933,0.014671151331678794,4.677511415525115,35040,8759.75
18,-4677.566224930673,-0.1334921867845512,-4443.682229475947,-0.12681741522477016,-233.88399545472694,-0.00667477155978102,-88873644.58951892,-2536.3483044954028,-467.7679909094539,-0.01334954311956204,88873644.58951892,2536.3483044954028,467.7679909094539,0.01334954311956204,4.431951142946834,35041,8760.0
19,-4653.632753610591,-0.13281294425099435,-4384.78085277367,-0.12514001120961413,-268.85190083692055,-0.007672933041380192,-87695617.0554734,-2502.800224192283,-537.7038016738411,-0.015345866082760383,87695617.0554734,2502.800224192283,537.7038016738411,0.015345866082760383,5.522260273972603,35040,8759.875
20,-4612.719401698152,-0.1316415354365911,-4388.668759866589,-0.1252473961149141,-224.05064183156193,-0.006394139321676996,-87773375.1973318,-2504.947922298282,-448.10128366312387,-0.012788278643353992,87773375.1973318,2504.947922298282,448.10128366312387,0.012788278643353992,5.105447903884022,35041,8760.0
21,-4642.296545176575,-0.13248941308760454,-4368.311848641746,-0.12466999197014031,-273.9846965348297,-0.007819421117464247,-87366236.9728349,-2493.3998394028054,-547.9693930696594,-0.015638842234928493,87366236.9728349,2493.3998394028054,547.9693930696594,0.015638842234928493,5.9589041095890405,35040,8759.75
22,-4607.736237105011,-0.13150307477682044,-4333.276854470723,-0.12367010629500623,-274.4593826342875,-0.007832968481814194,-86665537.08941446,-2473.4021259001247,-548.918765268575,-0.015665936963628387,86665537.08941446,2473.4021259001247,548.918765268575,0.015665936963628387,6.144406392694064,35040,8759.875
