episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-15851.742532003342,-0.45238991244301774,-2861.7104473882528,-0.08166981870400265,-12990.032084615088,-0.37072009373901504,-57234208.94776505,-1633.396374080053,-25980.064169230176,-0.7414401874780301,57234208.94776505,1633.396374080053,25980.064169230176,0.7414401874780301,47.778316828857626,35041,8760.0
2,-11517.736207216833,-0.3287025173292475,-3096.829751687742,-0.08837984451163647,-8420.90645552909,-0.24032267281761102,-61936595.03375483,-1767.5968902327293,-16841.81291105818,-0.48064534563522204,61936595.03375483,1767.5968902327293,16841.81291105818,0.48064534563522204,45.66650495134271,35041,8760.0
3,-9050.759813589915,-0.25829793988555694,-3315.6794074875243,-0.09462555386665308,-5735.08040610239,-0.16367238601890383,-66313588.149750486,-1892.5110773330618,-11470.16081220478,-0.32734477203780765,66313588.149750486,1892.5110773330618,11470.16081220478,0.32734477203780765,46.10599012585258,35041,8760.0
4,-8564.736235697415,-0.24442740398679838,-3395.9319772773315,-0.0969158669314307,-5168.804258420086,-0.14751153705536774,-67918639.54554662,-1938.3173386286137,-10337.608516840171,-0.2950230741107355,67918639.54554662,1938.3173386286137,10337.608516840171,0.2950230741107355,43.48049427813133,35041,8760.0
5,-8712.345579266052,-0.24863999940827772,-3344.7358594195575,-0.09545479050854902,-5367.609719846495,-0.15318520889972873,-66894717.18839114,-1909.09581017098,-10735.21943969299,-0.30637041779945745,66894717.18839114,1909.09581017098,10735.21943969299,0.30637041779945745,43.52900887531749,35041,8760.0
6,-8505.49706868385,-0.2427367884898359,-3429.0245955722944,-0.09786029096952895,-5076.472473111554,-0.1448764975203069,-68580491.91144589,-1957.2058193905789,-10152.944946223108,-0.2897529950406138,68580491.91144589,1957.2058193905789,10152.944946223108,0.2897529950406138,41.1061328158443,35041,8760.0
7,-8469.032689202844,-0.24169613839049214,-3494.6058445785347,-0.09973190195714997,-4974.4268446243095,-0.14196423643334216,-69892116.89157069,-1994.638039142999,-9948.853689248619,-0.2839284728666843,69892116.89157069,1994.638039142999,9948.853689248619,0.2839284728666843,39.64213350075625,35041,8760.0
8,-8397.980400123852,-0.23966839041449348,-3476.10690586717,-0.09920396420853796,-4921.8734942566825,-0.14046442620595556,-69522138.1173434,-1984.079284170759,-9843.746988513365,-0.2809288524119111,69522138.1173434,1984.079284170759,9843.746988513365,0.2809288524119111,38.34080077623355,35041,8760.0
9,-8248.284229694957,-0.2353962394319337,-3521.187618063945,-0.10049051421415368,-4727.096611631014,-0.13490572521778008,-70423752.3612789,-2009.8102842830738,-9454.193223262027,-0.26981145043556015,70423752.3612789,2009.8102842830738,9454.193223262027,0.26981145043556015,36.26038069689792,35041,8760.0
10,-8231.20730874472,-0.23490888438198404,-3536.1343958712787,-0.10091707750774197,-4695.072912873441,-0.13399180687424203,-70722687.91742557,-2018.3415501548393,-9390.145825746882,-0.26798361374848406,70722687.91742557,2018.3415501548393,9390.145825746882,0.26798361374848406,35.66679033132616,35041,8760.0
11,-8513.180090727063,-0.24295605281755317,-3542.9502319890366,-0.10111159337868256,-4970.2298587380255,-0.14184445943887058,-70859004.63978073,-2022.231867573651,-9940.459717476051,-0.28368891887774117,70859004.63978073,2022.231867573651,9940.459717476051,0.28368891887774117,35.68391313033304,35041,8760.0
12,-8610.930803243267,-0.24574574210169142,-3535.959454508513,-0.10091208488894157,-5074.971348734754,-0.14483365721274985,-70719189.09017026,-2018.2416977788318,-10149.942697469509,-0.2896673144254997,70719189.09017026,2018.2416977788318,10149.942697469509,0.2896673144254997,35.31862675151965,35041,8760.0
13,-8168.585562741127,-0.23312173409649337,-3631.2907584616496,-0.10363272712504708,-4537.294804279478,-0.12948900697144627,-72625815.169233,-2072.6545425009417,-9074.589608558956,-0.25897801394289255,72625815.169233,2072.6545425009417,9074.589608558956,0.25897801394289255,32.48765731571587,35041,8760.0
