    episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
    1,-15022.213422333296,-0.4287161364821146,-3518.4693824907895,-0.10041293899802481,-11503.744039842504,-0.32830319748408976,-70369387.6498158,-2008.2587799604964,-23007.48807968501,-0.6566063949681795,70369387.6498158,2008.2587799604964,23007.48807968501,0.6566063949681795,42.00222596387089,35041,8760.0
    2,-14410.995742581074,-0.4112727095485466,-3415.0288391475888,-0.09746086869713438,-10995.966903433484,-0.3138118408514122,-68300576.78295177,-1949.2173739426876,-21991.933806866968,-0.6276236817028245,68300576.78295177,1949.2173739426876,21991.933806866968,0.6276236817028245,42.47881053622899,35041,8760.0
    3,-13079.761966189626,-0.37328087803052584,-3481.21489434299,-0.09934974013535931,-9598.547071846639,-0.2739311378951666,-69624297.88685979,-1986.9948027071857,-19197.094143693277,-0.5478622757903332,69624297.88685979,1986.9948027071857,19197.094143693277,0.5478622757903332,40.63525584315516,35041,8760.0
    4,-10536.804341249075,-0.30070788645117225,-3605.8645805633732,-0.10290709419416019,-6930.939760685704,-0.19780079225701208,-72117291.61126748,-2058.141883883204,-13861.879521371407,-0.39560158451402416,72117291.61126748,2058.141883883204,13861.879521371407,0.39560158451402416,35.82374932222254,35041,8760.125
    5,-8179.625844354265,-0.23343681062654864,-3669.9293765837747,-0.10473542741392051,-4509.69646777049,-0.12870138321262814,-73398587.53167549,-2094.70854827841,-9019.39293554098,-0.2574027664252563,73398587.53167549,2094.70854827841,9019.39293554098,0.2574027664252563,28.9575069204646,35041,8760.0
    6,-7400.912613216377,-0.21121325950959982,-3609.0485760021243,-0.10299796164389624,-3791.864037214252,-0.10821529786570354,-72180971.5200425,-2059.959232877925,-7583.728074428504,-0.21643059573140708,72180971.5200425,2059.959232877925,7583.728074428504,0.21643059573140708,24.805228161296768,35041,8760.0
    7,-7393.073926610226,-0.21098955270006353,-3651.127001135379,-0.10419882994107817,-3741.9469254748474,-0.10679072275898537,-73022540.02270758,-2083.9765988215636,-7483.893850949695,-0.21358144551797073,73022540.02270758,2083.9765988215636,7483.893850949695,0.21358144551797073,24.114608601352703,35041,8760.0
    8,-7341.677086977777,-0.20952274791603245,-3637.754050309683,-0.10381718180107542,-3703.923036668095,-0.10570556611495704,-72755081.00619365,-2076.3436360215082,-7407.84607333619,-0.2114111322299141,72755081.00619365,2076.3436360215082,7407.84607333619,0.2114111322299141,24.305813190262835,35041,8760.0
    9,-7410.298992336189,-0.2114811356260328,-3639.772599371772,-0.1038747887948565,-3770.526392964418,-0.10760634683117631,-72795451.98743543,-2077.49577589713,-7541.052785928836,-0.21521269366235263,72795451.98743543,2077.49577589713,7541.052785928836,0.21521269366235263,24.27156759224908,35041,8760.0
    10,-7151.315029729797,-0.204090040802791,-3737.379291026919,-0.10666036789460386,-3413.935738702877,-0.09742967290818713,-74747585.82053837,-2133.2073578920767,-6827.871477405754,-0.19485934581637426,74747585.82053837,2133.2073578920767,6827.871477405754,0.19485934581637426,22.990211466567732,35041,8760.083333333334
    11,-6722.315614532949,-0.19184690680744718,-3816.1974608392,-0.10890974488696348,-2906.11815369375,-0.08293716192048374,-76323949.216784,-2178.1948977392694,-5812.2363073875,-0.16587432384096748,76323949.216784,2178.1948977392694,5812.2363073875,0.16587432384096748,21.295054364886848,35041,8760.083333333334
    12,-6248.374067086588,-0.17832117771365835,-4074.4968605214467,-0.11628130309707325,-2173.877206565141,-0.062039874616585076,-81489937.21042894,-2325.626061941465,-4347.754413130282,-0.12407974923317015,81489937.21042894,2325.626061941465,4347.754413130282,0.12407974923317015,17.439570788504895,35041,8760.0
    13,-6010.396093199755,-0.17152956886985604,-4202.850563908884,-0.11994436540835857,-1807.5455292908696,-0.05158520346149742,-84057011.2781777,-2398.887308167172,-3615.091058581739,-0.10317040692299484,84057011.2781777,2398.887308167172,3615.091058581739,0.10317040692299484,14.879712336976683,35041,8760.083333333334
    14,-5963.784251517396,-0.17019932224650103,-4355.678615156809,-0.12430589655127881,-1608.1056363605867,-0.04589342569522222,-87113572.30313618,-2486.117931025576,-3216.2112727211734,-0.09178685139044444,87113572.30313618,2486.117931025576,3216.2112727211734,0.09178685139044444,13.241631231985387,35041,8760.125
