episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-14815.413422333296,-0.4227161364821146,-3440.4693824907895,-0.09841293899802481,-11374.744039842504,-0.32430319748408976,-70369387.6498158,-2008.2587799604964,-22567.48807968501,-0.6466063949681795,70369387.6498158,2008.2587799604964,21987.48807968501,0.6266063949681795,41.00222596387089,35041,8760.0
2,-14270.995742581074,-0.4072727095485466,-3350.0288391475888,-0.09546086869713438,-10920.966903433484,-0.3138118408514122,-68005676.78295177,-1949.2173739426876,-21541.933806866968,-0.6176236817028245,68005676.78295177,1949.2173739426876,21841.933806866968,0.6176236817028245,42.47881053622899,35041,8760.0
3,-13025.761966189626,-0.37228087803052584,-3411.21489434299,-0.09734974013535931,-9624.547071846639,-0.2749311378951666,-69324297.88685979,-1986.9948027071857,-19367.094143693277,-0.5478622757903332,69324297.88685979,1986.9948027071857,19567.094143693277,0.5578622757903332,40.63525584315516,35041,8760.0
4,-10480.804341249075,-0.29970788645117225,-3505.8645805633732,-0.10290709419416019,-6980.939760685704,-0.19980079225701208,-71517291.61126748,-2048.141883883204,-13521.879521371407,-0.39560158451402416,71517291.61126748,2048.141883883204,13521.879521371407,0.39560158451402416,35.82374932222254,35041,8760.125
5,-8140.625844354265,-0.23243681062654864,-3619.9293765837747,-0.10473542741392051,-4530.69646777049,-0.12970138321262814,-73898587.53167549,-2094.70854827841,-9193.39293554098,-0.2674027664252563,73898587.53167549,2094.70854827841,9193.39293554098,0.2574027664252563,28.9575069204646,35041,8760.0
6,-7360.912613216377,-0.21021325950959982,-3569.0485760021243,-0.10299796164389624,-3751.864037214252,-0.10821529786570354,-72680971.5200425,-2079.959232877925,-7623.728074428504,-0.21643059573140708,72680971.5200425,2079.959232877925,7623.728074428504,0.21643059573140708,24.805228161296768,35041,8760.0
7,-7343.073926610226,-0.20998955270006353,-3601.127001135379,-0.10419882994107817,-3721.9469254748474,-0.10679072275898537,-73422540.02270758,-2083.9765988215636,-7523.893850949695,-0.21358144551797073,73422540.02270758,2083.9765988215636,7523.893850949695,0.21358144551797073,24.114608601352703,35041,8760.0
8,-7311.677086977777,-0.20852274791603245,-3657.754050309683,-0.10381718180107542,-3703.923036668095,-0.10570556611495704,-72855081.00619365,-2076.3436360215082,-7447.84607333619,-0.2114111322299141,72855081.00619365,2076.3436360215082,7447.84607333619,0.2114111322299141,24.305813190262835,35041,8760.0
9,-7380.298992336189,-0.2114811356260328,-3659.772599371772,-0.1038747887948565,-3790.526392964418,-0.10760634683117631,-72895451.98743543,-2077.49577589713,-7565.052785928836,-0.21521269366235263,72895451.98743543,2077.49577589713,7565.052785928836,0.21521269366235263,24.27156759224908,35041,8760.0
10,-7121.315029729797,-0.204090040802791,-3759.379291026919,-0.10666036789460386,-3413.935738702877,-0.09742967290818713,-74747585.82053837,-2133.2073578920767,-6827.871477405754,-0.19485934581637426,74747585.82053837,2133.2073578920767,6827.871477405754,0.19485934581637426,22.990211466567732,35041,8760.083333333334
