episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-11006.320263812435,-0.3141162779706166,-3959.798852898801,-0.11301118333567742,-7046.521410913633,-0.20110509463493917,-79195977.05797602,-2260.2236667135485,-14093.042821827266,-0.40221018926987834,79195977.05797602,2260.2236667135485,14093.042821827266,0.40221018926987834,36.15867579908676,35040,8759.75
2,-10877.299301530655,-0.3104252083770164,-4150.91624241951,-0.11846222153023717,-6726.3830591111455,-0.19196298684677926,-83018324.84839019,-2369.244430604743,-13452.766118222291,-0.3839259736935585,83018324.84839019,2369.244430604743,13452.766118222291,0.3839259736935585,33.8974344339488,35041,8760.0
3,-6878.176065406813,-0.1963005812211197,-4524.817547112115,-0.12913660627050186,-2353.358518294698,-0.06716397495061784,-90496350.94224228,-2582.7321254100366,-4706.717036589396,-0.13432794990123567,90496350.94224228,2582.7321254100366,4706.717036589396,0.13432794990123567,22.089041095890412,35040,8759.75
4,-6120.884976869683,-0.1746827904357786,-4420.2344395648015,-0.1261482431382649,-1700.6505373048815,-0.04853454729751374,-88404688.791296,-2522.964862765297,-3401.301074609763,-0.09706909459502748,88404688.791296,2522.964862765297,3401.301074609763,0.09706909459502748,19.828201249964327,35041,8760.0
5,-5854.138337520681,-0.167070158034266,-4497.123511927871,-0.12834256597967666,-1357.0148255928088,-0.0387275920545893,-89942470.23855741,-2566.8513195935334,-2714.0296511856177,-0.0774551841091786,89942470.23855741,2566.8513195935334,2714.0296511856177,0.0774551841091786,17.513769584201363,35041,8760.0
6,-5667.525053067245,-0.16174905257191258,-4464.717434913503,-0.12742137146931998,-1202.807618153741,-0.03432768110259257,-89294348.69827005,-2548.4274293863996,-2405.615236307482,-0.06865536220518514,89294348.69827005,2548.4274293863996,2405.615236307482,0.06865536220518514,16.378424657534246,35040,8759.75
1,-12354.681140794875,-0.35259799482847326,-3668.9161182235825,-0.10470949850805053,-8685.765022571295,-0.2478884963204228,-73378322.36447164,-2094.1899701610105,-17371.53004514259,-0.4957769926408456,73378322.36447164,2094.1899701610105,17371.53004514259,0.4957769926408456,40.72488584474886,35040,8759.75
2,-10093.168104508355,-0.2880470349460147,-4349.219182144957,-0.12412155200185379,-5743.948922363397,-0.16392548294416087,-86984383.64289914,-2482.431040037076,-11487.897844726795,-0.32785096588832174,86984383.64289914,2482.431040037076,11487.897844726795,0.32785096588832174,34.64512999058246,35041,8760.0
3,-8208.40194860353,-0.23425804647841125,-4323.668450025086,-0.12339236444135519,-3884.733498578446,-0.1108656820370561,-86473369.0005017,-2467.8472888271035,-7769.466997156892,-0.2217313640741122,86473369.0005017,2467.8472888271035,7769.466997156892,0.2217313640741122,29.39699209497446,35041,8760.0
4,-6942.957574640537,-0.19814376639955872,-4435.859430020425,-0.1265941618156514,-2507.098144620111,-0.07154960458390727,-88717188.60040852,-2531.8832363130286,-5014.196289240222,-0.14309920916781455,88717188.60040852,2531.8832363130286,5014.196289240222,0.14309920916781455,23.127193858622753,35041,8760.0
