episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-7738.573019679223,-0.22084968663468102,-4419.343155167412,-0.12612280693970926,-3319.2298645118117,-0.09472687969497179,-88386863.10334824,-2522.456138794185,-6638.459729023623,-0.18945375938994358,88386863.10334824,2522.456138794185,6638.459729023623,0.18945375938994358,22.15119431523073,35041,8760.0625
2,-7151.038939713221,-0.20408798595031882,-4899.833336854615,-0.13983941713104298,-2251.205602858606,-0.06424856881927585,-97996666.7370923,-2796.7883426208596,-4502.411205717212,-0.1284971376385517,97996666.7370923,2796.7883426208596,4502.411205717212,0.1284971376385517,18.71575342465753,35040,8759.75
3,-6537.377091517405,-0.18656898092230037,-4857.977571596455,-0.1386409124314057,-1679.3995199209483,-0.04792806849089464,-97159551.43192911,-2772.818248628114,-3358.7990398418965,-0.09585613698178928,97159551.43192911,2772.818248628114,3358.7990398418965,0.09585613698178928,15.476156502382924,35041,8760.0
4,-5714.93381692718,-0.16310208102192356,-4656.7342453190895,-0.13290145966834355,-1058.1995716080892,-0.03020062135357999,-93134684.9063818,-2658.0291933668714,-2116.3991432161783,-0.06040124270715998,93134684.9063818,2658.0291933668714,2116.3991432161783,0.06040124270715998,11.421232876712327,35040,8759.8125
5,-5587.09098554842,-0.159448943651496,-4784.895296360538,-0.13655523106051765,-802.1956891878815,-0.022893712590978353,-95697905.92721075,-2731.1046212103524,-1604.391378375763,-0.045787425181956706,95697905.92721075,2731.1046212103524,1604.391378375763,0.045787425181956706,9.583059844182529,35041,8760.0
6,-5399.889929585536,-0.1541064477621443,-4710.426160963874,-0.13442997034714252,-689.4637686216624,-0.01967647741500178,-94208523.21927747,-2688.5994069428502,-1378.9275372433249,-0.03935295483000356,94208523.21927747,2688.5994069428502,1378.9275372433249,0.03935295483000356,8.604206500956023,35041,8760.0
7,-5378.15612045197,-0.1534905710908408,-4640.490845035174,-0.1324378790786031,-737.6652754167957,-0.02105269201223767,-92809816.90070349,-2648.7575815720625,-1475.3305508335914,-0.04210538402447534,92809816.90070349,2648.7575815720625,1475.3305508335914,0.04210538402447534,8.984018264840183,35040,8759.75
8,-5217.192870756901,-0.14889249060379284,-4650.868874664237,-0.13273027610343144,-566.3239960926643,-0.016162214500361424,-93017377.49328475,-2654.6055220686285,-1132.6479921853286,-0.03232442900072285,93017377.49328475,2654.6055220686285,1132.6479921853286,0.03232442900072285,7.351388373619475,35041,8760.0
9,-5084.512626181831,-0.14510595394354542,-4701.375737259318,-0.13417168199940976,-383.1368889225132,-0.01093427194413565,-94027514.74518637,-2683.4336399881954,-766.2737778450264,-0.0218685438882713,94027514.74518637,2683.4336399881954,766.2737778450264,0.0218685438882713,6.06147084843469,35041,8760.0
10,-5023.280680425591,-0.14335846690712303,-4639.591848939584,-0.13240844317749956,-383.6888314860053,-0.01095002372962344,-92791836.9787917,-2648.1688635499913,-767.3776629720106,-0.02190004745924688,92791836.9787917,2648.1688635499913,767.3776629720106,0.02190004745924688,5.955880254558945,35041,8760.0
11,-5033.3321794422645,-0.14364942433980035,-4601.379596072527,-0.13132165861104847,-431.95258336973757,-0.012327765728751893,-92027591.92145056,-2626.4331722209695,-863.9051667394751,-0.024655531457503786,92027591.92145056,2626.4331722209695,863.9051667394751,0.024655531457503786,6.355593607305936,35040,8759.75
12,-4967.966410232081,-0.14178390965016358,-4594.063386797495,-0.13111285672529166,-373.9030234345866,-0.010671052924871903,-91881267.73594989,-2622.257134505833,-747.8060468691732,-0.021342105849743807,91881267.73594989,2622.257134505833,747.8060468691732,0.021342105849743807,5.801940639269406,35040,8759.75
13,-4910.813059367887,-0.1401527743191269,-4488.5053935883425,-0.12810027094347276,-422.30766577954637,-0.012052503375654167,-89770107.87176684,-2562.005418869455,-844.6153315590927,-0.024105006751308333,89770107.87176684,2562.005418869455,844.6153315590927,0.024105006751308333,6.355593607305936,35040,8759.75
14,-4877.615046534232,-0.13920531540666775,-4517.799361118239,-0.1289363098581078,-359.8156854159925,-0.010269005548559963,-90355987.22236478,-2578.726197162156,-719.631370831985,-0.020538011097119925,90355987.22236478,2578.726197162156,719.631370831985,0.020538011097119925,6.269977168949771,35040,8759.75
