episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-17504.26093757716,-0.49955082584409705,-3353.5318047601368,-0.09570581634589431,-14150.729132817025,-0.4038450094982028,-67070636.095202744,-1914.1163269178865,-28301.45826563405,-0.8076900189964056,67070636.095202744,1914.1163269178865,28301.45826563405,0.8076900189964056,45.6550897520048,35041,8760.0
2,-13622.69790140243,-0.38877562504002366,-3420.4235677700585,-0.09761482784731902,-10202.27433363237,-0.2911607971927046,-68408471.35540117,-1952.2965569463804,-20404.54866726474,-0.5823215943854092,68408471.35540117,1952.2965569463804,20404.54866726474,0.5823215943854092,43.260751690876404,35041,8760.125
3,-14887.356472922751,-0.4248674792500785,-3065.948387161654,-0.08749852703086912,-11821.408085761097,-0.3373689522192094,-61318967.74323308,-1749.9705406173823,-23642.816171522194,-0.6747379044384187,61318967.74323308,1749.9705406173823,23642.816171522194,0.6747379044384187,46.388516309466056,35041,8760.0
4,-16418.374007245726,-0.46856090203326844,-3020.703157758642,-0.08620728189950463,-13397.670849487082,-0.3823536201337637,-60414063.15517285,-1724.1456379900926,-26795.341698974164,-0.7647072402675275,60414063.15517285,1724.1456379900926,26795.341698974164,0.7647072402675275,48.26060900088468,35041,8760.125
5,-13534.470287865119,-0.3862577136947808,-2876.89071974981,-0.08210304565496034,-10657.57956811531,-0.3041546680398205,-57537814.394996196,-1642.0609130992066,-21315.15913623062,-0.608309336079641,57537814.394996196,1642.0609130992066,21315.15913623062,0.608309336079641,47.17616506378243,35041,8760.0
6,-10098.548770433445,-0.28820059276351156,-3072.2725730434095,-0.08767901178776853,-7026.27619739004,-0.20052158097574313,-61445451.460868195,-1753.580235755371,-14052.55239478008,-0.40104316195148626,61445451.460868195,1753.580235755371,14052.55239478008,0.40104316195148626,39.68779429810793,35041,8760.0
7,-8741.56246840313,-0.24947381473753225,-3297.2272719220646,-0.09409895182425983,-5444.3351964810645,-0.15537486291327238,-65944545.43844129,-1881.9790364851967,-10888.670392962129,-0.31074972582654475,65944545.43844129,1881.9790364851967,10888.670392962129,0.31074972582654475,33.97163322964527,35041,8760.0
8,-8423.444433982224,-0.24039510370953834,-3396.504187176616,-0.09693219712262033,-5026.940246805608,-0.14346290658691804,-67930083.74353233,-1938.6439424524067,-10053.880493611216,-0.2869258131738361,67930083.74353233,1938.6439424524067,10053.880493611216,0.2869258131738361,31.94828914699923,35041,8760.0
9,-8386.92608673832,-0.23935291343431278,-3415.521908417275,-0.09747494030871219,-4971.404178321047,-0.14187797312560066,-68310438.16834548,-1949.498806174243,-9942.808356642094,-0.2837559462512013,68310438.16834548,1949.498806174243,9942.808356642094,0.2837559462512013,31.78847635626837,35041,8760.0
10,-8403.58656721174,-0.23982838376745833,-3392.545526095617,-0.09681922163514889,-5011.041041116121,-0.14300916213230938,-67850910.52191234,-1936.3844327029776,-10022.082082232242,-0.28601832426461876,67850910.52191234,1936.3844327029776,10022.082082232242,0.28601832426461876,31.80845295510973,35041,8760.0
11,-8429.638202750246,-0.24057186651684492,-3398.0073925742445,-0.09697509682004123,-5031.630810176001,-0.14359676969680368,-67960147.8514849,-1939.5019364008247,-10063.261620352003,-0.28719353939360737,67960147.8514849,1939.5019364008247,10063.261620352003,0.28719353939360737,31.979680945178508,35041,8760.0
12,-8541.200122718752,-0.24375571126480455,-3376.879850505112,-0.09637214185231484,-5164.320272213641,-0.14738356941248976,-67537597.01010221,-1927.442837046296,-10328.640544427282,-0.2947671388249795,67537597.01010221,1927.442837046296,10328.640544427282,0.2947671388249795,32.37635912217117,35041,8760.0
13,-8603.462952795337,-0.24553261851584865,-3361.0166512215465,-0.09591942497778386,-5242.446301573792,-0.14961319353806485,-67220333.02443093,-1918.3884995556773,-10484.892603147584,-0.2992263870761297,67220333.02443093,1918.3884995556773,10484.892603147584,0.2992263870761297,32.81299049684655,35041,8760.0
