time/episodes,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/fps,train/learning_rate,time/total_timesteps,time/time_elapsed
4,72.25,188,1.814172387123108,3.4856512546539307,-215.62783925,79,0.001,289,3
8,83.25,565,6.336082458496094,65.2962875366211,-265.203621625,61,0.001,666,10
12,91.41666666666667,996,7.458948135375977,11.661561012268066,-251.41242450000001,43,0.001,1097,25
16,92.125,1373,3.1556992530822754,60.12125015258789,-218.27546024999998,45,0.001,1474,32
20,139.85,2696,4.500390529632568,30.47488021850586,-218.38330585,48,0.001,2797,57
24,138.33333333333334,3219,1.3487492799758911,3.813006639480591,-228.43484258333334,49,0.001,3320,67
28,136.78571428571428,3729,1.517451524734497,16.850496292114258,-233.23234689285712,49,0.001,3830,76
32,138.5625,4333,3.9069554805755615,25.436328887939453,-242.89421868749997,48,0.001,4434,91
36,132.75,4678,1.7008287906646729,56.93031692504883,-241.2544895833333,47,0.001,4779,100
40,137.65,5405,2.9020845890045166,11.633248329162598,-239.3906039,48,0.001,5506,114
44,146.02272727272728,6324,-6.482248306274414,9.718465805053711,-236.59409275000004,46,0.001,6425,137
48,152.4375,7216,-9.79641056060791,37.439697265625,-233.2566056875,47,0.001,7317,154
52,154.75,7946,-15.514667510986328,7.151119232177734,-233.33134086538465,47,0.001,8047,169
56,162.60714285714286,9005,-22.782634735107422,3.8603127002716064,-224.4795220535714,47,0.001,9106,193
60,164.53333333333333,9771,-28.230350494384766,13.105496406555176,-218.04934316666666,47,0.001,9872,207
64,167.84375,10641,-30.75971221923828,10.625704765319824,-210.89291235937498,47,0.001,10742,224
68,166.4558823529412,11218,-32.430423736572266,10.025513648986816,-208.50315836764705,48,0.001,11319,235
72,165.61111111111111,11823,-36.7985725402832,46.2998046875,-204.54427522222218,48,0.001,11924,246
76,169.5921052631579,12788,-44.90532302856445,35.740230560302734,-199.93713347368418,48,0.001,12889,265
80,171.175,13593,-48.2963981628418,14.461363792419434,-199.11602856249996,48,0.001,13694,280
84,171.61904761904762,14315,-56.42865753173828,13.003728866577148,-194.0941025833333,49,0.001,14416,293
88,172.9318181818182,15117,-53.53036117553711,25.78325843811035,-194.73359282954544,49,0.001,15218,309
92,184.05434782608697,16832,-68.15096282958984,71.283447265625,-188.88919574999997,49,0.001,16933,341
96,184.875,17647,-78.8351058959961,21.49268913269043,-184.89067715625,49,0.001,17748,356
100,188.68,18767,-83.94104766845703,56.255672454833984,-180.97610077999997,49,0.001,18868,378
104,192.03,19391,-92.20510864257812,32.862648010253906,-179.84479726,49,0.001,19492,389
108,192.83,19848,-94.54315185546875,165.98887634277344,-174.00074481,50,0.001,19949,398
112,194.18,20414,-101.1252670288086,47.04021072387695,-168.36256830999994,50,0.001,20515,409
116,196.2,20993,-104.18689727783203,186.1661834716797,-166.11434351999998,50,0.001,21094,420
120,195.74,22270,-118.02597045898438,129.63473510742188,-161.98246851000002,50,0.001,22371,444
124,194.62,22681,-118.98622131347656,189.82542419433594,-159.65347793,50,0.001,22782,452
128,205.36,24265,-130.07579040527344,29.350753784179688,-154.73467365,50,0.001,24366,482
132,205.61,24894,-128.50218200683594,97.05186462402344,-147.3593598,50,0.001,24995,494
136,209.25,25603,-135.279541015625,220.01986694335938,-142.73269531999998,50,0.001,25704,507
140,213.36,26741,-144.9187469482422,127.3830795288086,-141.76754192,50,0.001,26842,529
144,208.46,27170,-144.8739013671875,118.05931091308594,-137.17506744000002,50,0.001,27271,537
148,204.77,27693,-150.85830688476562,54.51583480834961,-134.49061883000002,50,0.001,27794,547
152,212.53,29199,-161.0830078125,339.9583740234375,-128.25395018,50,0.001,29300,575
156,211.92,30197,-166.3912353515625,76.50814819335938,-128.03261053,50,0.001,30298,594
160,211.73,30944,-169.40988159179688,64.53727722167969,-129.02720292,50,0.001,31045,609
164,216.29,32270,-175.00576782226562,449.91796875,-137.96690372000003,51,0.001,32371,634
168,215.99,32817,-169.12722778320312,64.27912139892578,-136.36796965,51,0.001,32918,644
172,216.51,33474,-176.591796875,45.320796966552734,-131.12286288000004,51,0.001,33575,657
176,215.84,34372,-177.19358825683594,57.122955322265625,-132.38882385000002,51,0.001,34473,674
180,214.12,35005,-183.73057556152344,137.5613250732422,-127.69377722000002,51,0.001,35106,686
