rollout/ep_rew_mean,rollout/ep_len_mean,train/critic_loss,time/episodes,train/learning_rate,time/total_timesteps,time/time_elapsed,time/fps,train/n_updates,train/actor_loss
-532.9411922500001,89.5,51.87590408325195,4,0.001,358,4,73,257,5.006290912628174
-393.14766887499997,94.0,29.47148895263672,8,0.001,752,12,60,651,10.11771011352539
-389.78878674999993,107.08333333333333,20.97579574584961,12,0.001,1285,22,56,1184,14.42658805847168
-328.16674625,122.6875,23.39079475402832,16,0.001,1963,35,54,1862,6.054865837097168
-320.74947520000006,120.2,15.866752624511719,20,0.001,2404,44,54,2303,-0.41122955083847046
-308.59466775000004,123.375,9.212495803833008,24,0.001,2961,55,53,2860,1.467360258102417
-265.47452375,130.82142857142858,27.918685913085938,28,0.001,3663,68,53,3562,-8.086564064025879
-236.32274593749997,131.0625,9.749485969543457,32,0.001,4194,79,53,4093,-16.58026123046875
-223.39687258333328,137.61111111111111,11.068824768066406,36,0.001,4954,93,52,4853,-19.01761245727539
-205.14189084999998,149.775,8.764453887939453,40,0.001,5991,113,52,5890,-23.584936141967773
-183.17892170454542,151.77272727272728,4.241904258728027,44,0.001,6678,127,52,6577,-34.131317138671875
-174.63835597916668,159.29166666666666,4.582834720611572,48,0.001,7646,145,52,7545,-35.807369232177734
-170.65963948076921,169.94230769230768,12.755071640014648,52,0.001,8837,168,52,8736,-47.1140022277832
-167.36807078571428,171.94642857142858,24.40038299560547,56,0.001,9629,184,52,9528,-51.76343536376953
-163.28808891666665,176.28333333333333,6.144928932189941,60,0.001,10577,202,52,10476,-55.309207916259766
-161.723625609375,174.90625,13.988431930541992,64,0.001,11194,214,52,11093,-55.054656982421875
-157.19481429411763,176.72058823529412,7.602116584777832,68,0.001,12017,231,51,11916,-68.0873031616211
-148.37747426388887,173.97222222222223,30.745954513549805,72,0.001,12526,240,51,12425,-65.3473129272461
-142.77410402631577,171.68421052631578,28.0283260345459,76,0.001,13048,251,51,12947,-66.06686401367188
-146.1319112875,170.6625,12.145923614501953,80,0.001,13653,263,51,13552,-74.111572265625
-146.64325091666666,170.9404761904762,19.9097843170166,84,0.001,14359,276,51,14258,-76.4454345703125
-147.11015269318182,171.5909090909091,16.455791473388672,88,0.001,15100,291,51,14999,-77.09707641601562
-145.45168392391304,169.6304347826087,25.389379501342773,92,0.001,15606,301,51,15505,-79.59390258789062
-139.72190216666667,172.54166666666666,6.374283790588379,96,0.001,16564,319,51,16463,-81.13957977294922
-139.59939941000002,171.24,26.91364288330078,100,0.001,17124,330,51,17023,-83.55952453613281
-124.51319142,175.39,20.840015411376953,104,0.001,17897,345,51,17796,-84.621337890625
-120.83698418999997,182.78,69.93614959716797,108,0.001,19030,367,51,18929,-96.74275970458984
-116.25854045999999,188.42,102.67628479003906,112,0.001,20127,388,51,20026,-93.90596008300781
-115.58355827999998,189.37,12.881656646728516,116,0.001,20900,403,51,20799,-98.04158020019531
-112.42162935999998,191.86,11.55334758758545,120,0.001,21590,417,51,21489,-104.53758239746094
-107.46947256000001,192.54,19.309370040893555,124,0.001,22215,429,51,22114,-106.7449951171875
-110.11412763999999,192.16,18.839801788330078,128,0.001,22879,442,51,22778,-114.02950286865234
-115.35657406,197.49,117.57047271728516,132,0.001,23943,463,51,23842,-113.01187133789062
-110.61374473000002,202.22,53.653594970703125,136,0.001,25176,487,51,25075,-121.70989990234375
-112.19518494,198.06,47.60006332397461,140,0.001,25797,499,51,25696,-120.98267364501953
-118.16211315000001,198.31,27.964351654052734,144,0.001,26509,513,51,26408,-122.50852966308594
-118.86581974999999,201.17,15.820650100708008,148,0.001,27763,537,51,27662,-131.21302795410156
-118.56764220999997,199.11,60.18553924560547,152,0.001,28748,556,51,28647,-140.46359252929688
-114.25472932000001,196.66,43.679786682128906,156,0.001,29295,567,51,29194,-139.2551727294922
-117.27828038000001,194.68,20.68010711669922,160,0.001,30045,581,51,29944,-142.1532440185547
-119.38122398000002,195.35,67.00591278076172,164,0.001,30729,595,51,30628,-159.2309112548828
-120.59882912,193.62,39.8857421875,168,0.001,31379,608,51,31278,-151.22824096679688
-126.60139379999998,191.68,78.02550506591797,172,0.001,31694,614,51,31593,-159.86956787109375
-132.13693452,194.53,39.93837356567383,176,0.001,32501,630,51,32400,-159.5831298828125
-127.64980673000002,195.08,62.17820739746094,180,0.001,33161,642,51,33060,-166.6763458251953
-125.89537121,193.93,98.85601806640625,184,0.001,33752,654,51,33651,-165.85971069335938
-120.80145286999999,196.74,157.16749572753906,188,0.001,34774,674,51,34673,-168.58587646484375
-119.51896734000002,200.65,82.6607666015625,192,0.001,35671,691,51,35570,-169.1560516357422
-121.18951155999999,197.77,53.1290397644043,196,0.001,36341,705,51,36240,-174.0307159423828
-125.26412625,198.64,47.618263244628906,200,0.001,36988,717,51,36887,-178.109619140625
-127.16068639,199.47,44.22322463989258,204,0.001,37844,734,51,37743,-183.21803283691406
-121.75007512999998,195.58,61.92542266845703,208,0.001,38588,749,51,38487,-187.859619140625
-115.71003454000001,195.42,92.99259948730469,212,0.001,39669,770,51,39568,-185.79954528808594
-115.23973012,196.43,77.7986068725586,216,0.001,40543,787,51,40442,-194.4685516357422
-113.38828647999999,201.55,83.1380386352539,220,0.001,41745,811,51,41644,-193.8607177734375
-120.61927102,204.84,136.78164672851562,224,0.001,42699,830,51,42598,-200.56130981445312
-119.42371552,208.57,58.030155181884766,228,0.001,43736,850,51,43635,-218.82095336914062
-122.91816993000002,201.81,60.26210021972656,232,0.001,44124,858,51,44023,-211.6429443359375
-137.66888081,193.44,103.29863739013672,236,0.001,44520,866,51,44419,-212.4755096435547
-143.12196645000003,192.97,71.90461730957031,240,0.001,45094,878,51,44993,-220.55010986328125
-145.4669555,192.95,52.99612045288086,244,0.001,45804,892,51,45703,-212.96759033203125
-149.59544308,185.71,61.727474212646484,248,0.001,46334,902,51,46233,-213.4138946533203
-153.76474331,183.94,189.46104431152344,252,0.001,47142,918,51,47041,-224.8089599609375
-160.3655677,191.2,357.3752136230469,256,0.001,48415,944,51,48314,-236.9943389892578
-154.48206707999998,193.06,60.213829040527344,260,0.001,49351,962,51,49250,-242.28848266601562
-152.88562571000003,200.05,117.552978515625,264,0.001,50734,990,51,50633,-227.248779296875
-152.54759810999997,204.34,43.90129089355469,268,0.001,51813,1012,51,51712,-240.19558715820312
-149.51649838,210.79,33.57893371582031,272,0.001,52773,1031,51,52672,-256.90997314453125
-148.0009115,212.83,222.76573181152344,276,0.001,53784,1052,51,53683,-258.2434387207031
-146.68314475,212.74,76.89688873291016,280,0.001,54435,1065,51,54334,-249.58836364746094
-142.47924002000002,215.72,79.89013671875,284,0.001,55324,1083,51,55223,-266.01739501953125
-141.68140056000001,213.97,39.75279998779297,288,0.001,56171,1100,51,56070,-263.45196533203125
-141.68651900999998,210.97,89.95157623291016,292,0.001,56768,1112,51,56667,-263.1915283203125
-142.18430467999997,213.35,47.23237609863281,296,0.001,57676,1131,50,57575,-265.4283447265625
-142.72413532000002,217.52,54.38542175292969,300,0.001,58740,1153,50,58639,-275.21533203125
-138.53243943,232.78,140.957763671875,304,0.001,61122,1202,50,61021,-282.9748229980469
-141.40260756,234.58,79.6014175415039,308,0.001,62046,1222,50,61945,-280.41497802734375
-140.09542061000002,240.18,271.4075927734375,312,0.001,63687,1256,50,63586,-282.2954406738281
-143.65469776,236.71,123.40094757080078,316,0.001,64214,1267,50,64113,-273.5413818359375
-140.54315726000002,246.7,66.96748352050781,320,0.001,66415,1314,50,66314,-287.1870422363281
-137.29673335,256.97,35.63076400756836,324,0.001,68396,1358,50,68295,-283.1141357421875
-143.42888178,265.56,146.01004028320312,328,0.001,70292,1400,50,70191,-279.5233459472656
-141.25175623,285.03,40.27081298828125,332,0.001,72627,1453,49,72526,-288.5875549316406
-138.30961394,295.43,69.40840148925781,336,0.001,74063,1487,49,73962,-290.4704895019531
-130.61771414,300.35,182.7338409423828,340,0.001,75129,1511,49,75028,-294.7327575683594
-129.68726242,303.59,54.29658126831055,344,0.001,76163,1536,49,76062,-295.5098571777344
-130.0628233,304.41,140.12945556640625,348,0.001,76775,1550,49,76674,-288.2801208496094
-130.27515949,307.52,193.877197265625,352,0.001,77894,1576,49,77793,-307.1025390625
-129.55867049,319.28,66.54928588867188,356,0.001,80343,1634,49,80242,-299.9916076660156
-134.53674092999998,321.71,40.65167999267578,360,0.001,81522,1662,49,81421,-302.2275085449219
-135.75000487999998,316.08,381.4759826660156,364,0.001,82342,1682,48,82241,-295.1012268066406
-137.0756045,314.34,146.7994842529297,368,0.001,83247,1703,48,83146,-294.04931640625
