time/total_timesteps,train/critic_loss,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,time/episodes,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates
351,104.97200775146484,3.2115492820739746,0.001,-534.598224,4,51,87.75,6,250
709,7.0143141746521,11.191324234008789,0.001,-593.4867702500001,8,51,88.625,13,608
1327,18.084352493286133,9.58456039428711,0.001,-487.1292968333334,12,45,110.58333333333333,28,1226
2284,5.701566219329834,4.504344940185547,0.001,-452.9297723125,16,46,142.75,49,2183
3022,14.702788352966309,2.8485801219940186,0.001,-396.81474760000003,20,47,151.1,64,2921
3645,15.876424789428711,-2.1916399002075195,0.001,-348.1427502083333,24,47,151.875,76,3544
4488,9.180938720703125,-8.208569526672363,0.001,-302.92698635714277,28,47,160.28571428571428,93,4387
5243,6.944972991943359,-16.36859703063965,0.001,-269.61628268749996,32,48,163.84375,108,5142
6267,14.617435455322266,-24.03948211669922,0.001,-252.79907480555553,36,48,174.08333333333334,129,6166
7278,10.874015808105469,-32.89552688598633,0.001,-249.284017,40,48,181.95,149,7177
8123,16.137733459472656,-43.249420166015625,0.001,-242.4424806363636,44,48,184.61363636363637,166,8022
9544,10.556081771850586,-66.17293548583984,0.001,-228.71711345833333,48,48,198.83333333333334,197,9443
11271,14.59742259979248,-84.77312469482422,0.001,-231.5526389615385,52,48,216.75,232,11170
11913,25.011011123657227,-84.13822937011719,0.001,-221.89631526785712,56,48,212.73214285714286,245,11812
12474,94.9676742553711,-89.40975189208984,0.001,-212.8460091333333,60,48,207.9,256,12373
13112,101.04359436035156,-98.67347717285156,0.001,-203.74215775000002,64,48,204.875,269,13011
13710,9.584059715270996,-103.03057098388672,0.001,-193.85021273529412,68,48,201.61764705882354,281,13609
14661,16.945110321044922,-106.92566680908203,0.001,-200.08709558333334,72,48,203.625,300,14560
15216,8.182236671447754,-120.76268768310547,0.001,-202.1309345657895,76,48,200.21052631578948,311,15115
15906,19.904598236083984,-120.73040771484375,0.001,-203.9559665875,80,48,198.825,325,15805
16324,25.529754638671875,-126.1396713256836,0.001,-201.44054175000005,84,48,194.33333333333334,334,16223
16961,44.56852722167969,-117.89645385742188,0.001,-199.30650810227277,88,48,192.73863636363637,346,16860
18121,18.831573486328125,-136.21473693847656,0.001,-204.374168076087,92,49,196.9673913043478,369,18020
18548,264.8603820800781,-133.34527587890625,0.001,-205.76585530208334,96,49,193.20833333333334,378,18447
18961,15.84100341796875,-138.5111083984375,0.001,-202.16643008,100,49,189.61,386,18860
