time/episodes,train/actor_loss,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/n_updates,train/critic_loss,time/time_elapsed
4,4.334617614746094,47,-394.081994,404,0.001,101.0,303,28.214797973632812,8
8,10.20745849609375,48,-429.035045625,787,0.001,98.375,686,62.46269226074219,16
12,8.690473556518555,48,-319.4287073333333,1152,0.001,96.0,1051,18.5097599029541,23
16,1.854900598526001,48,-274.643983375,1779,0.001,111.1875,1678,8.036016464233398,36
20,3.160900592803955,48,-241.20977960000005,2243,0.001,112.15,2142,30.11618423461914,45
24,-1.6589152812957764,49,-221.15570941666667,2688,0.001,112.0,2587,24.924598693847656,54
28,-8.669124603271484,49,-208.6386559285714,3169,0.001,113.17857142857143,3068,7.081967353820801,64
32,-12.019103050231934,49,-204.96139403125,3858,0.001,120.5625,3757,7.0338897705078125,78
36,-17.089635848999023,49,-195.0130108611111,4303,0.001,119.52777777777777,4202,19.68603515625,87
40,-16.846555709838867,49,-188.82297675,4814,0.001,120.35,4713,12.781373977661133,97
44,-23.739225387573242,49,-182.7708575681818,5359,0.001,121.79545454545455,5258,6.2384257316589355,108
48,-27.203083038330078,49,-181.02974722916667,5783,0.001,120.47916666666667,5682,9.309375762939453,117
52,-27.697284698486328,49,-176.83596451923074,6209,0.001,119.40384615384616,6108,9.565165519714355,126
56,-34.202735900878906,49,-175.00322355357144,6932,0.001,123.78571428571429,6831,12.5362548828125,140
60,-38.43111038208008,49,-174.99171091666668,7615,0.001,126.91666666666667,7514,12.006794929504395,154
64,-46.81442642211914,49,-174.253838765625,8367,0.001,130.734375,8266,21.94727325439453,169
68,-49.55314636230469,49,-179.99386900000002,9521,0.001,140.01470588235293,9420,11.259992599487305,192
72,-50.86865997314453,49,-176.5573882777778,10117,0.001,140.51388888888889,10016,153.36622619628906,204
76,-54.50629806518555,49,-172.90461882894738,10589,0.001,139.32894736842104,10488,74.97047424316406,214
80,-63.888877868652344,49,-167.1124581,11278,0.001,140.975,11177,14.60322380065918,228
84,-58.933380126953125,49,-167.22666063095238,11778,0.001,140.21428571428572,11677,15.144795417785645,238
88,-67.03203582763672,49,-166.77771189772727,12203,0.001,138.67045454545453,12102,15.68457317352295,247
92,-71.26431274414062,49,-160.97770416304348,12771,0.001,138.81521739130434,12670,80.02772521972656,258
96,-71.42335510253906,49,-157.06267316666666,13171,0.001,137.19791666666666,13070,28.87450408935547,266
100,-77.2635269165039,49,-152.32070364999998,13639,0.001,136.39,13538,23.39525032043457,276
104,-82.40061950683594,49,-140.15498154,14088,0.001,136.84,13987,47.79150390625,285
108,-84.74530792236328,49,-123.9302658,14465,0.001,136.78,14364,28.148662567138672,292
112,-78.36730194091797,49,-122.25334691999998,14791,0.001,136.39,14690,39.33204650878906,299
116,-84.44766235351562,49,-124.09348415000002,15364,0.001,135.85,15263,89.372802734375,310
120,-88.12617492675781,49,-128.05844692,15962,0.001,137.19,15861,173.3641815185547,322
124,-92.49998474121094,49,-127.50689135,16353,0.001,136.65,16252,34.96946716308594,330
128,-102.466552734375,49,-126.43961693999998,17015,0.001,138.46,16914,23.500341415405273,343
132,-98.50557708740234,49,-124.11051284000001,17367,0.001,135.09,17266,32.1907844543457,350
136,-91.97254180908203,49,-123.95603850000002,17762,0.001,134.59,17661,85.15385437011719,358
140,-99.24308013916016,49,-122.50505496,18166,0.001,133.52,18065,61.14114761352539,366
144,-95.20654296875,49,-119.74618106999998,18652,0.001,132.93,18551,31.821735382080078,376
148,-102.52006530761719,49,-115.66853618999998,19118,0.001,133.35,19017,17.28260040283203,385
152,-99.61549377441406,49,-115.35040333000002,19661,0.001,134.52,19560,105.5234603881836,396
156,-100.70098876953125,49,-115.17793014999998,20166,0.001,132.34,20065,35.80480194091797,406
160,-111.61939239501953,49,-112.22591676000002,20541,0.001,129.26,20440,87.50181579589844,414
164,-114.30999755859375,49,-110.13650046999999,20971,0.001,126.04,20870,93.0162353515625,422
168,-115.48109436035156,49,-101.15145709000001,21452,0.001,119.31,21351,33.814266204833984,432
172,-112.24960327148438,49,-99.16358934999998,21898,0.001,117.81,21797,89.79585266113281,441
176,-123.55242919921875,49,-99.39694602,22537,0.001,119.48,22436,51.26897430419922,453
180,-130.1923370361328,49,-103.0159294,23483,0.001,122.05,23382,83.94532012939453,472
184,-130.6748046875,49,-102.91508706000002,24049,0.001,122.71,23948,49.37390899658203,486
188,-136.0522918701172,49,-106.10414953000003,24563,0.001,123.6,24462,37.20713424682617,496
192,-136.3272705078125,49,-116.61527076,25172,0.001,124.01,25071,113.73119354248047,508
