time/episodes,time/total_timesteps,train/critic_loss,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/learning_rate,rollout/ep_len_mean,train/actor_loss
4,508,58.54789352416992,407,-1066.96002175,7,66,0.001,127.0,13.947319030761719
8,919,65.67683410644531,818,-853.273281,15,60,0.001,114.875,15.401491165161133
12,1463,40.99641418457031,1362,-663.5232085833333,25,56,0.001,121.91666666666667,14.494144439697266
16,1799,13.301704406738281,1698,-650.4646114375,32,55,0.001,112.4375,23.99400520324707
20,2368,66.49948120117188,2267,-550.54941615,43,54,0.001,118.4,22.691709518432617
24,2814,8.365289688110352,2713,-532.2396716249999,51,54,0.001,117.25,26.92643165588379
28,3707,6.828827857971191,3606,-510.52415285714284,68,53,0.001,132.39285714285714,22.139163970947266
32,4442,6.9286580085754395,4341,-469.36991109375,82,53,0.001,138.8125,13.466444969177246
36,5193,76.74452209472656,5092,-440.2553394722222,97,53,0.001,144.25,15.7071533203125
40,6148,24.922910690307617,6047,-419.107203,115,53,0.001,153.7,14.947793960571289
44,7109,7.77308988571167,7008,-399.33542370454546,133,53,0.001,161.5681818181818,14.344317436218262
48,7906,6.947625637054443,7805,-379.0768527083333,148,53,0.001,164.70833333333334,5.415147304534912
52,8602,6.037583351135254,8501,-365.1361712500001,161,53,0.001,165.42307692307693,-2.019026517868042
56,9438,4.467129707336426,9337,-354.14799657142856,177,53,0.001,168.53571428571428,-4.1764726638793945
60,10360,16.70977210998535,10259,-343.84277323333333,194,53,0.001,172.66666666666666,-15.81253433227539
64,10915,6.309725284576416,10814,-327.166119359375,205,53,0.001,170.546875,-16.310035705566406
68,11584,12.280801773071289,11483,-309.71805083823534,218,53,0.001,170.35294117647058,-22.82319450378418
72,12669,30.55640411376953,12568,-293.73515540277776,238,53,0.001,175.95833333333334,-25.051685333251953
76,13212,4.869790077209473,13111,-282.8915838157895,249,53,0.001,173.8421052631579,-33.604637145996094
80,13747,12.870811462402344,13646,-275.1657434875,259,52,0.001,171.8375,-28.273672103881836
84,14731,40.03557586669922,14630,-266.84468542857144,278,52,0.001,175.36904761904762,-37.19910430908203
88,15350,40.861045837402344,15249,-254.6043388522727,290,52,0.001,174.4318181818182,-39.125858306884766
92,16070,69.22130584716797,15969,-251.3141458369565,304,52,0.001,174.67391304347825,-49.21113586425781
96,16566,21.3331356048584,16465,-250.6051599583333,313,52,0.001,172.5625,-47.7625732421875
100,17368,50.24340057373047,17267,-251.17330584999996,329,52,0.001,173.68,-53.26284408569336
104,17909,19.935962677001953,17808,-218.38996519,339,52,0.001,174.01,-50.96845626831055
108,18670,25.60943031311035,18569,-203.71087708,354,52,0.001,177.51,-55.583404541015625
112,19166,11.111042976379395,19065,-195.11437100000003,364,52,0.001,177.03,-57.16807556152344
116,19557,22.4550838470459,19456,-175.11839581000004,371,52,0.001,177.58,-58.258506774902344
120,19999,10.831609725952148,19898,-172.73974621999997,380,52,0.001,176.31,-61.87868118286133
124,20645,12.065652847290039,20544,-159.81667256999998,393,52,0.001,178.31,-56.76837158203125
128,21083,27.31606674194336,20982,-146.10781060000002,401,52,0.001,173.76,-66.06834411621094
132,21663,14.402531623840332,21562,-142.84966599,412,52,0.001,172.21,-61.45622253417969
136,22340,13.072518348693848,22239,-137.96408094,425,52,0.001,171.47,-68.14863586425781
140,22915,30.407320022583008,22814,-130.98606757000002,436,52,0.001,167.67,-68.88082885742188
144,23416,13.678814888000488,23315,-127.90967694000001,446,52,0.001,163.07,-74.26019287109375
148,23809,37.93046951293945,23708,-124.56794800000003,453,52,0.001,159.03,-69.423828125
152,24226,19.289674758911133,24125,-120.11789950000002,461,52,0.001,156.24,-74.51589965820312
156,24728,18.186128616333008,24627,-114.96927948999999,471,52,0.001,152.9,-70.21028137207031
160,25334,15.504085540771484,25233,-110.90525877999998,482,52,0.001,149.74,-79.39507293701172
164,25832,76.88787078857422,25731,-112.34940613,492,52,0.001,149.17,-79.8929443359375
168,26383,17.752342224121094,26282,-115.41363043,503,52,0.001,147.99,-80.25428009033203
172,27021,68.23768615722656,26920,-117.68369636000001,515,52,0.001,143.52,-79.08038330078125
176,27755,26.19158935546875,27654,-120.51680282000001,529,52,0.001,145.43,-74.84916687011719
180,28301,48.9538688659668,28200,-118.57136641999999,539,52,0.001,145.54,-81.55967712402344
184,29240,14.572277069091797,29139,-117.92835781,558,52,0.001,145.09,-86.85324096679688
188,30190,75.44715881347656,30089,-121.01271264,576,52,0.001,148.4,-88.20025634765625
192,30823,20.450902938842773,30722,-117.04908287,588,52,0.001,147.53,-86.63154602050781
196,31479,43.418148040771484,31378,-112.00749533,601,52,0.001,149.13,-88.1925048828125
200,32449,84.3694839477539,32348,-105.63784929000002,619,52,0.001,150.81,-88.9906997680664
