time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/learning_rate,time/episodes,time/fps,train/n_updates
355,0.9977516666666667,88.75,0,-137.3602175,0.8797816634178162,0.0001,4,645,63
678,0.995706,84.75,0,-142.29945650000002,1.4085261821746826,0.0001,8,762,144
1141,0.992773666666667,95.08333333333333,1,-177.88545033333332,1.2419408559799194,0.0001,12,861,260
1529,0.990316333333333,95.5625,1,-164.825544375,0.9522411823272705,0.0001,16,904,357
1877,0.9881123333333329,93.85,2,-188.45189475,7.362163066864014,0.0001,20,922,444
2243,0.9857943333333338,93.45833333333333,2,-197.8866631666667,1.4882054328918457,0.0001,24,940,535
2587,0.9836156666666663,92.39285714285714,2,-205.70110642857145,1.5989102125167847,0.0001,28,950,621
2922,0.9814940000000005,91.3125,3,-201.89967478124998,0.6562985181808472,0.0001,32,943,705
3326,0.9789353333333337,92.38888888888889,3,-194.8414119166667,1.8065563440322876,0.0001,36,950,806
3690,0.9766299999999999,92.25,3,-190.107731075,0.841953456401825,0.0001,40,960,897
4018,0.9745526666666662,91.31818181818181,4,-191.6315739318182,2.2227442264556885,0.0001,44,967,979
4403,0.9721143333333337,91.72916666666667,4,-183.417758875,0.8673686385154724,0.0001,48,974,1075
4734,0.9700179999999996,91.03846153846153,4,-184.90801725,4.514836311340332,0.0001,52,980,1158
5136,0.9674720000000002,91.71428571428571,5,-178.64571323214287,0.7345249652862549,0.0001,56,987,1258
5545,0.9648816666666665,92.41666666666667,5,-181.63508636666668,0.5314196944236755,0.0001,60,990,1361
5902,0.9626206666666669,92.21875,5,-178.47641839062499,0.7310523390769958,0.0001,64,995,1450
6292,0.9601506666666666,92.52941176470588,6,-178.5679916617647,0.953200101852417,0.0001,68,999,1547
6643,0.957927666666667,92.26388888888889,6,-179.12959313888888,1.2971631288528442,0.0001,72,1002,1635
7047,0.9553690000000001,92.72368421052632,7,-180.48296349999998,3.9655284881591797,0.0001,76,1006,1736
7456,0.9527786666666666,93.2,7,-184.1182645,0.8645088076591492,0.0001,80,1008,1838
7884,0.9500679999999997,93.85714285714286,7,-183.22405658333335,2.1434543132781982,0.0001,84,1011,1945
8277,0.9475789999999998,94.05681818181819,8,-182.01997452272727,4.4382147789001465,0.0001,88,1013,2044
8670,0.94509,94.23913043478261,8,-186.14334545652176,0.9662376642227173,0.0001,92,1015,2142
9026,0.9428353333333335,94.02083333333333,8,-184.49657657291664,0.6757088899612427,0.0001,96,1017,2231
9480,0.9399600000000001,94.8,9,-181.47106435,0.78350430727005,0.0001,100,1019,2344
9791,0.9379903333333334,94.36,9,-181.55429465000006,0.40594831109046936,0.0001,104,1019,2422
10239,0.935153,95.61,10,-181.79883961,4.762881755828857,0.0001,108,1011,2534
10576,0.9330186666666669,94.35,10,-177.65343772,1.2991359233856201,0.0001,112,1012,2618
10983,0.9304409999999995,94.54,10,-182.63039964,2.0735368728637695,0.0001,116,1013,2720
11414,0.9277113333333331,95.37,11,-177.10617116000006,0.9330047369003296,0.0001,120,1014,2828
11841,0.9250070000000004,95.98,11,-179.27449729,0.8127028942108154,0.0001,124,1015,2935
12192,0.9227839999999998,96.05,11,-175.25696355,1.2343285083770752,0.0001,128,1016,3022
12589,0.9202696666666662,96.67,12,-175.08999232000002,1.1524076461791992,0.0001,132,1016,3122
13046,0.9173753333333333,97.2,12,-176.94722413999997,0.4859805405139923,0.0001,136,1017,3236
13398,0.9151459999999996,97.08,13,-174.65605775999995,3.8214519023895264,0.0001,140,1018,3324
13832,0.9123973333333336,98.14,13,-171.85057389999997,3.8384978771209717,0.0001,144,1018,3432
14196,0.9100919999999998,97.93,13,-171.95841898999998,3.6202971935272217,0.0001,148,1018,3523
14611,0.9074636666666671,98.77,14,-170.98460801000002,3.7439305782318115,0.0001,152,1018,3627
15047,0.9047023333333338,99.11,14,-172.72727353000002,3.126183032989502,0.0001,156,1019,3736
15432,0.9022640000000004,98.87,15,-169.23909356000001,3.7634401321411133,0.0001,160,1019,3832
15810,0.8998700000000001,99.08,15,-173.84996433,1.0148472785949707,0.0001,164,1019,3927
16207,0.8973556666666664,99.15,15,-171.65995389999998,1.6022545099258423,0.0001,168,1019,4026
16622,0.8947273333333329,99.79,16,-171.86235805999996,0.7929279804229736,0.0001,172,1020,4130
17109,0.8916429999999997,100.62,16,-167.63039410999997,4.214217185974121,0.0001,176,1020,4252
17506,0.8891286666666662,100.5,17,-166.20832377000002,0.6534061431884766,0.0001,180,1020,4351
17914,0.8865446666666668,100.3,17,-166.51107182999996,1.0155080556869507,0.0001,184,1020,4453
18312,0.884024,100.35,17,-165.31351568999997,0.4641938805580139,0.0001,188,1021,4552
18751,0.8812436666666662,100.81,18,-161.29837278,3.617805242538452,0.0001,192,1021,4662
19190,0.8784633333333335,101.64,18,-161.03819095,3.5517170429229736,0.0001,196,1021,4772
19575,0.8760249999999999,100.95,19,-163.10920869999998,0.39326155185699463,0.0001,200,1021,4868
20013,0.8732510000000003,102.22,19,-164.92599363999997,3.941592216491699,0.0001,204,1021,4978
20360,0.8710533333333335,101.21,19,-163.54054545,3.761162757873535,0.0001,208,1021,5064
20692,0.8689506666666671,101.16,20,-162.06679871999998,0.7219112515449524,0.0001,212,1022,5147
21153,0.8660310000000006,101.7,20,-158.51678779999997,3.7577786445617676,0.0001,216,1022,5263
21611,0.8631303333333333,101.97,21,-158.77397781,1.2943363189697266,0.0001,220,1022,5377
22060,0.8602866666666669,102.19,21,-152.44804865,1.3597332239151,0.0001,224,1022,5489
22421,0.8580003333333335,102.29,21,-152.76601684,0.4000132083892822,0.0001,228,1022,5580
22788,0.8556760000000001,101.99,22,-149.79416629,4.233654499053955,0.0001,232,1022,5671
23223,0.852921,101.77,22,-147.84177688,6.635491847991943,0.0001,236,1021,5780
23664,0.8501279999999999,102.66,23,-149.35567759,3.722111463546753,0.0001,240,1021,5890
24032,0.8477973333333334,102.0,23,-150.4560829,5.123047351837158,0.0001,244,1021,5982
24414,0.8453780000000004,102.18,23,-149.80667788,0.9815157651901245,0.0001,248,1021,6078
24869,0.8424963333333338,102.58,24,-148.39821150999995,0.3873552680015564,0.0001,252,1020,6192
25294,0.8398046666666664,102.47,24,-147.5624332,0.5894731283187866,0.0001,256,1020,6298
25662,0.8374739999999999,102.3,25,-146.49465694,2.893808364868164,0.0001,260,1020,6390
26073,0.8348709999999999,102.63,25,-140.70107786,2.8192496299743652,0.0001,264,1020,6493
26520,0.8320399999999998,103.13,25,-143.16322358000002,0.5222469568252563,0.0001,268,1020,6604
26960,0.8292533333333338,103.38,26,-140.80495596,0.6681602597236633,0.0001,272,1020,6714
27474,0.825998,103.65,26,-141.99323761999997,6.647557258605957,0.0001,276,1020,6843
27789,0.8240029999999996,102.83,27,-138.56390801,0.6113516092300415,0.0001,280,1020,6922
28237,0.8211656666666662,103.23,27,-135.82735645999998,1.1311564445495605,0.0001,284,1020,7034
28678,0.8183726666666672,103.66,28,-136.20194253999998,0.7019479870796204,0.0001,288,1020,7144
