time/episodes,train/loss,time/time_elapsed,rollout/ep_rew_mean,rollout/exploration_rate,train/learning_rate,time/fps,time/total_timesteps,rollout/ep_len_mean,train/n_updates
4,3.0525574684143066,0,-225.56524525,0.9941100000000005,0.0001,1106,372,93.0,67
8,1.3408199548721313,0,-248.421055625,0.9878400000000005,0.0001,964,768,96.0,166
12,2.0543951988220215,1,-212.7213760833333,0.9816174999999998,0.0001,995,1161,96.75,265
16,0.9685143828392029,1,-207.2077998125,0.9762025000000002,0.0001,1004,1503,93.9375,350
20,1.134432315826416,1,-182.70066140000003,0.9711041666666662,0.0001,1005,1825,91.25,431
24,3.9193592071533203,2,-181.86879629166665,0.965594166666667,0.0001,1017,2173,90.54166666666667,518
28,1.543351173400879,2,-175.07343225,0.9588175000000002,0.0001,1020,2601,92.89285714285714,625
32,1.0911325216293335,3,-181.02619109375001,0.9518983333333335,0.0001,1008,3038,94.9375,734
36,0.6187406182289124,3,-202.12985497222223,0.9456916666666664,0.0001,1010,3430,95.27777777777777,832
40,4.385443210601807,3,-196.32254204999998,0.939516666666667,0.0001,1016,3820,95.5,929
44,0.9594577550888062,4,-194.35373168181815,0.9331516666666665,0.0001,1019,4222,95.95454545454545,1030
48,1.379133701324463,4,-192.50072239583335,0.9276416666666663,0.0001,1020,4570,95.20833333333333,1117
52,1.2697864770889282,4,-197.67674409615387,0.9211341666666668,0.0001,1019,4981,95.78846153846153,1220
56,0.8948673009872437,5,-190.82628710714286,0.9158775000000006,0.0001,1019,5313,94.875,1303
60,3.8055222034454346,5,-183.9930779166667,0.910430833333333,0.0001,1018,5657,94.28333333333333,1389
64,1.100471019744873,5,-189.91176560937498,0.9038599999999999,0.0001,1018,6072,94.875,1492
68,0.7423461675643921,6,-187.07041726470584,0.8978275000000004,0.0001,1018,6453,94.8970588235294,1588
72,3.7145581245422363,6,-183.798773625,0.8906391666666664,0.0001,1017,6907,95.93055555555556,1701
76,0.5030826926231384,7,-186.23784286842107,0.883324166666667,0.0001,1017,7369,96.96052631578948,1817
80,1.248862385749817,7,-190.0828828875,0.8772599999999996,0.0001,1016,7752,96.9,1912
84,1.284096598625183,8,-191.1453378571429,0.8697391666666666,0.0001,1017,8227,97.94047619047619,2031
88,0.4601344168186188,8,-191.6252547727273,0.8640233333333338,0.0001,1015,8588,97.5909090909091,2121
92,1.5427193641662598,8,-193.6197949782609,0.8564075000000001,0.0001,1014,9069,98.57608695652173,2242
96,3.3517906665802,9,-189.78661634374998,0.8489025000000006,0.0001,1014,9543,99.40625,2360
100,3.596297025680542,9,-186.66417963,0.8436299999999997,0.0001,1014,9876,98.76,2443
104,1.1270697116851807,10,-184.65967313,0.8359349999999999,0.0001,1013,10362,99.9,2565
108,1.6057955026626587,10,-180.70896077,0.8279866666666662,0.0001,1012,10864,100.96,2690
112,0.44075649976730347,11,-181.59858506,0.8210516666666672,0.0001,1011,11302,101.41,2800
116,0.5915912985801697,11,-180.46217728,0.8143541666666665,0.0001,1011,11725,102.22,2906
120,0.5265700817108154,11,-181.75465183000003,0.8080050000000005,0.0001,1011,12126,103.01,3006
124,0.9988049268722534,12,-179.55987461999996,0.8007691666666672,0.0001,1010,12583,104.1,3120
128,0.5052770376205444,12,-178.99804704999994,0.7940558333333332,0.0001,1010,13007,104.06,3226
132,2.552090883255005,13,-174.64617929,0.7864399999999995,0.0001,1009,13488,104.5,3346
136,2.1322181224823,13,-167.96256767,0.7790458333333329,0.0001,1007,13955,105.25,3463
140,1.4056044816970825,14,-169.08500785999996,0.7713033333333339,0.0001,1007,14444,106.24,3585
144,3.584284782409668,14,-167.88283689000002,0.7640516666666671,0.0001,1007,14902,106.8,3700
