train/n_updates,time/fps,time/time_elapsed,train/learning_rate,time/episodes,time/total_timesteps,train/loss,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean
78,215,1,0.0001,4,414,4.125053882598877,0.9934450000000004,-242.61231325,103.5
168,336,2,0.0001,8,774,1.9807027578353882,0.9877449999999999,-224.244937875,96.75
257,424,2,0.0001,12,1132,1.4341864585876465,0.9820766666666663,-213.06815200000003,94.33333333333333
362,502,3,0.0001,16,1550,0.6875108480453491,0.9754583333333329,-220.8129036875,96.875
452,553,3,0.0001,20,1909,1.5180552005767822,0.9697741666666669,-226.58884185000002,95.45
569,610,3,0.0001,24,2380,3.849172353744507,0.9623166666666666,-240.86716633333336,99.16666666666667
661,644,4,0.0001,28,2747,1.6037445068359375,0.9565058333333332,-237.6151477857143,98.10714285714286
767,677,4,0.0001,32,3169,1.1963437795639038,0.949824166666667,-224.0255464375,99.03125
869,704,5,0.0001,36,3578,0.9653531312942505,0.9433483333333335,-215.52967638888887,99.38888888888889
978,728,5,0.0001,40,4015,4.167569637298584,0.9364291666666669,-207.141026625,100.375
1083,748,5,0.0001,44,4436,0.8781828284263611,0.929763333333333,-205.4156660681818,100.81818181818181
1201,769,6,0.0001,48,4908,0.647612452507019,0.9222900000000004,-197.51964622916663,102.25
1301,783,6,0.0001,52,5305,0.8040820360183716,0.916004166666667,-197.27282878846148,102.01923076923077
1416,794,7,0.0001,56,5765,4.144698619842529,0.9087208333333334,-201.25079989285717,102.94642857142857
1516,797,7,0.0001,60,6166,0.7752608060836792,0.9023716666666662,-195.64769786666668,102.76666666666667
1606,806,8,0.0001,64,6526,1.1601614952087402,0.8966716666666669,-190.54146821874997,101.96875
1709,815,8,0.0001,68,6939,4.4622087478637695,0.8901324999999995,-187.24943282352942,102.04411764705883
1803,823,8,0.0001,72,7316,1.5628492832183838,0.8841633333333339,-185.21795144444445,101.61111111111111
1903,830,9,0.0001,76,7713,4.44685697555542,0.8778775000000005,-180.57037719736843,101.48684210526316
2005,837,9,0.0001,80,8122,4.707569599151611,0.871401666666667,-180.45415695000003,101.525
2095,842,10,0.0001,84,8481,0.5501980781555176,0.8657174999999999,-178.21598759523812,100.96428571428571
2209,849,10,0.0001,88,8938,3.864217519760132,0.8584816666666666,-175.65979207954544,101.56818181818181
2305,854,10,0.0001,92,9321,0.7486428022384644,0.8524175000000004,-173.05588495652174,101.31521739130434
2401,858,11,0.0001,96,9705,0.82650226354599,0.8463374999999995,-171.1820849375,101.09375
2483,846,11,0.0001,100,10035,1.0883053541183472,0.8411125000000002,-170.75979456000002,100.35
2566,850,12,0.0001,104,10367,3.6914191246032715,0.8358558333333338,-166.92343597,99.53
2652,853,12,0.0001,108,10710,0.6517096161842346,0.8304249999999997,-164.22663082000003,99.36
2755,858,12,0.0001,112,11124,0.620568037033081,0.82387,-160.47774221,99.92
2865,862,13,0.0001,116,11561,3.1691994667053223,0.8169508333333334,-155.21398257,100.11
2986,858,14,0.0001,120,12047,3.876412868499756,0.8092558333333336,-151.07093314,101.38
3098,854,14,0.0001,124,12493,0.5834725499153137,0.802194166666667,-142.73732605,101.13
3218,853,15,0.0001,128,12975,4.236133575439453,0.7945625,-137.73020436,102.28
3310,848,15,0.0001,132,13341,0.7069209218025208,0.7887675,-138.33752713,101.72
3433,847,16,0.0001,136,13833,0.5852470993995667,0.7809774999999995,-136.27808763000002,102.55
3543,847,16,0.0001,140,14275,1.0206749439239502,0.7739791666666668,-134.81842891999997,102.6
3661,842,17,0.0001,144,14747,0.7435797452926636,0.766505833333333,-134.37451189999996,103.11
3746,838,17,0.0001,148,15085,0.5695835947990417,0.7611541666666671,-136.78465849999998,101.77
3884,835,18,0.0001,152,15640,1.7574055194854736,0.7523666666666665,-137.10331758999996,103.35
3982,837,19,0.0001,156,16032,3.873568296432495,0.7461600000000004,-131.62830397,102.67
4112,834,19,0.0001,160,16551,0.6336655020713806,0.7379425000000003,-133.98767501999998,103.85
4218,837,20,0.0001,164,16973,3.7903308868408203,0.731260833333333,-135.06934435,104.47
4344,837,20,0.0001,168,17477,0.8895696401596069,0.7232808333333336,-135.25555088000002,105.38
4472,839,21,0.0001,172,17991,0.8495907187461853,0.7151424999999997,-133.32941044999998,106.75
4596,841,21,0.0001,176,18487,0.38074803352355957,0.7072891666666665,-134.62485887,107.74
4728,841,22,0.0001,180,19014,0.6779063940048218,0.6989450000000001,-134.05347586,108.92
4842,843,23,0.0001,184,19472,2.7628421783447266,0.6916933333333334,-133.79453706999996,109.91
4979,845,23,0.0001,188,20019,4.240775108337402,0.6830325000000003,-134.46888002999998,110.81
5132,846,24,0.0001,192,20629,1.0258475542068481,0.6733741666666669,-134.26510201,113.08
5267,847,24,0.0001,196,21170,1.2390897274017334,0.6648083333333334,-134.73217001,114.65
5417,849,25,0.0001,200,21770,3.971000909805298,0.6553083333333334,-133.37447087,117.35
5534,850,26,0.0001,204,22239,0.9332077503204346,0.6478824999999999,-132.24595967999997,118.72
5685,852,26,0.0001,208,22841,0.9007639288902283,0.638350833333333,-130.25225834000003,121.31
5807,853,27,0.0001,212,23332,0.5674919486045837,0.6305766666666671,-132.41781415000003,122.08
5941,854,27,0.0001,216,23866,0.6215652227401733,0.6221216666666666,-131.49822374,123.05
6061,855,28,0.0001,220,24348,0.45414674282073975,0.6144900000000004,-131.49084008999998,123.01
6162,855,28,0.0001,224,24751,0.4909057021141052,0.6081091666666665,-131.57930270999998,122.58
6309,856,29,0.0001,228,25338,0.70648592710495,0.5988150000000001,-132.81417291999998,123.63
6445,857,30,0.0001,232,25881,0.5135209560394287,0.5902174999999997,-130.04074626,125.4
6591,858,30,0.0001,236,26467,3.4093222618103027,0.5809391666666668,-131.70429894999998,126.34
6813,859,31,0.0001,240,27355,3.4121060371398926,0.5668791666666664,-131.6909489,130.8
7024,860,32,0.0001,244,28197,3.8686416149139404,0.5535475,-128.80331282,134.5
7235,858,33,0.0001,248,29041,1.4416078329086304,0.5401841666666667,-126.6629426,139.56
7431,859,34,0.0001,252,29828,0.725374698638916,0.5277233333333339,-121.62879491999998,141.88
7675,859,35,0.0001,256,30804,0.8958364725112915,0.5122700000000007,-119.62842193,147.72
7855,860,36,0.0001,260,31524,1.4196444749832153,0.5008699999999997,-115.40273848999999,149.73
8086,861,37,0.0001,264,32446,0.5308070182800293,0.48627166666666677,-113.04371953,154.73
8304,862,38,0.0001,268,33318,0.7182742953300476,0.47246500000000036,-108.83241273999997,158.41
8478,863,39,0.0001,272,34014,0.5429354310035706,0.4614449999999999,-107.59448615999997,160.23
8662,862,40,0.0001,276,34749,4.116322994232178,0.4498074999999996,-105.31853283999999,162.62
8862,860,41,0.0001,280,35551,0.755609929561615,0.43710916666666644,-101.79439655,165.37
9233,860,43,0.0001,284,37033,0.3436582088470459,0.4136441666666667,-98.83014658000002,175.61
9563,860,44,0.0001,288,38353,0.9678051471710205,0.3927441666666669,-94.98947368,183.34
10399,859,48,0.0001,292,41699,0.6917492151260376,0.33976583333333354,-91.54052491,210.7
11031,859,51,0.0001,296,44226,0.4773961305618286,0.29975500000000055,-87.84248156,230.56
12001,858,56,0.0001,300,48107,0.46934688091278076,0.23830583333333322,-85.84964559,263.37
13001,856,60,0.0001,304,52107,0.6381546258926392,0.17497249999999953,-85.1431762,298.68
14001,855,65,0.0001,308,56107,1.2503974437713623,0.11163916666666673,-82.78086730999999,332.66
15001,853,70,0.0001,312,60107,0.800791323184967,0.05,-80.48309415999998,367.75
16001,850,75,0.0001,316,64107,0.9109233021736145,0.05,-81.28218593000001,402.41
17001,847,80,0.0001,320,68107,0.946937084197998,0.05,-80.02989692,437.59
18001,845,85,0.0001,324,72107,0.7960075736045837,0.05,-80.37858639,473.56
19001,843,90,0.0001,328,76107,0.3804076611995697,0.05,-79.00690932999998,507.69
20001,841,95,0.0001,332,80107,0.552285373210907,0.05,-80.86741951999998,542.26
21001,839,100,0.0001,336,84107,0.28668010234832764,0.05,-78.59797366,576.4
22001,838,105,0.0001,340,88107,0.680821418762207,0.05,-79.56646985,607.52
23001,836,110,0.0001,344,92107,0.9040777683258057,0.05,-79.09109107999998,639.1
24001,835,115,0.0001,348,96107,0.9292946457862854,0.05,-77.98390444000002,670.66
25001,835,119,0.0001,352,100107,0.9194846153259277,0.05,-78.25403719,702.79
26001,834,124,0.0001,356,104107,0.5042951703071594,0.05,-78.78380943,733.03
27001,833,129,0.0001,360,108107,0.716291069984436,0.05,-80.08707184,765.83
28001,831,134,0.0001,364,112107,0.6152454614639282,0.05,-80.1086043,796.61
29001,831,139,0.0001,368,116107,0.39252978563308716,0.05,-83.26327035,827.89
30001,831,144,0.0001,372,120107,0.5725473761558533,0.05,-84.72397563999999,860.93
31001,830,149,0.0001,376,124107,0.4802698493003845,0.05,-85.42472840999999,893.58
32001,829,154,0.0001,380,128107,0.6746501922607422,0.05,-86.11861416999999,925.56
33001,828,159,0.0001,384,132107,0.61374431848526,0.05,-88.21159001999999,950.74
34001,828,164,0.0001,388,136107,0.4646482467651367,0.05,-89.51428546000001,977.54
35001,827,169,0.0001,392,140107,0.5868912935256958,0.05,-93.23713103999998,984.08
36001,826,174,0.0001,396,144107,0.6325575113296509,0.05,-94.83581133999998,998.81
37001,826,179,0.0001,400,148107,0.5127584338188171,0.05,-95.20727996999999,1000.0
38001,825,184,0.0001,404,152107,0.3679676055908203,0.05,-94.67354386999997,1000.0
39001,825,189,0.0001,408,156107,0.669038712978363,0.05,-95.801262,1000.0
40001,825,194,0.0001,412,160107,0.4651085436344147,0.05,-96.25354100999999,1000.0
41001,824,199,0.0001,416,164107,0.22568850219249725,0.05,-95.50052517999998,1000.0
42001,824,203,0.0001,420,168107,0.24508820474147797,0.05,-95.05585696,1000.0
43001,823,208,0.0001,424,172107,0.2937009632587433,0.05,-94.22281367000001,1000.0
44001,823,213,0.0001,428,176107,0.30361229181289673,0.05,-94.97681425000002,1000.0
45001,823,218,0.0001,432,180107,0.48861390352249146,0.05,-93.88720058000001,1000.0
46001,822,223,0.0001,436,184107,0.7364349365234375,0.05,-93.82677938,1000.0
47001,822,228,0.0001,440,188107,0.38918477296829224,0.05,-92.36421702999998,1000.0
48001,821,233,0.0001,444,192107,0.237981915473938,0.05,-91.45306699000001,1000.0
49001,821,238,0.0001,448,196107,0.6366188526153564,0.05,-91.73949271,1000.0
50001,820,243,0.0001,452,200107,0.7961128354072571,0.05,-92.42383823999997,1000.0
51001,820,248,0.0001,456,204107,0.3258574903011322,0.05,-92.53636025000002,1000.0
52001,820,253,0.0001,460,208107,0.8935895562171936,0.05,-91.56515205999999,1000.0
53001,820,258,0.0001,464,212107,1.058067798614502,0.05,-90.09804431999999,1000.0
54001,820,263,0.0001,468,216107,0.39866840839385986,0.05,-88.34387516000001,1000.0
55001,819,268,0.0001,472,220107,0.5308566093444824,0.05,-87.31252064,1000.0
56001,819,273,0.0001,476,224107,0.29243922233581543,0.05,-86.16787008,1000.0
57001,819,278,0.0001,480,228107,0.2694168984889984,0.05,-85.45882453,1000.0
58001,819,283,0.0001,484,232107,0.5560082793235779,0.05,-84.04280598999999,1000.0
59001,819,288,0.0001,488,236107,0.6133476495742798,0.05,-84.22849642999999,1000.0
60001,819,292,0.0001,492,240107,0.36143216490745544,0.05,-82.22193180000001,1000.0
61001,819,297,0.0001,496,244107,0.5047129988670349,0.05,-81.51053103999999,1000.0
62001,819,302,0.0001,500,248107,0.46168720722198486,0.05,-79.96382150000001,1000.0
63001,819,307,0.0001,504,252107,2.0753653049468994,0.05,-79.64356782,1000.0
64001,818,312,0.0001,508,256107,0.4330841302871704,0.05,-79.57157828000001,1000.0
65001,818,317,0.0001,512,260107,0.3339461386203766,0.05,-77.29309663999999,1000.0
66001,818,322,0.0001,516,264107,0.37176454067230225,0.05,-75.07415689999999,1000.0
67001,818,327,0.0001,520,268107,1.6350586414337158,0.05,-72.96631674,1000.0
68001,818,332,0.0001,524,272107,0.5392985343933105,0.05,-69.87774203,1000.0
69001,818,337,0.0001,528,276107,0.2549074590206146,0.05,-67.51634519,1000.0
70001,818,342,0.0001,532,280107,0.4728650748729706,0.05,-64.76390826000001,1000.0
