time/episodes,train/n_updates,rollout/exploration_rate,train/loss,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/learning_rate,rollout/ep_len_mean,time/total_timesteps
4,380,0.9990399999999998,1.2143618315458298,1,-166.354975,276,0.00063,96.0,384
8,780,0.9980475000000002,1.3660845458507538,2,-253.325084375,293,0.00063,97.625,781
12,1144,0.9971300000000002,1.5374483838677406,3,-232.4830205833333,309,0.00063,95.66666666666667,1148
16,1504,0.9962324999999996,2.1338710337877274,4,-200.26353775,316,0.00063,94.1875,1507
20,1892,0.9952650000000001,0.8172531872987747,5,-209.53387130000002,321,0.00063,94.7,1894
24,2240,0.9943974999999996,1.0996180772781372,6,-205.86835904166665,323,0.00063,93.375,2241
28,2636,0.9934000000000001,0.93819510191679,8,-216.64429060714286,325,0.00063,94.28571428571429,2640
32,2992,0.9925174999999999,1.146434262394905,9,-204.53427459374998,327,0.00063,93.53125,2993
36,3352,0.9916150000000004,1.4162881076335907,10,-204.41316563888887,329,0.00063,93.16666666666667,3354
40,3704,0.9907325000000002,1.8048961013555527,11,-202.255634225,330,0.00063,92.675,3707
44,4068,0.9898224999999996,1.161061629652977,12,-203.05171013636362,330,0.00063,92.52272727272727,4071
48,4468,0.9888275000000004,2.7346993684768677,13,-202.46589377083333,331,0.00063,93.10416666666667,4469
52,4828,0.9879249999999999,1.2818795293569565,14,-197.89338980769233,332,0.00063,92.88461538461539,4830
56,5116,0.9872024999999998,1.2049433588981628,15,-195.4600049642857,333,0.00063,91.41071428571429,5119
60,5572,0.9860599999999999,2.12273508310318,16,-191.4294446166667,333,0.00063,92.93333333333334,5576
64,5880,0.9852949999999996,1.8131718039512634,17,-192.66350882812498,333,0.00063,91.90625,5882
68,6212,0.9844600000000002,0.9279832616448402,18,-193.54265492647056,333,0.00063,91.41176470588235,6216
72,6596,0.9835050000000001,1.4631797224283218,19,-190.2529710138889,334,0.00063,91.63888888888889,6598
76,6912,0.9827174999999999,2.4187607169151306,20,-184.69453796052633,334,0.00063,90.96052631578948,6913
80,7288,0.9817699999999998,0.9185658246278763,21,-185.1550643125,334,0.00063,91.15,7292
84,7660,0.9808425000000001,1.7606948614120483,22,-181.374938702381,334,0.00063,91.22619047619048,7663
88,8000,0.9799975000000002,2.0347693264484406,23,-177.97022394318182,335,0.00063,90.92045454545455,8001
92,8384,0.9790349999999997,1.3287247568368912,25,-181.04166557608696,335,0.00063,91.15217391304348,8386
96,8756,0.9781049999999996,1.9623583853244781,26,-178.35051848958335,335,0.00063,91.22916666666667,8758
100,9148,0.9771200000000002,0.8444797545671463,27,-176.69968305000003,335,0.00063,91.52,9152
104,9592,0.9760149999999997,2.88741534948349,28,-176.08601535000003,335,0.00063,92.1,9594
108,9940,0.9751449999999997,1.5317098647356033,29,-166.75456556,335,0.00063,91.61,9942
112,10284,0.9742850000000003,1.5868669599294662,30,-166.99418856,335,0.00063,91.38,10286
116,10652,0.97336,1.9921484664082527,31,-169.45753875,336,0.00063,91.49,10656
120,11028,0.972425,1.5799478441476822,32,-168.77017023,336,0.00063,91.36,11030
124,11388,0.9715224999999996,2.2482172548770905,33,-169.69931903,336,0.00063,91.5,11391
128,11756,0.9705999999999997,3.797837257385254,34,-163.88375647,336,0.00063,91.2,11760
132,12052,0.9698624999999998,2.1627256274223328,35,-162.70632964,336,0.00063,90.62,12055
136,12404,0.9689799999999997,3.331950694322586,36,-162.35461195999997,336,0.00063,90.54,12408
140,12760,0.9680900000000003,0.6617030054330826,37,-161.18860538999996,336,0.00063,90.57,12764
144,13072,0.9673124999999998,3.0890910923480988,38,-156.90838178,336,0.00063,90.04,13075
148,13424,0.9664325,1.4524823278188705,39,-153.83295153,336,0.00063,89.58,13427
152,13740,0.9656449999999999,2.1379207521677017,40,-152.62386201,336,0.00063,89.12,13742
156,14024,0.9649375000000001,1.1081567406654358,41,-153.07645025,336,0.00063,89.06,14025
160,14436,0.9639075000000001,0.6706786006689072,42,-155.94189398999998,336,0.00063,88.61,14437
164,14768,0.9630725,3.131865844130516,43,-153.99517007,336,0.00063,88.89,14771
168,15128,0.9621699999999996,1.9919443130493164,44,-153.91485989,337,0.00063,89.16,15132
172,15536,0.9611550000000002,3.3063270151615143,46,-152.13673778,337,0.00063,89.4,15538
176,15872,0.9603150000000001,1.5024434626102448,47,-152.87936767,337,0.00063,89.61,15874
180,16232,0.9594174999999996,1.1308941394090652,48,-149.87444632,337,0.00063,89.41,16233
184,16668,0.9583274999999996,4.829753905534744,49,-152.92792923000002,337,0.00063,90.06,16669
188,17016,0.9574550000000001,2.337945729494095,50,-154.80530462000002,337,0.00063,90.17,17018
192,17364,0.9565800000000001,2.1075161695480347,51,-152.43926494,337,0.00063,89.82,17368
196,17660,0.95584,1.113683506846428,52,-153.37436406,337,0.00063,89.06,17664
200,18072,0.9548175000000003,1.2762700468301773,53,-152.52840181000002,337,0.00063,89.21,18073
204,18440,0.9538974999999998,0.8414962142705917,54,-150.10010236,337,0.00063,88.47,18441
