time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/approx_kl,train/value_loss,train/std,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss
1,1054,-280.41588931578946,107.36842105263158,1,2048,,,,,,,,,,,
2,791,-266.15953625,113.19444444444444,5,4096,0.0054706144,2755.0102096557616,0.9943646192550659,10,873.4169921875,-0.0046007633209228516,0.2,0.0003,0.037060546875,-0.005129057122394443,-2.8313007220625876
3,725,-223.5342119074074,112.44444444444444,8,6144,0.0058787884,1508.9634134292603,1.0038503408432007,20,575.6976928710938,-0.05094349384307861,0.2,0.0003,0.04521484375,-0.0060541566257597875,-2.836901330202818
4,697,-211.80696116666667,113.13888888888889,11,8192,0.0065771937,578.8466432094574,1.0013611316680908,30,303.93572998046875,-0.013397574424743652,0.2,0.0003,0.054296875,-0.007274247909663245,-2.8432668931782246
5,682,-196.32911513483143,114.21348314606742,15,10240,0.004984433,757.4069321632385,1.0125293731689453,40,324.0497741699219,-0.00529325008392334,0.2,0.0003,0.029443359375,-0.004902978203608655,-2.853836977481842
6,672,-172.30130384999995,113.67,18,12288,0.01102757,420.5262215614319,1.0072879791259766,50,102.2965087890625,-0.001821756362915039,0.2,0.0003,0.103369140625,-0.007477318959718105,-2.8544700667262077
7,665,-154.22256807999997,124.92,21,14336,0.010302924,328.19973487854,1.010183572769165,60,106.09346008300781,-0.022859811782836914,0.2,0.0003,0.124267578125,-0.008602410074672662,-2.858834543079138
8,661,-124.71586482999999,127.47,24,16384,0.0029466657,415.20741801261903,1.0114201307296753,70,225.65599060058594,0.0034793615341186523,0.2,0.0003,0.007861328125,-0.002580204278638121,-2.8575329847633837
9,657,-114.01206432999999,134.09,28,18432,0.0022284952,384.55865993499754,1.0126844644546509,80,143.51109313964844,-0.04276227951049805,0.2,0.0003,0.000927734375,-0.002019984151775134,-2.8607326723635196
10,654,-106.04620701,147.22,31,20480,0.006141767,331.9212981939316,1.0071418285369873,90,83.36890411376953,0.05502444505691528,0.2,0.0003,0.03447265625,-0.005163645121501759,-2.8577820733189583
