time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/std,train/n_updates,train/clip_fraction,train/learning_rate,train/value_loss,train/approx_kl
1,1,-233.40411600000004,106.57894736842105,2048,1073,,,,,,,,,,,
2,4,-274.06507894444445,113.38888888888889,4096,887,4433.5576171875,-0.0005661249160766602,-2.8378932867199183,-0.004458067262021359,0.2,0.9991170167922974,4,0.0203857421875,0.0003,9818.408462524414,0.004309762
3,6,-259.0296918076923,116.73076923076923,6144,879,5277.72998046875,-0.008403778076171875,-2.835732938721776,-0.0026076473404827993,0.2,0.9989132881164551,8,0.0079345703125,0.0003,12745.92562866211,0.003166262
4,9,-244.95002201449282,117.78260869565217,8192,869,2885.05029296875,-0.0019201040267944336,-2.8342248164117336,-0.005191556716454215,0.2,0.9981374740600586,12,0.0225830078125,0.0003,6816.668724060059,0.004522156
5,11,-230.0166118850575,117.25287356321839,10240,868,1908.818603515625,-0.027744293212890625,-2.834420880302787,-0.005483934935909929,0.2,0.9989355206489563,16,0.02880859375,0.0003,4750.249300003052,0.005999866
6,14,-199.40025423999998,115.31,12288,866,2136.800537109375,-0.00445103645324707,-2.832946116104722,-0.002208386515121674,0.2,0.9971164464950562,20,0.00390625,0.0003,4258.257946014404,0.0019583958
7,16,-190.43366411,118.23,14336,867,518.4293212890625,-0.014816522598266602,-2.835117992013693,-0.0034971426794072613,0.2,0.999381422996521,24,0.019775390625,0.0003,1585.1615691184998,0.0038976632
8,18,-153.33928182,119.22,16384,862,1768.114013671875,-0.004187345504760742,-2.839274885132909,-0.0044933309181942604,0.2,1.0021823644638062,28,0.0125732421875,0.0003,2987.6687593460083,0.0035090498
9,21,-139.0602454,120.33,18432,857,779.00830078125,-0.016574859619140625,-2.843741273507476,-0.005509632068424253,0.2,1.0024319887161255,32,0.0318603515625,0.0003,1591.8814706802368,0.00565425
10,24,-118.12124804,121.68,20480,849,778.2986450195312,-0.009012937545776367,-2.8340862933546305,-0.004061205436300952,0.2,0.994386613368988,36,0.0242919921875,0.0003,1742.1186418533325,0.0050324183
11,26,-102.80617923999998,122.42,22528,847,317.33709716796875,-0.0021691322326660156,-2.8280124478042126,-0.0017186585646413732,0.2,0.9961863160133362,40,0.009765625,0.0003,872.2704672813416,0.0027344017
12,29,-100.82624033999998,128.74,24576,842,330.1893005371094,-0.0008928775787353516,-2.8309148140251637,-0.005794640142994467,0.2,0.9961471557617188,44,0.105712890625,0.0003,915.7497639656067,0.006718264
13,31,-94.40769103000001,131.97,26624,835,369.6700439453125,-0.001679539680480957,-2.819848205894232,-0.005651367755490355,0.2,0.9841576814651489,48,0.0799560546875,0.0003,667.6357409954071,0.008339624
14,34,-88.08674375999999,137.23,28672,835,284.7503356933594,-0.003209233283996582,-2.808627087622881,0.0012626773059309926,0.2,0.9876477718353271,52,0.0845947265625,0.0003,605.2759613990784,0.016626745
15,36,-79.13413313,136.65,30720,833,497.0772399902344,-0.001889348030090332,-2.8103209901601076,-0.003296780778327957,0.2,0.9853752851486206,56,0.013671875,0.0003,979.8181304931641,0.0036439712
16,39,-65.55891005999999,138.49,32768,833,289.4386291503906,-0.00025975704193115234,-2.805141942575574,-0.00016156876881723292,0.2,0.981766939163208,60,0.084716796875,0.0003,490.7344536781311,0.005833479
17,41,-59.19309801,139.76,34816,832,178.21156311035156,-0.0005449056625366211,-2.7969388738274574,-0.0032530149328522384,0.2,0.9785301685333252,64,0.0595703125,0.0003,421.78289461135864,0.0067749145
18,44,-50.07267171,137.66,36864,832,576.0554809570312,-0.00034046173095703125,-2.7944917138665915,-0.0020918022073601605,0.2,0.9802098870277405,68,0.06689453125,0.0003,671.8267738819122,0.009863826
19,46,-42.49395843000001,133.13,38912,830,267.8177795410156,-0.00018727779388427734,-2.798900742083788,-0.0016488690416736063,0.2,0.9796998500823975,72,0.020751953125,0.0003,436.01137685775757,0.0042761387
20,49,-28.19005533,128.4,40960,831,349.914306640625,-6.854534149169922e-05,-2.797800999134779,-0.0023452528184861876,0.2,0.9815673828125,76,0.002197265625,0.0003,617.7223336696625,0.0024141693
21,51,-21.594176559999998,135.99,43008,830,336.1063232421875,-0.00013267993927001953,-2.801684321835637,-0.0028346821509330766,0.2,0.9822317957878113,80,0.0087890625,0.0003,568.3267955780029,0.004012285
22,54,-17.601323410000003,137.81,45056,831,214.6819305419922,0.000341951847076416,-2.8063571620732546,-0.0010937883635051548,0.2,0.9874117374420166,84,0.0474853515625,0.0003,461.28858828544617,0.0039784177
23,56,-14.4669806,138.1,47104,830,343.2785339355469,-0.0003865957260131836,-2.8202392235398293,-0.002722222445299849,0.2,0.9950085878372192,88,0.067626953125,0.0003,634.6487336158752,0.010558242
24,59,-16.882182580000002,155.98,49152,830,290.6172790527344,-0.00010979175567626953,-2.8279247600585222,-0.003044628490897594,0.2,0.996238648891449,92,0.006591796875,0.0003,582.7724688053131,0.002491572
25,61,-14.72642746,169.61,51200,831,218.93214416503906,-0.005041360855102539,-2.8313085809350014,-0.001472605832532281,0.2,0.9981955289840698,96,0.0120849609375,0.0003,508.59466886520386,0.0029644272
26,63,-16.16584417,178.48,53248,832,223.22691345214844,-0.0003142356872558594,-2.8369039073586464,-0.0026992330804205267,0.2,0.9994943141937256,100,0.1202392578125,0.0003,408.469402551651,0.011159058
27,66,-16.24029133,192.47,55296,832,394.19091796875,5.1975250244140625e-05,-2.8414047583937645,0.0022920485826034565,0.2,1.0041037797927856,104,0.0543212890625,0.0003,787.1609902381897,0.0065594064
28,68,-15.37801687,198.76,57344,833,189.08309936523438,0.00023609399795532227,-2.847714589908719,-0.00367149614248774,0.2,1.0088489055633545,108,0.0283203125,0.0003,446.78705525398254,0.0056480328
29,71,-13.140512750000001,211.03,59392,834,337.2275390625,0.00019234418869018555,-2.856492016464472,-0.0018657636028365232,0.2,1.010844111442566,112,0.0135498046875,0.0003,699.0957114696503,0.0032552737
30,73,-12.739033350000001,227.41,61440,834,198.94557189941406,6.258487701416016e-05,-2.859424313530326,-0.00021984052364132367,0.2,1.0108897686004639,116,0.010498046875,0.0003,466.9541804790497,0.0013089256
31,76,-10.163638709999997,244.97,63488,834,429.81060791015625,-2.5391578674316406e-05,-2.863263374194503,-0.00015551360411336645,0.2,1.0161281824111938,120,0.0452880859375,0.0003,1002.6847906112671,0.005706014
32,78,-12.784058569999997,259.79,65536,835,137.05870056152344,0.001092076301574707,-2.87449505738914,-0.0015487093005503993,0.2,1.0212085247039795,124,0.0738525390625,0.0003,286.3499153852463,0.004256862
33,80,-10.773831389999998,277.03,67584,834,597.1712036132812,0.0013425350189208984,-2.879922503605485,-0.0006642502503382275,0.2,1.0215225219726562,128,0.0029296875,0.0003,1263.9886665344238,0.0023155883
34,83,-8.44909738,290.08,69632,834,40.376068115234375,0.0805063247680664,-2.880708085373044,-0.0005437365143734496,0.2,1.022493839263916,132,0.0,0.0003,236.77780938148499,0.00034346644
35,85,-10.197234719999997,304.34,71680,834,159.7527618408203,0.3624919056892395,-2.8823504243046045,-0.0020358559922897257,0.2,1.0231573581695557,136,0.0001220703125,0.0003,517.2831202745438,0.0008483032
