time/episodes,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/critic_loss,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/actor_loss,time/time_elapsed
4,80.75,0.001,222,104.26136016845703,323,-423.502604,54,5.807696342468262,5
8,75.125,0.001,500,84.18887329101562,601,-558.804026625,54,10.268485069274902,10
12,71.41666666666667,0.001,756,196.56314086914062,857,-563.7497454166667,54,13.833028793334961,15
16,69.1875,0.001,1006,29.06887435913086,1107,-556.879390375,53,18.110868453979492,20
20,69.25,0.001,1284,12.191046714782715,1385,-567.6533932,53,24.97270965576172,25
24,68.75,0.001,1549,25.458980560302734,1650,-573.2984910833334,52,29.501794815063477,31
28,68.46428571428571,0.001,1816,17.38292694091797,1917,-572.2598453928572,52,33.92393112182617,36
32,68.6875,0.001,2097,9.515467643737793,2198,-578.02692771875,52,38.733192443847656,41
36,68.27777777777777,0.001,2357,25.664642333984375,2458,-576.6267557777778,52,43.90475082397461,46
40,67.475,0.001,2598,140.81137084960938,2699,-569.1640170000001,52,44.68212127685547,51
44,67.79545454545455,0.001,2882,150.20375061035156,2983,-580.3563979318183,52,53.354248046875,57
48,68.52083333333333,0.001,3188,15.128920555114746,3289,-580.9209783541668,52,57.9781379699707,63
52,69.0,0.001,3487,282.241455078125,3588,-585.1547061346155,51,62.6390380859375,69
56,68.80357142857143,0.001,3752,43.64752197265625,3853,-585.5302177678572,51,65.84941101074219,74
60,69.18333333333334,0.001,4050,385.5789794921875,4151,-589.5631701166668,51,73.42418670654297,80
64,68.859375,0.001,4306,73.60039520263672,4407,-584.159871171875,51,81.0968017578125,85
68,69.01470588235294,0.001,4592,34.565189361572266,4693,-588.2029795588235,51,84.05366516113281,90
72,69.16666666666667,0.001,4879,91.16102600097656,4980,-593.3225920972222,51,87.5234375,96
76,69.6842105263158,0.001,5195,36.846370697021484,5296,-603.2770942631579,51,92.17245483398438,102
80,69.5375,0.001,5462,99.08086395263672,5563,-604.212878,51,97.41523742675781,107
84,69.64285714285714,0.001,5749,78.18392944335938,5850,-602.9538290952381,51,102.05913543701172,113
88,69.70454545454545,0.001,6033,54.709739685058594,6134,-605.6474853977272,51,106.48639678955078,119
92,69.76086956521739,0.001,6317,27.678476333618164,6418,-603.1340109456521,51,113.16676330566406,124
96,69.47916666666667,0.001,6569,72.81929016113281,6670,-600.4285706249999,51,113.07963562011719,129
100,69.44,0.001,6843,214.99346923828125,6944,-598.21019959,51,113.4510498046875,135
104,68.51,0.001,7073,42.98625946044922,7174,-601.9590777999998,51,120.44561767578125,139
108,68.25,0.001,7325,30.09869384765625,7426,-594.7834229599999,51,125.44027709960938,144
112,68.06,0.001,7562,235.65780639648438,7663,-592.4734387599999,50,131.57928466796875,150
116,68.36,0.001,7842,181.13421630859375,7943,-592.0137860799999,50,133.71331787109375,157
120,68.55,0.001,8139,80.7225570678711,8240,-595.59038285,50,136.26943969726562,164
124,68.45,0.001,8394,43.23035430908203,8495,-594.49047745,49,144.25579833984375,170
128,68.43,0.001,8659,212.4111328125,8760,-592.8882408899999,49,146.90240478515625,177
132,69.15,0.001,9012,183.2385711669922,9113,-599.30337538,48,156.64137268066406,186
136,69.03,0.001,9260,110.38813781738281,9361,-600.23143291,48,147.80535888671875,194
140,68.98,0.001,9496,119.66751098632812,9597,-600.2655527699999,47,156.25445556640625,201
