time/fps,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/n_updates,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,train/learning_rate
72,6.044771671295166,-474.8637875,4,4,229,330,69.43656158447266,82.5,0.001
60,9.398574829101562,-526.65477175,9,8,490,591,159.0206298828125,73.875,0.001
56,15.824142456054688,-579.8492335,16,12,809,910,91.2498779296875,75.83333333333333,0.001
54,19.464054107666016,-561.918195875,21,16,1064,1165,28.98871612548828,72.8125,0.001
53,19.239200592041016,-564.4499493000001,26,20,1328,1429,106.82710266113281,71.45,0.001
52,18.33087730407715,-543.898495125,31,24,1582,1683,129.4991912841797,70.125,0.001
52,22.744277954101562,-485.78185478571424,38,28,1900,2001,58.16302490234375,71.46428571428571,0.001
51,23.77549171447754,-441.11130428125,43,32,2171,2272,139.9140625,71.0,0.001
51,24.210365295410156,-405.41626286111114,50,36,2488,2589,127.73194885253906,71.91666666666667,0.001
51,25.38058090209961,-383.09764427499994,57,40,2858,2959,46.373741149902344,73.975,0.001
50,25.986736297607422,-354.91569524999994,66,44,3260,3361,50.997161865234375,76.38636363636364,0.001
50,25.495737075805664,-342.07801777083336,100,48,4947,5048,34.16785430908203,105.16666666666667,0.001
50,23.523372650146484,-333.02611196153845,119,52,5887,5988,18.556827545166016,115.15384615384616,0.001
49,22.730579376220703,-338.23073375000007,138,56,6835,6936,17.075984954833984,123.85714285714286,0.001
49,22.497098922729492,-329.81581140000003,152,60,7485,7586,72.00408935546875,126.43333333333334,0.001
49,27.17856216430664,-320.8551421875,165,64,8128,8229,39.43121337890625,128.578125,0.001
49,28.427017211914062,-313.0906788088235,185,68,9106,9207,73.28628540039062,135.39705882352942,0.001
49,25.473146438598633,-302.7030594861111,204,72,10048,10149,23.483203887939453,140.95833333333334,0.001
49,23.253631591796875,-292.4218340131579,222,76,10943,11044,32.12820053100586,145.31578947368422,0.001
49,22.468164443969727,-289.541910225,256,80,12607,12708,13.581802368164062,158.85,0.001
49,22.82807159423828,-292.8308436904762,277,84,13609,13710,7.471810340881348,163.21428571428572,0.001
49,25.843891143798828,-287.86464718181816,299,88,14688,14789,12.530891418457031,168.0568181818182,0.001
49,22.171951293945312,-282.96412382608696,323,92,15888,15989,15.042947769165039,173.79347826086956,0.001
49,24.491378784179688,-278.65257121875,340,96,16700,16801,34.50911331176758,175.01041666666666,0.001
49,26.7647705078125,-273.13037760000003,349,100,17129,17230,15.785246849060059,172.3,0.001
49,26.556053161621094,-263.87685753,362,104,17756,17857,9.467971801757812,175.27,0.001
49,26.95238494873047,-247.6197305,381,108,18713,18814,9.666399955749512,182.23,0.001
49,24.62216567993164,-228.90155095000003,414,112,20310,20411,78.84600830078125,195.01,0.001
49,24.741445541381836,-217.94625093,448,116,21975,22076,7.367035865783691,209.11,0.001
49,26.284957885742188,-202.05123485000004,470,120,23079,23180,34.181785583496094,217.51,0.001
49,27.33852767944336,-195.42606113000002,498,124,24439,24540,28.499792098999023,228.57,0.001
49,29.021991729736328,-195.4701511,516,128,25320,25421,8.808677673339844,234.2,0.001
49,29.117515563964844,-196.71921050000003,535,132,26227,26328,15.028812408447266,240.56,0.001
49,30.74617576599121,-199.19214097,557,136,27322,27423,6.698498725891113,248.34,0.001
49,29.974641799926758,-199.62916811,573,140,28094,28195,20.431324005126953,252.36,0.001
49,29.62741470336914,-204.20121710000006,584,144,28608,28709,17.122085571289062,253.48,0.001
49,35.681427001953125,-201.31976604,605,148,29628,29729,11.711047172546387,246.81,0.001
49,28.803756713867188,-198.27400684,628,152,30745,30846,24.062726974487305,248.58,0.001
49,32.54869842529297,-186.10501899,643,156,31461,31562,27.756633758544922,246.26,0.001
49,29.587026596069336,-180.80439637,662,160,32400,32501,7.932726860046387,249.15,0.001
49,31.22564697265625,-179.31500072999998,683,164,33426,33527,10.077178955078125,252.98,0.001
49,32.273773193359375,-174.66625737,704,168,34451,34552,15.537135124206543,253.45,0.001
49,28.607797622680664,-173.25187698999997,724,172,35411,35512,8.750452995300293,253.63,0.001
49,33.48101806640625,-173.26668813999996,747,176,36529,36630,13.130258560180664,255.86,0.001
48,34.98899459838867,-166.25027295,767,180,37496,37597,12.436591148376465,248.89,0.001
48,36.306053161621094,-156.94146712999998,790,184,38612,38713,17.824731826782227,250.03,0.001
48,34.998077392578125,-151.05692109,814,188,39790,39891,8.104108810424805,251.02,0.001
48,34.7000846862793,-146.27417206999996,840,192,41089,41190,7.84443473815918,252.01,0.001
48,35.561214447021484,-142.26141346,875,196,42773,42874,8.325779914855957,260.73,0.001
48,39.303680419921875,-141.45029051999998,915,200,44697,44798,6.720854759216309,275.68,0.001
48,34.742374420166016,-135.22701244999996,960,204,46896,46997,12.420714378356934,291.4,0.001
48,35.41779708862305,-131.46058505999997,1001,208,48840,48941,15.520120620727539,301.27,0.001
48,35.13005065917969,-124.02325517,1037,212,50567,50668,4.974296569824219,302.57,0.001
48,35.81900405883789,-117.26702502000002,1088,216,52971,53072,25.766071319580078,309.96,0.001
48,36.959693908691406,-113.22597108999999,1118,220,54373,54474,5.902430057525635,312.94,0.001
48,33.39295959472656,-104.9739617,1155,224,56114,56215,4.966083526611328,316.75,0.001
48,33.72193145751953,-103.22358928000001,1206,228,58395,58496,8.399322509765625,330.75,0.001
48,29.750595092773438,-105.81298773,1244,232,60130,60231,4.758467197418213,339.03,0.001
48,32.825504302978516,-99.64650371000002,1259,236,60846,60947,7.939763069152832,335.24,0.001
48,31.955345153808594,-93.32267384999999,1295,240,62485,62586,4.7141265869140625,343.91,0.001
48,30.660507202148438,-87.17382947999998,1345,244,64718,64819,11.582369804382324,361.1,0.001
48,34.1230354309082,-87.04633034999999,1378,248,66178,66279,12.313377380371094,365.5,0.001
47,34.47797393798828,-84.28869275000001,1434,252,68584,68685,11.502066612243652,378.39,0.001
47,30.874439239501953,-80.92402797000001,1505,256,71577,71678,11.970375061035156,401.16,0.001
47,32.041873931884766,-88.97735630999999,1550,260,73432,73533,13.09670639038086,410.32,0.001
47,31.1055850982666,-88.03322348999998,1589,264,74964,75065,13.922040939331055,415.38,0.001
46,30.856779098510742,-89.79933480999998,1639,268,76872,76973,9.539929389953613,424.21,0.001
46,31.133319854736328,-88.08521782,1664,272,77835,77936,16.9185733795166,424.24,0.001
46,29.20840072631836,-84.56680410000001,1686,276,78634,78735,15.825126647949219,421.05,0.001
46,30.31586456298828,-88.04635355,1755,280,81223,81324,9.087348937988281,437.27,0.001
46,30.13367462158203,-96.64565159999998,1793,284,82609,82710,9.620413780212402,439.97,0.001
45,26.992576599121094,-98.98498251999999,1817,288,83487,83588,7.744991779327393,436.97,0.001
45,27.51350212097168,-99.79237955999999,1851,292,84717,84818,8.01845932006836,436.28,0.001
45,29.254352569580078,-97.82321452000001,1869,296,85367,85468,29.454788208007812,425.94,0.001
45,28.798768997192383,-94.87295610000001,1890,300,86130,86231,19.317378997802734,414.33,0.001
45,29.11371421813965,-84.46970941999999,1925,304,87387,87488,8.233787536621094,404.91,0.001
45,30.343082427978516,-78.36757817,1947,308,88178,88279,18.029098510742188,393.38,0.001
