rollout/ep_rew_mean,train/critic_loss,time/episodes,train/actor_loss,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/n_updates,train/learning_rate
-313.8563295,85.26595306396484,4,3.3815572261810303,80.25,4,70,321,220,0.001
-326.936752125,61.62458038330078,8,5.1488542556762695,90.5,12,58,724,623,0.001
-294.58156133333335,41.44780731201172,12,4.048134803771973,93.0,20,55,1116,1015,0.001
-250.96624606250003,47.08087921142578,16,2.7921156883239746,97.375,29,53,1558,1457,0.001
-239.56715605,28.672367095947266,20,1.7676191329956055,102.4,38,52,2048,1947,0.001
-233.55357562500004,21.82744598388672,24,6.320162296295166,110.70833333333333,51,51,2657,2556,0.001
-220.52418871428577,54.4642333984375,28,5.654455661773682,122.32142857142857,66,51,3425,3324,0.001
-224.731496375,78.43386840820312,32,9.65791130065918,139.125,87,51,4452,4351,0.001
-233.22293069444444,11.258420944213867,36,9.513103485107422,157.05555555555554,111,50,5654,5553,0.001
-242.14269732500003,8.923870086669922,40,8.112788200378418,184.175,145,50,7367,7266,0.001
-250.9831898636364,13.9653959274292,44,13.607830047607422,224.6590909090909,195,50,9885,9784,0.001
-238.38120908333335,19.635555267333984,48,8.714325904846191,272.6875,259,50,13089,12988,0.001
-232.01586421153846,12.645097732543945,52,4.946361064910889,316.28846153846155,326,50,16447,16346,0.001
-231.25153887500002,48.755714416503906,56,6.825954437255859,355.48214285714283,396,50,19907,19806,0.001
-233.88634583333337,4.90175724029541,60,7.908648490905762,370.21666666666664,444,50,22213,22112,0.001
-229.612249609375,7.308844566345215,64,10.169599533081055,371.625,475,49,23784,23683,0.001
-226.3796225147059,5.60293436050415,68,9.287027359008789,365.1029411764706,496,49,24827,24726,0.001
-228.34117079166668,18.222972869873047,72,13.232357025146484,384.6111111111111,554,49,27692,27591,0.001
-220.67018678947372,69.16200256347656,76,12.215484619140625,392.0394736842105,596,49,29795,29694,0.001
-217.99403106250003,9.548397064208984,80,7.768780708312988,385.3,617,49,30824,30723,0.001
-210.43474914285716,8.594496726989746,84,10.270391464233398,393.23809523809524,662,49,33032,32931,0.001
-211.00552059090913,8.351045608520508,88,12.808168411254883,417.0568181818182,736,49,36701,36600,0.001
-213.04277666304353,6.003961086273193,92,15.099274635314941,427.64130434782606,789,49,39343,39242,0.001
-209.86627255208336,4.369774341583252,96,9.297148704528809,450.6041666666667,868,49,43258,43157,0.001
-209.98553163,4.795870780944824,100,10.333124160766602,470.79,946,49,47079,46978,0.001
-205.39353187,52.05889892578125,104,9.536059379577637,497.39,1007,49,50060,49959,0.001
-196.16950878999995,4.379305839538574,108,6.9330220222473145,533.36,1090,49,54060,53959,0.001
-193.69288913,5.448583602905273,112,3.3016037940979004,569.3,1172,49,58046,57945,0.001
-194.69753820999998,2.6093831062316895,116,2.734800338745117,592.84,1231,49,60842,60741,0.001
-190.73622823000002,2.5276174545288086,120,2.852320909500122,627.94,1315,49,64842,64741,0.001
-186.34950732,2.7681446075439453,124,4.7940673828125,661.85,1402,49,68842,68741,0.001
-184.65192763000007,9.87898063659668,128,4.281922340393066,694.14,1492,48,72839,72738,0.001
-178.25061237000006,2.9507150650024414,132,6.8996782302856445,718.34,1573,48,76286,76185,0.001
-171.23847692000007,5.5862016677856445,136,6.980095863342285,746.01,1668,48,80255,80154,0.001
-160.12891638000002,7.303937911987305,140,8.269393920898438,756.36,1734,47,83003,82902,0.001
-148.61701406000003,3.8568506240844727,144,8.121235847473145,745.9,1770,47,84475,84374,0.001
-145.56665965,4.034731864929199,148,7.45164155960083,732.09,1813,47,86298,86197,0.001
-148.73090986,2.8574814796447754,152,7.106765270233154,716.39,1857,47,88086,87985,0.001
-142.791007,3.5064640045166016,156,8.263949394226074,696.12,1891,47,89519,89418,0.001
-134.8437666,5.026988506317139,160,7.8966288566589355,690.43,1934,47,91256,91155,0.001
-136.32000426000002,3.1065046787261963,164,7.86847448348999,709.5,2020,46,94734,94633,0.001
-131.20151553000002,2.2042922973632812,168,8.238251686096191,732.71,2102,46,98098,97997,0.001
-124.80079918999999,3.381054162979126,172,8.924869537353516,731.69,2169,46,100861,100760,0.001
-124.97095205000001,6.715221405029297,176,7.505354404449463,738.68,2238,46,103663,103562,0.001
-123.61823808999999,4.221027374267578,180,9.498958587646484,753.29,2298,46,106153,106052,0.001
-125.59563945000002,3.0805182456970215,184,7.444243431091309,763.59,2378,45,109391,109290,0.001
-123.58783634000001,2.78124737739563,188,7.729833126068115,750.44,2437,45,111745,111644,0.001
-120.87512664,7.801929950714111,192,11.48720645904541,743.87,2486,45,113730,113629,0.001
-120.88851671,1.7570995092391968,196,10.785733222961426,724.34,2534,45,115692,115591,0.001
-115.15423462000001,5.564504146575928,200,12.439422607421875,710.56,2595,45,118135,118034,0.001
-106.95279839000001,2.586587429046631,204,12.648999214172363,712.78,2675,45,121338,121237,0.001
-96.71931958,2.5976874828338623,208,11.506539344787598,691.49,2722,45,123209,123108,0.001
-88.82967816000001,32.919654846191406,212,12.431241989135742,669.6,2768,45,125006,124905,0.001
-74.41236176000001,3.5820505619049072,216,10.129950523376465,664.7,2827,45,127312,127211,0.001
-65.77154501999999,5.048523426055908,220,13.593971252441406,639.23,2864,44,128765,128664,0.001
-61.28301310999999,3.628178358078003,224,11.467395782470703,630.6,2943,44,131902,131801,0.001
-50.33959057999999,3.6415090560913086,228,10.731114387512207,620.53,3021,44,134892,134791,0.001
-46.17655283,2.5213260650634766,232,9.66983699798584,605.04,3069,44,136790,136689,0.001
-37.80716236,3.807485580444336,236,12.914566040039062,596.51,3149,44,139906,139805,0.001
-29.344934260000006,2.3204617500305176,240,12.211692810058594,595.81,3218,44,142584,142483,0.001
-26.310331700000003,2.989190101623535,244,9.294032096862793,620.13,3319,44,146488,146387,0.001
-21.863710950000005,15.946088790893555,248,11.046496391296387,623.1,3375,44,148608,148507,0.001
-11.07193656,2.963909149169922,252,11.519658088684082,624.13,3424,43,150499,150398,0.001
-0.3801304399999987,2.788238525390625,256,9.856389045715332,627.23,3470,43,152242,152141,0.001
4.9936123,2.5525496006011963,260,10.455419540405273,624.01,3508,43,153657,153556,0.001
10.781116509999999,5.339352607727051,264,9.639010429382324,620.63,3591,43,156797,156696,0.001
7.881000140000003,4.374170303344727,268,8.837108612060547,612.73,3661,43,159371,159270,0.001
11.5318192,5.295169830322266,272,12.377748489379883,624.44,3765,43,163305,163204,0.001
18.123831909999996,2.0721473693847656,276,8.90034008026123,627.47,3847,43,166410,166309,0.001
23.084034290000005,5.754477500915527,280,9.158318519592285,639.12,3945,43,170065,169964,0.001
33.709385219999994,2.1814959049224854,284,6.709749698638916,635.05,4021,42,172896,172795,0.001
38.18859151,4.785879611968994,288,8.767786026000977,651.51,4129,42,176896,176795,0.001
