rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
104.25,0,4,417,-230.8786155,2152,,,,
104.25,0,8,834,-265.862791625,2136,,,,
104.25,0,12,1251,-278.69067525,2150,,,,
104.1875,0,16,1667,-274.597653875,2159,,,,
102.9,0,20,2058,-241.7457708,2162,,,,
100.91666666666667,1,24,2422,-224.7383035,2162,,,,
104.85714285714286,1,28,2936,-214.73719150000002,2166,,,,
105.75,1,32,3384,-215.98943724999998,2166,,,,
103.11111111111111,1,36,3712,-209.58839688888887,2167,,,,
105.625,1,40,4225,-219.260714,2170,,,,
104.11363636363636,2,44,4581,-208.40342597727275,2169,,,,
103.52083333333333,2,48,4969,-209.13380085416668,2167,,,,
103.96153846153847,2,52,5406,-207.34222150000005,2167,,,,
105.46428571428571,2,56,5906,-217.612872,2168,,,,
104.8,2,60,6288,-215.20744698333334,2169,,,,
105.859375,3,64,6775,-215.5625404375,2171,,,,
105.52941176470588,3,68,7176,-217.85391236764704,2170,,,,
106.80555555555556,3,72,7690,-218.21099258333334,2171,,,,
107.5657894736842,3,76,8175,-219.41130144736843,2171,,,,
107.9125,3,80,8633,-219.08945035000002,2171,,,,
109.25,4,84,9177,-215.72693298809529,2171,,,,
109.07954545454545,4,88,9599,-216.8948692840909,2170,,,,
108.6413043478261,4,92,9995,-218.66204694565215,2171,,,,
108.92708333333333,13,96,10457,-230.1525885625,799,0.001,72.74724578857422,456,2.4187686443328857
110.98,25,100,11098,-252.76669983,437,0.001,74.69987487792969,1097,1.994354009628296
136.11,82,104,14028,-256.41713547,171,0.001,70.73124694824219,4027,1.9557465314865112
167.3,150,108,17564,-250.11476756,116,0.001,16.876955032348633,7563,-8.908304214477539
186.2,196,112,19871,-236.26430222000008,101,0.001,38.171302795410156,9870,-9.479439735412598
191.77,215,116,20844,-227.60695166999997,96,0.001,98.70997619628906,10843,-13.258892059326172
204.99,249,120,22557,-227.45590170999995,90,0.001,18.54747772216797,12556,-20.179922103881836
223.11,291,124,24733,-225.87914091999994,84,0.001,13.641889572143555,14732,-21.854055404663086
228.83,313,128,25819,-219.41015457999995,82,0.001,15.766916275024414,15818,-20.23935317993164
237.92,339,132,27176,-207.29885939,79,0.001,98.8406982421875,17175,-19.998550415039062
242.46,355,136,27958,-202.71430420999997,78,0.001,26.909568786621094,17957,-24.409454345703125
243.83,367,140,28608,-192.56035397,77,0.001,45.38532257080078,18607,-21.876752853393555
246.75,380,144,29256,-190.59380066999992,76,0.001,16.088356018066406,19255,-26.0888671875
248.16,390,148,29785,-183.66592035999997,76,0.001,14.407840728759766,19784,-24.411991119384766
250.63,404,152,30469,-176.73727165,75,0.001,41.306304931640625,20468,-21.469038009643555
254.04,420,156,31310,-163.53018794000002,74,0.001,29.759674072265625,21309,-28.171567916870117
255.6,431,160,31848,-157.51955274,73,0.001,31.825870513916016,21847,-26.62581443786621
259.45,448,164,32720,-148.27197901000002,72,0.001,13.806440353393555,22719,-27.712427139282227
262.14,461,168,33390,-140.50453832000002,72,0.001,17.09099578857422,23389,-27.309429168701172
261.71,470,172,33861,-132.07465756,71,0.001,28.931610107421875,23860,-25.149051666259766
267.75,491,176,34950,-127.82589991,71,0.001,10.91920280456543,24949,-28.75389289855957
273.08,511,180,35941,-121.99868365,70,0.001,22.080469131469727,25940,-28.833831787109375
277.65,530,184,36942,-117.11211272,69,0.001,84.3125228881836,26941,-27.895227432250977
281.96,547,188,37795,-107.49404483,69,0.001,36.74541473388672,27794,-22.698287963867188
287.33,566,192,38728,-97.05123005,68,0.001,32.44524002075195,28727,-24.46685028076172
297.65,595,196,40222,-78.0670899,67,0.001,17.075603485107422,30221,-25.51433753967285
304.7,621,200,41568,-53.17269328,66,0.001,23.02557373046875,31567,-21.878660202026367
289.7,649,204,42998,-37.79936353999999,66,0.001,11.520580291748047,32997,-18.98476791381836
268.77,677,208,44441,-29.178382919999994,65,0.001,94.1610107421875,34440,-14.41482925415039
257.79,701,212,45650,-36.626915509999996,65,0.001,15.350841522216797,35649,-20.18130111694336
258.0,720,216,46644,-39.11731905999999,64,0.001,22.45991325378418,36643,-16.165197372436523
255.82,749,220,48139,-42.70993243,64,0.001,11.546894073486328,38138,-15.415645599365234
243.52,768,224,49085,-44.555119139999995,63,0.001,14.2349853515625,39084,-17.525421142578125
244.93,792,228,50312,-52.4136995,63,0.001,26.807188034057617,40311,-21.279462814331055
245.0,819,232,51676,-60.29123246,63,0.001,31.630809783935547,41675,-15.322824478149414
246.63,837,236,52621,-61.673790879999984,62,0.001,19.773225784301758,42620,-14.356058120727539
251.93,861,240,53801,-58.565992769999994,62,0.001,20.418790817260742,43800,-10.21235466003418
257.36,884,244,54992,-60.643583600000014,62,0.001,19.33313751220703,44991,-11.014274597167969
263.37,906,248,56122,-61.436924,61,0.001,137.85427856445312,46121,-11.98890209197998
276.02,944,252,58071,-65.25414659,61,0.001,51.30006408691406,48070,-7.39910888671875
279.83,969,256,59293,-65.55362873,61,0.001,31.619436264038086,49292,-2.7238035202026367
282.74,986,260,60122,-62.805269870000004,60,0.001,19.516010284423828,50121,-7.762245178222656
282.95,1003,264,61015,-61.59144306,60,0.001,24.78915023803711,51014,-0.9487995505332947
284.55,1020,268,61845,-60.632555899999986,60,0.001,39.12725830078125,51844,-2.277082920074463
291.71,1044,272,63032,-52.84724796,60,0.001,18.799633026123047,53031,-2.0614733695983887
293.46,1070,276,64296,-45.94064723,60,0.001,22.174163818359375,54295,2.426358699798584
292.15,1087,280,65156,-42.98198646,59,0.001,19.14272117614746,55155,-0.39098042249679565
290.71,1105,284,66013,-40.5913071,59,0.001,96.39230346679688,56012,6.741255283355713
301.07,1143,288,67902,-36.35034886,59,0.001,21.87807846069336,57901,4.338586330413818
303.94,1168,292,69122,-37.23460176,59,0.001,17.465476989746094,59121,3.4402523040771484
306.23,1204,296,70845,-31.7274243,58,0.001,52.26667404174805,60844,9.441581726074219
303.66,1227,300,71934,-17.888659160000003,58,0.001,28.818288803100586,61933,3.6986734867095947
306.48,1262,304,73646,-12.775125009999993,58,0.001,30.36075210571289,63645,3.304039716720581
311.67,1304,308,75608,-11.579539999999994,57,0.001,18.523365020751953,65607,9.925134658813477
308.39,1322,312,76489,0.7362592400000031,57,0.001,99.64765930175781,66488,6.46790885925293
306.75,1340,316,77319,10.345153980000005,57,0.001,16.888704299926758,67318,1.7543919086456299
305.22,1369,320,78661,25.32328804,57,0.001,23.48946762084961,68660,6.2425947189331055
305.26,1390,324,79611,34.466147670000005,57,0.001,22.366313934326172,69610,8.73320484161377
305.39,1419,328,80851,50.16511721,56,0.001,46.297325134277344,70850,16.840869903564453
305.67,1451,332,82243,60.78636053,56,0.001,26.432010650634766,72242,9.132407188415527
