time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss
0,4,-160.24291925,102.0,2109,408,,,,
0,8,-188.104134875,108.75,2041,870,,,,
0,12,-193.68849233333333,105.75,2029,1269,,,,
0,16,-177.923458375,105.9375,2030,1695,,,,
1,20,-179.2620243,105.05,2029,2101,,,,
1,24,-186.91899020833333,107.95833333333333,2049,2591,,,,
1,28,-199.50678639285715,107.75,2064,3017,,,,
1,32,-197.98440409375002,107.03125,2075,3425,,,,
1,36,-191.34549586111115,107.80555555555556,2085,3881,,,,
2,40,-188.40025129999998,108.95,2094,4358,,,,
2,44,-193.5853474090909,110.68181818181819,2101,4870,,,,
2,48,-193.70215545833332,110.25,2106,5292,,,,
2,52,-201.2349614615385,111.34615384615384,2112,5790,,,,
2,56,-201.15525346428572,111.32142857142857,2115,6234,,,,
3,60,-208.04843233333335,110.45,2117,6627,,,,
3,64,-207.94464203125,110.0625,2120,7044,,,,
3,68,-211.92622133823528,110.5,2122,7514,,,,
3,72,-210.9670259861111,109.77777777777777,2124,7904,,,,
3,76,-208.41221659210524,109.52631578947368,2126,8324,,,,
4,80,-206.86284516250004,110.3375,2128,8827,,,,
4,84,-205.2488485714286,110.5,2130,9282,,,,
4,88,-209.03779454545455,109.95454545454545,2130,9676,,,,
6,92,-211.88055857608694,109.96739130434783,1475,10117,116,0.001,395.0171813964844,2.1576719284057617
23,96,-218.19224183333336,114.21875,476,10965,964,0.001,65.5583724975586,3.0875463485717773
32,100,-221.61080735000004,114.27,356,11427,1426,0.001,23.55120849609375,1.160036325454712
40,104,-227.56377784000003,114.47,293,11855,1854,0.001,62.757286071777344,3.898632526397705
50,108,-229.71372053000002,114.72,245,12342,2341,0.001,62.2768669128418,3.8948888778686523
100,112,-230.84446246,136.5,148,14919,4918,0.001,6.020337104797363,0.5824799537658691
157,116,-235.09732317000007,161.03,112,17798,7797,0.001,18.35024642944336,-1.961753249168396
220,120,-232.88873513,188.28,95,20929,10928,0.001,10.392321586608887,-7.2193603515625
270,124,-230.84104115999997,208.57,86,23448,13447,0.001,18.449308395385742,-3.0714950561523438
299,128,-225.24279074999998,219.13,83,24930,14929,0.001,6.674399375915527,0.42066073417663574
355,132,-222.01342310999996,243.3,78,27755,17754,0.001,19.874893188476562,2.0166876316070557
405,136,-221.09024082999997,263.85,74,30266,20265,0.001,14.642145156860352,4.227267265319824
445,140,-219.64587562,279.41,72,32299,22298,0.001,8.681037902832031,1.7315526008605957
497,144,-216.32904834999997,300.65,70,34935,24934,0.001,20.132049560546875,3.860739231109619
533,148,-219.43801022999997,315.23,68,36815,26814,0.001,10.498175621032715,1.7093935012817383
559,152,-213.76932089,323.41,68,38131,28130,0.001,30.663463592529297,3.5166032314300537
618,156,-210.21326459999997,348.93,66,41127,31126,0.001,9.744098663330078,4.386748313903809
666,160,-201.46885522999995,368.98,65,43525,33524,0.001,10.275947570800781,7.303256034851074
698,164,-195.80381988000002,381.26,64,45170,35169,0.001,9.808721542358398,0.35816729068756104
725,168,-186.62465225000003,389.99,64,46513,36512,0.001,7.996424198150635,1.2949109077453613
767,172,-181.55636267000003,407.45,63,48649,38648,0.001,8.715770721435547,0.6910002827644348
837,176,-175.27885372,438.77,62,52201,42200,0.001,7.907958984375,2.3650901317596436
910,180,-170.12942553000008,470.28,61,55855,45854,0.001,7.898220062255859,0.8954854607582092
959,184,-163.14144969,490.27,60,58309,48308,0.001,12.373111724853516,5.378969192504883
1014,188,-147.4711521,512.95,60,60971,50970,0.001,8.625223159790039,-0.6596103310585022
1087,192,-140.85446375,544.13,59,64530,54529,0.001,23.277015686035156,4.536499977111816
1146,196,-127.06772957,564.57,58,67422,57421,0.001,9.286964416503906,1.2699010372161865
1194,200,-120.17827919999999,582.85,58,69712,59711,0.001,31.293054580688477,-1.9020971059799194
1229,204,-108.99624148,594.84,58,71339,61338,0.001,13.806600570678711,-2.295968532562256
1271,208,-98.63981501999997,609.82,57,73324,63323,0.001,7.7568745613098145,3.8835372924804688
1310,212,-92.25252827,602.15,57,75134,65133,0.001,8.090463638305664,-4.211568355560303
1386,216,-78.92859746,608.1,56,78608,68607,0.001,8.325516700744629,-0.31463801860809326
1430,220,-66.88130466000001,595.78,56,80507,70506,0.001,23.733013153076172,1.150963544845581
1457,224,-57.981329099999996,582.23,56,81671,71670,0.001,6.326660633087158,-4.618539333343506
1492,228,-51.40655993,581.39,55,83069,73068,0.001,14.067026138305664,-2.8120925426483154
1516,232,-45.76173395,562.57,55,84012,74011,0.001,10.050074577331543,-4.840634346008301
1545,236,-40.47921782,548.65,55,85131,75130,0.001,7.492062568664551,-5.4203267097473145
1577,240,-29.314993949999998,540.56,54,86355,76354,0.001,10.390810012817383,-3.8065474033355713
1630,244,-17.773239080000003,534.24,54,88359,78358,0.001,7.821076393127441,-1.2522727251052856
1679,248,-3.8149195,533.96,53,90211,80210,0.001,11.413064956665039,-2.9797658920288086
1726,252,10.813841369999999,538.69,53,92000,81999,0.001,13.324929237365723,-5.832850456237793
1795,256,22.82295048,534.76,52,94603,84602,0.001,83.87419128417969,-5.970554828643799
1843,260,34.59998274,528.93,52,96418,86417,0.001,14.078532218933105,-3.348695755004883
1884,264,47.71994804,527.8,51,97950,87949,0.001,91.58627319335938,-2.975078582763672
1941,268,58.10506351,535.98,51,100111,90110,0.001,9.838933944702148,-2.130359172821045
2001,272,65.51989547,537.23,51,102372,92371,0.001,11.192455291748047,-5.716930866241455
2067,276,71.12286353,526.79,50,104880,94879,0.001,79.31056213378906,-2.045668125152588
2122,280,76.96695451000001,510.88,50,106943,96942,0.001,8.026229858398438,-6.874456882476807
2176,284,83.09240057999999,507.01,50,109010,99009,0.001,11.564680099487305,-6.176396369934082
2210,288,88.95408558999999,492.98,49,110269,100268,0.001,10.557378768920898,-8.209569931030273
2254,292,102.78089114000001,474.07,49,111937,101936,0.001,67.52262878417969,-5.4675092697143555
2291,296,110.56021852999999,458.98,49,113320,103319,0.001,7.060668468475342,-4.806060791015625
2330,300,126.74365091,450.93,49,114805,104804,0.001,7.557590961456299,-7.519356727600098
2368,304,137.44920467000003,449.07,49,116246,106245,0.001,25.37869644165039,-5.059088706970215
2413,308,148.30632981,445.97,48,117921,107920,0.001,18.53238296508789,-6.198317050933838
2458,312,160.52941167,444.97,48,119631,109630,0.001,67.93034362792969,-8.763505935668945
2503,316,156.18613580000002,426.95,48,121303,111302,0.001,4.980201244354248,-10.36691665649414
2537,320,159.84132791,420.75,48,122582,112581,0.001,39.89443588256836,-8.35953140258789
2562,324,162.76553511,418.59,48,123530,113529,0.001,13.227758407592773,-8.39407730102539
2592,328,169.06278361999998,415.76,48,124645,114644,0.001,7.7176713943481445,-8.301902770996094
2622,332,174.99039374,417.84,47,125796,115795,0.001,7.532566070556641,-9.292835235595703
2678,336,180.91394326000005,427.45,47,127876,117875,0.001,5.951282501220703,-8.663408279418945
2703,340,180.05265095,424.7,47,128825,118824,0.001,8.654658317565918,-10.827203750610352
2730,344,182.3182192,414.43,47,129802,119801,0.001,20.15337371826172,-9.937332153320312
2758,348,187.19230989999994,406.52,47,130863,120862,0.001,10.318585395812988,-12.222639083862305
2794,352,187.77042159,401.86,47,132186,122185,0.001,7.644357681274414,-10.459210395812988
2823,356,187.41345424000002,386.57,47,133260,123259,0.001,8.298629760742188,-10.539955139160156
