rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
100.5,402,4,-188.80014775,1793,0,,,,
108.125,865,8,-198.117363875,1873,0,,,,
103.25,1239,12,-200.7089265,1910,0,,,,
104.25,1668,16,-201.446186,1875,0,,,,
101.0,2020,20,-188.4385269,1922,1,,,,
99.83333333333333,2396,24,-194.79427583333336,1952,1,,,,
100.39285714285714,2811,28,-199.41133146428572,1974,1,,,,
99.09375,3171,32,-196.20111993749998,1986,1,,,,
101.38888888888889,3650,36,-200.6414513333333,1999,1,,,,
102.4,4096,40,-200.366291525,2011,2,,,,
102.04545454545455,4490,44,-201.91446170454546,2027,2,,,,
102.45833333333333,4918,48,-203.97069614583333,2042,2,,,,
101.90384615384616,5299,52,-206.19263094230766,2053,2,,,,
103.16071428571429,5777,56,-203.32024389285712,2066,2,,,,
102.63333333333334,6158,60,-203.94697536666663,2075,2,,,,
103.09375,6598,64,-200.73582546875,2084,3,,,,
103.44117647058823,7034,68,-201.1197450441176,2091,3,,,,
104.98611111111111,7559,72,-201.31178597222222,2099,3,,,,
106.6842105263158,8108,76,-200.95252975000002,2106,3,,,,
106.65,8532,80,-196.967428775,2112,4,,,,
105.89285714285714,8895,84,-194.1705623809524,2116,4,,,,
107.0,9416,88,-190.56729220454545,2120,4,,,,
108.29347826086956,9963,92,-192.1574695543478,2126,4,,,,
110.21875,10581,96,-196.20254306249998,704,15,0.001,7.546416759490967,0.591903805732727,580
113.53,11353,100,-210.40967366999993,385,29,0.001,85.63533020019531,1.5604965686798096,1352
116.38,12040,104,-220.78312222000005,284,42,0.001,6.322256088256836,2.322110414505005,2039
138.95,14760,108,-219.0055053,158,93,0.001,35.493865966796875,-0.7043589353561401,4759
173.98,18637,112,-215.18787831999998,112,165,0.001,64.59627532958984,0.26314735412597656,8636
194.09,21077,116,-214.74877405000004,99,211,0.001,12.901446342468262,-5.169370174407959,11076
220.5,24070,120,-217.48662426,89,267,0.001,30.76308822631836,-4.408952236175537,14069
233.79,25775,124,-207.22464040000003,86,299,0.001,19.57459831237793,-5.85319185256958,15774
259.67,28778,128,-202.53599567000003,80,355,0.001,25.46153450012207,-0.13803371787071228,18777
286.41,31812,132,-200.79505634,77,412,0.001,17.131593704223633,-0.37095487117767334,21811
314.5,35100,136,-192.30572881,73,474,0.001,11.561010360717773,-2.7638602256774902,25099
326.39,36735,140,-181.45106177999997,72,505,0.001,24.554424285888672,0.7209197878837585,26734
