time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
0,532,133.0,-301.78833225000005,2125,4,,,,
0,905,113.125,-281.90312462500003,2119,8,,,,
0,1401,116.75,-271.19749675,2131,12,,,,
0,1874,117.125,-267.77613937499996,2139,16,,,,
1,2346,117.3,-241.05019479999993,2143,20,,,,
1,2761,115.04166666666667,-243.840993,2145,24,,,,
1,3262,116.5,-240.4054117142857,2151,28,,,,
1,3697,115.53125,-234.32499796874998,2148,32,,,,
1,4047,112.41666666666667,-226.92951338888886,2148,36,,,,
2,4430,110.75,-222.90540382500004,2149,40,,,,
2,4846,110.13636363636364,-219.3621070227273,2152,44,,,,
2,5253,109.4375,-212.99149160416664,2153,48,,,,
2,5702,109.65384615384616,-213.80689144230772,2153,52,,,,
2,6159,109.98214285714286,-213.47853526785713,2154,56,,,,
3,6595,109.91666666666667,-215.6490235,2155,60,,,,
3,6963,108.796875,-219.28330490624998,2155,64,,,,
3,7413,109.01470588235294,-216.67666074999997,2156,68,,,,
3,7876,109.38888888888889,-212.878174,2156,72,,,,
3,8312,109.36842105263158,-217.28442339473685,2156,76,,,,
4,8708,108.85,-213.68521983749997,2156,80,,,,
4,9124,108.61904761904762,-213.90158673809523,2157,84,,,,
4,9504,108.0,-212.33943514772727,2156,88,,,,
4,9880,107.3913043478261,-209.79044406521743,2157,92,,,,
11,10374,108.0625,-214.82148983333332,875,96,62.67652893066406,0.001,373,1.5488214492797852
20,10836,108.36,-220.34919609,517,100,29.276212692260742,0.001,835,2.001319646835327
101,14836,143.04,-213.16123520000002,146,104,6.102744102478027,0.001,4835,0.2586168348789215
161,17827,169.22,-210.80665778000002,110,108,7.794710159301758,0.001,7826,-2.9997446537017822
219,20651,192.5,-210.04103638999996,94,112,7.307530403137207,0.001,10650,-3.5214943885803223
251,22231,203.57,-205.01938075,88,116,16.389202117919922,0.001,12230,-2.798543691635132
284,23863,215.17,-202.42093205,83,120,22.670726776123047,0.001,13862,2.732377052307129
300,24669,219.08,-193.49639949000002,82,124,20.10771369934082,0.001,14668,0.573409914970398
314,25365,221.03,-186.57584322000002,80,128,26.911865234375,0.001,15364,-2.58905029296875
338,26537,228.4,-179.25549358,78,132,11.736692428588867,0.001,16536,-4.312915802001953
357,27439,233.92,-175.50624817000005,76,136,28.777835845947266,0.001,17438,2.1983470916748047
376,28422,239.92,-166.07057826,75,140,161.70321655273438,0.001,18421,2.150557279586792
388,29009,241.63,-161.38427396999998,74,144,24.313114166259766,0.001,19008,1.9331424236297607
421,30629,253.76,-156.58913941,72,148,15.982010841369629,0.001,20628,5.5540642738342285
436,31334,256.32,-148.82452225999998,71,152,11.1527099609375,0.001,21333,1.0740551948547363
451,32000,258.41,-141.93296664000002,70,156,7.258342742919922,0.001,21999,2.2354846000671387
465,32687,260.92,-133.83841373,70,160,8.196050643920898,0.001,22686,1.8307929039001465
482,33533,265.7,-126.84572964,69,164,30.062217712402344,0.001,23532,4.937521457672119
497,34295,268.82,-122.64947345,68,168,11.383103370666504,0.001,24294,5.632663726806641
513,35091,272.15,-119.42608429,68,172,6.370415687561035,0.001,25090,2.389892816543579
532,36026,277.14,-112.55372368,67,176,5.868854999542236,0.001,26025,8.915603637695312
550,36953,282.45,-109.49425426999998,67,180,5.329844951629639,0.001,26952,3.6505510807037354
572,38011,288.87,-103.91381186000002,66,184,7.6761956214904785,0.001,28010,4.945469856262207
603,39576,300.72,-100.99679403,65,188,5.7630438804626465,0.001,29575,8.974553108215332
625,40672,307.92,-97.32353667999998,65,192,11.706518173217773,0.001,30671,7.662264823913574
669,42885,325.11,-87.16604483,64,196,6.4642415046691895,0.001,32884,7.899111747741699
689,43881,330.45,-76.19759664000001,63,200,3.8785877227783203,0.001,33880,7.641908168792725
709,44865,300.29,-74.42290026,63,204,9.92684555053711,0.001,34864,9.789003372192383
759,47383,295.56,-70.81983158000001,62,208,4.234373569488525,0.001,37382,8.705167770385742
