train/learning_rate,time/episodes,time/total_timesteps,train/n_updates,train/critic_loss,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss
0.001,4,800,699,0.03956674039363861,200.0,56,14,-1557.02444275,26.7587947845459
0.001,8,1600,1499,0.09693524986505508,200.0,54,29,-1488.237486,52.20127487182617
0.001,12,2400,2299,0.08417795598506927,200.0,54,44,-1352.4763996666666,68.90607452392578
0.001,16,3200,3099,0.11354568600654602,200.0,52,60,-1092.0316596875,72.15019989013672
0.001,20,4000,3899,0.4687389135360718,200.0,51,78,-967.9529409999999,75.59532165527344
0.001,24,4800,4699,0.5429179668426514,200.0,50,94,-837.2445357083334,71.44579315185547
0.001,28,5600,5499,0.76353919506073,200.0,50,111,-733.9776662857145,68.08052825927734
0.001,32,6400,6299,0.44933298230171204,200.0,50,127,-658.02345071875,56.58121109008789
0.001,36,7200,7099,0.6220531463623047,200.0,50,142,-602.0276471666667,63.43865203857422
0.001,40,8000,7899,0.4778870940208435,200.0,50,159,-562.854655075,53.24696350097656
0.001,44,8800,8699,0.5922290086746216,200.0,50,174,-525.4310445909091,57.70146942138672
0.001,48,9600,9499,0.7720704078674316,200.0,50,189,-493.7860004166667,50.786903381347656
0.001,52,10400,10299,1.0801706314086914,200.0,50,204,-469.4935079615385,49.37471389770508
0.001,56,11200,11099,0.7957862019538879,200.0,50,219,-444.70669396428576,41.497215270996094
0.001,60,12000,11899,1.2220890522003174,200.0,51,234,-426.95857281666673,40.83649444580078
0.001,64,12800,12699,0.6206518411636353,200.0,51,249,-408.75686893750003,47.89271926879883
0.001,68,13600,13499,0.6029459238052368,200.0,51,264,-397.1550566617647,32.90611267089844
0.001,72,14400,14299,0.7902891635894775,200.0,51,279,-381.92963445833334,45.893577575683594
0.001,76,15200,15099,0.831360936164856,200.0,51,294,-372.60951773684207,35.768272399902344
0.001,80,16000,15899,0.7806525826454163,200.0,51,309,-360.3433817,36.84761047363281
0.001,84,16800,16699,0.2630995213985443,200.0,51,324,-350.63274697619045,29.887174606323242
0.001,88,17600,17499,0.5068792700767517,200.0,51,339,-346.78939360227275,33.330360412597656
0.001,92,18400,18299,0.6793641448020935,200.0,51,354,-339.44543298913044,28.21231460571289
0.001,96,19200,19099,0.5858900547027588,200.0,51,369,-330.5045997083334,22.284378051757812
