time/fps,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,train/n_updates,time/total_timesteps,train/critic_loss,train/learning_rate
49,4,16,200.0,25.69668197631836,-1437.8924697500001,699,800,0.034080009907484055,0.001
49,8,32,200.0,51.718017578125,-1413.7607895,1499,1600,0.08385636657476425,0.001
50,12,47,200.0,64.56150817871094,-1275.045339,2299,2400,0.16092458367347717,0.001
50,16,63,200.0,78.1427230834961,-1139.855589,3099,3200,0.1936960220336914,0.001
50,20,79,200.0,76.63967895507812,-937.5908009500001,3899,4000,0.3973093628883362,0.001
50,24,94,200.0,71.20099639892578,-802.4633419166666,4699,4800,0.41130009293556213,0.001
50,28,110,200.0,63.90400695800781,-709.2230625714285,5499,5600,0.4539898931980133,0.001
50,32,126,200.0,63.84422302246094,-646.8295947812501,6299,6400,0.8124933242797852,0.001
50,36,142,200.0,53.60725021362305,-643.9894921388891,7099,7200,1.300958275794983,0.001
50,40,157,200.0,65.02598571777344,-588.448898125,7899,8000,1.5905747413635254,0.001
50,44,173,200.0,49.21217346191406,-550.6208032272727,8699,8800,2.340186595916748,0.001
50,48,189,200.0,45.40688705444336,-520.9090535833334,9499,9600,1.5452134609222412,0.001
50,52,205,200.0,43.59375,-499.4265603653847,10299,10400,1.5682504177093506,0.001
50,56,221,200.0,48.89220428466797,-470.29830125,11099,11200,1.0200353860855103,0.001
50,60,236,200.0,32.293983459472656,-447.24509688333336,11899,12000,1.5643110275268555,0.001
50,64,252,200.0,33.274169921875,-428.640976796875,12699,12800,2.418797254562378,0.001
50,68,268,200.0,38.99521255493164,-413.9297332205883,13499,13600,0.8837203979492188,0.001
50,72,284,200.0,28.297012329101562,-400.18120437499994,14299,14400,1.6397849321365356,0.001
50,76,300,200.0,22.303619384765625,-388.37820277631573,15099,15200,0.5300008058547974,0.001
50,80,315,200.0,23.057872772216797,-373.4676947875,15899,16000,2.430344820022583,0.001
50,84,331,200.0,21.23546600341797,-363.61579816666665,16699,16800,0.6355324983596802,0.001
50,88,347,200.0,22.192428588867188,-355.01323610227274,17499,17600,0.8309763073921204,0.001
50,92,363,200.0,24.643571853637695,-346.2882810434783,18299,18400,1.4720251560211182,0.001
50,96,379,200.0,12.957490921020508,-339.5167884791667,19099,19200,0.33032462000846863,0.001
50,100,395,200.0,19.231107711791992,-328.47031782,19899,20000,0.45720890164375305,0.001
50,104,410,200.0,24.235244750976562,-277.28688305000003,20699,20800,0.5458986163139343,0.001
50,108,426,200.0,16.14495086669922,-227.95325343999997,21499,21600,0.8602966070175171,0.001
50,112,442,200.0,19.173372268676758,-192.08785767,22299,22400,0.8407365083694458,0.001
50,116,458,200.0,5.791275501251221,-170.82260282,23099,23200,1.2096613645553589,0.001
50,120,474,200.0,17.194984436035156,-172.86815368,23899,24000,0.6378596425056458,0.001
50,124,490,200.0,7.827612400054932,-172.74941232999998,24699,24800,0.3827829658985138,0.001
50,128,505,200.0,5.855584621429443,-172.79502662999997,25499,25600,0.9227997064590454,0.001
50,132,521,200.0,19.76742935180664,-171.67739333999998,26299,26400,0.6670724153518677,0.001
50,136,537,200.0,12.381145477294922,-149.5110632,27099,27200,1.1674994230270386,0.001
50,140,553,200.0,0.8998462557792664,-153.24174846999998,27899,28000,1.1432533264160156,0.001
50,144,569,200.0,5.985705852508545,-151.71278503999997,28699,28800,0.479104220867157,0.001
50,148,585,200.0,10.044976234436035,-148.85191891,29499,29600,0.6610676050186157,0.001
50,152,600,200.0,8.771890640258789,-144.18418642999998,30299,30400,0.40031689405441284,0.001
50,156,616,200.0,5.014399528503418,-145.56297378,31099,31200,0.7387976050376892,0.001
50,160,632,200.0,14.120830535888672,-149.04387569,31899,32000,0.5541461706161499,0.001
50,164,648,200.0,5.563295364379883,-148.43059749999998,32699,32800,0.5738005042076111,0.001
50,168,664,200.0,7.629327774047852,-149.5135889,33499,33600,0.729475736618042,0.001
50,172,680,200.0,8.634478569030762,-148.53874093000002,34299,34400,0.7014983296394348,0.001
50,176,696,200.0,6.396145820617676,-148.58975853,35099,35200,0.9121189117431641,0.001
50,180,712,200.0,8.836533546447754,-148.56164271999998,35899,36000,0.44545817375183105,0.001
50,184,728,200.0,8.081560134887695,-144.27178286,36699,36800,1.0311496257781982,0.001
50,188,743,200.0,10.604008674621582,-142.15424513000002,37499,37600,0.4583420157432556,0.001
50,192,759,200.0,11.413151741027832,-138.44504065,38299,38400,1.0018181800842285,0.001
50,196,776,200.0,8.98073673248291,-135.68360146000003,39099,39200,1.1070892810821533,0.001
50,200,792,200.0,6.371481895446777,-139.25409221,39899,40000,0.9180121421813965,0.001
