time/fps,time/total_timesteps,train/actor_loss,time/time_elapsed,train/critic_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/learning_rate
62,800,25.072776794433594,12,0.019082393497228622,699,-1347.74111125,200.0,4,0.001
48,1600,46.117889404296875,33,0.12147845327854156,1499,-1283.24091925,200.0,8,0.001
47,2400,65.88044738769531,50,0.10650338232517242,2299,-1206.8933443333333,200.0,12,0.001
48,3200,63.90897750854492,66,0.08545897156000137,3099,-929.9445930625001,200.0,16,0.001
48,4000,60.2688102722168,82,0.1811334490776062,3899,-782.4716580500001,200.0,20,0.001
48,4800,52.306278228759766,98,0.4227234721183777,4699,-703.5450701249998,200.0,24,0.001
48,5600,61.085723876953125,114,1.8243266344070435,5499,-652.0729282499998,200.0,28,0.001
48,6400,51.087677001953125,130,1.1226611137390137,6299,-585.800672125,200.0,32,0.001
49,7200,55.56011962890625,146,0.9965814352035522,7099,-530.7889084444446,200.0,36,0.001
49,8000,49.017303466796875,162,1.4060012102127075,7899,-497.87009904999996,200.0,40,0.001
49,8800,34.41559600830078,178,1.619474172592163,8699,-469.194069590909,200.0,44,0.001
49,9600,29.001352310180664,194,1.3164952993392944,9499,-442.5556555625,200.0,48,0.001
49,10400,38.09737777709961,210,0.7604182958602905,10299,-424.0914616923077,200.0,52,0.001
49,11200,29.734508514404297,226,0.9684847593307495,11099,-400.34774035714287,200.0,56,0.001
49,12000,23.34323501586914,243,0.7209235429763794,11899,-383.62968151666666,200.0,60,0.001
49,12800,18.919843673706055,259,0.4441707134246826,12699,-361.980458828125,200.0,64,0.001
49,13600,24.099802017211914,275,0.5754216909408569,13499,-351.1771421470588,200.0,68,0.001
49,14400,23.001352310180664,291,0.42045801877975464,14299,-337.09043058333333,200.0,72,0.001
49,15200,27.037532806396484,307,0.5019384622573853,15099,-326.370177868421,200.0,76,0.001
49,16000,14.232217788696289,323,1.2680655717849731,15899,-315.0058756625,200.0,80,0.001
49,16800,11.459010124206543,339,0.5261090993881226,16699,-309.0882742738096,200.0,84,0.001
49,17600,19.180194854736328,356,1.0163946151733398,17499,-303.75336551136365,200.0,88,0.001
49,18400,11.76087474822998,372,0.7438096404075623,18299,-294.6907804456522,200.0,92,0.001
49,19200,10.159049034118652,388,0.5350770950317383,19099,-287.58191339583334,200.0,96,0.001
49,20000,14.738157272338867,404,0.5918616652488708,19899,-284.86418322000003,200.0,100,0.001
49,20800,6.3819098472595215,420,0.8697943091392517,20699,-234.73314311000001,200.0,104,0.001
49,21600,11.276057243347168,436,0.36467328667640686,21499,-193.92987083999998,200.0,108,0.001
49,22400,2.3197715282440186,453,0.48199647665023804,22299,-157.83310453,200.0,112,0.001
49,23200,16.287691116333008,469,0.174154132604599,23099,-160.94038088000002,200.0,116,0.001
49,24000,16.00385856628418,485,0.41931411623954773,23899,-160.17974166,200.0,120,0.001
49,24800,12.59961986541748,501,0.3526313602924347,24699,-153.70531437,200.0,124,0.001
49,25600,11.315939903259277,517,0.37559276819229126,25499,-145.89206794,200.0,128,0.001
49,26400,17.000530242919922,534,0.22463762760162354,26299,-147.14728896,200.0,132,0.001
49,27200,8.424276351928711,550,1.0822043418884277,27099,-147.60451457000002,200.0,136,0.001
49,28000,14.09390640258789,565,0.704849898815155,27899,-148.22707257,200.0,140,0.001
49,28800,12.650674819946289,580,0.4423428475856781,28699,-147.19243563,200.0,144,0.001
49,29600,16.549083709716797,595,0.7365245223045349,29499,-149.95559391,200.0,148,0.001
49,30400,13.611234664916992,611,0.5843949317932129,30299,-143.41960765,200.0,152,0.001
49,31200,15.389976501464844,626,0.622138261795044,31099,-146.10564541,200.0,156,0.001
49,32000,17.256147384643555,641,1.1374799013137817,31899,-146.41724508,200.0,160,0.001
49,32800,17.397045135498047,657,0.39347919821739197,32699,-148.89661898999998,200.0,164,0.001
49,33600,9.528129577636719,672,0.2843586802482605,33499,-148.21270518,200.0,168,0.001
50,34400,9.250999450683594,687,0.36570996046066284,34299,-149.63215002,200.0,172,0.001
50,35200,15.01840877532959,702,0.5085370540618896,35099,-151.5639102,200.0,176,0.001
50,36000,11.7804594039917,718,0.16851787269115448,35899,-155.11827187,200.0,180,0.001
50,36800,14.670406341552734,733,0.35989803075790405,36699,-154.81410558,200.0,184,0.001
50,37600,8.5762939453125,748,0.11443588882684708,37499,-153.51260242,200.0,188,0.001
50,38400,13.13489818572998,764,0.2952548563480377,38299,-154.63036516,200.0,192,0.001
50,39200,8.681356430053711,779,0.22697290778160095,39099,-156.69603991,200.0,196,0.001
