time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/entropy_loss,train/std,train/loss,train/clip_range,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/explained_variance
1251,-1139.9990563000001,2048,200.0,1,1,,,,,,,,,,,
830,-1191.27203335,4096,200.0,4,2,-1.4159305680543184,0.9946752190589905,3784.633056640625,0.2,0.002266781,0.00517578125,10,-0.0017028633221343626,0.0003,8480.062705993652,0.0027843713760375977
762,-1165.9915577333334,6144,200.0,8,3,-1.4121289227157832,0.991317629814148,4135.078125,0.2,0.0010621126,9.765625e-05,20,-0.0008191073437046725,0.0003,9381.861003112794,0.1385859251022339
734,-1173.2109195,8192,200.0,11,4,-1.4091615553945303,0.989004909992218,3466.203369140625,0.2,0.0026171436,0.01171875,30,-0.0011601258498558308,0.0003,7159.489735412598,0.11574780941009521
720,-1196.0558625686276,10240,200.0,14,5,-1.4124364260584117,0.9973565936088562,3821.85009765625,0.2,0.003827203,0.03564453125,40,-0.0035152854725311045,0.0003,7665.017213439942,0.01245349645614624
710,-1198.173508754098,12288,200.0,17,6,-1.4127198912203311,0.9897882342338562,4181.4970703125,0.2,0.0018441648,0.0021484375,50,-0.00014922305708751083,0.0003,9559.953057861328,0.003923952579498291
700,-1207.4025327887323,14336,200.0,20,7,-1.407888874411583,0.9871053695678711,3403.7451171875,0.2,0.0017597734,0.0041015625,60,-0.0005574929935391992,0.0003,7790.17571105957,0.005082845687866211
695,-1204.763075876543,16384,200.0,23,8,-1.3983057416975497,0.9727254509925842,4149.1328125,0.2,0.0028107679,0.0103515625,70,-0.0014306589815532788,0.0003,9044.285710144042,0.002748548984527588
692,-1211.8811261956523,18432,200.0,26,9,-1.3875793822109699,0.9663252234458923,3217.697509765625,0.2,0.0021657762,0.0103515625,80,-0.001089830639102729,0.0003,6997.733340454101,0.003098726272583008
688,-1210.60276525,20480,200.0,29,10,-1.3879852056503297,0.9714781045913696,4036.35400390625,0.2,0.0017992533,0.008251953125,90,-0.0008730696026759688,0.0003,8719.324153137208,0.0011840462684631348
684,-1221.60535731,22528,200.0,32,11,-1.3777995690703393,0.9485644102096558,3069.867431640625,0.2,0.00080806843,0.00087890625,100,-0.000679590088839177,0.0003,6929.024078369141,0.0012546181678771973
683,-1214.32189602,24576,200.0,35,12,-1.3686500400304795,0.9514867663383484,4131.6484375,0.2,0.0032124766,0.01240234375,110,-0.0013884388652513735,0.0003,8794.622453308106,0.00047910213470458984
682,-1214.10844461,26624,200.0,39,13,-1.3651174176484346,0.9440057277679443,2706.778564453125,0.2,0.004369925,0.04111328125,120,-0.0032718595990445464,0.0003,5652.0738899230955,0.0008023381233215332
680,-1219.90530949,28672,200.0,42,14,-1.3551227569580078,0.933041512966156,3057.363525390625,0.2,0.0013225941,0.0076171875,130,-0.0006072134179703426,0.0003,5801.084339904785,0.0003826022148132324
679,-1188.71096644,30720,200.0,45,15,-1.3521611351519822,0.9358481764793396,3016.599853515625,0.2,0.0041179857,0.048779296875,140,-0.004836763224739115,0.0003,7023.897229003906,0.0002811551094055176
678,-1202.9189224899999,32768,200.0,48,16,-1.3579408008605243,0.946185827255249,1856.753173828125,0.2,0.0066916933,0.048681640625,150,-0.004929638172325212,0.0003,4200.718132019043,0.0003091096878051758
677,-1193.0247861,34816,200.0,51,17,-1.3605196930468082,0.9380362033843994,3364.426025390625,0.2,0.0019033973,0.0021484375,160,-0.0011103508884843904,0.0003,7284.535231018066,0.0001512765884399414
677,-1164.4011186,36864,200.0,54,18,-1.3488025467842817,0.9252672791481018,3028.49853515625,0.2,0.002651481,0.012841796875,170,-0.002862288908363553,0.0003,6917.21411743164,0.00012606382369995117
676,-1173.7783994000001,38912,200.0,57,19,-1.3298632331192493,0.9070076942443848,1600.5107421875,0.2,0.0022578356,0.00654296875,180,-0.0010523742690565995,0.0003,3941.19208984375,0.00014901161193847656
675,-1165.53799454,40960,200.0,60,20,-1.3112755302339791,0.8899515867233276,2773.17431640625,0.2,0.003756593,0.035986328125,190,-0.0037496203207410873,0.0003,6590.352177429199,5.692243576049805e-05
675,-1150.88238898,43008,200.0,63,21,-1.3198539853096007,0.9186446666717529,2257.91162109375,0.2,0.0047422093,0.024560546875,200,-0.00593022594548529,0.0003,4945.33844909668,7.224082946777344e-05
675,-1153.23014501,45056,200.0,66,22,-1.3363961040973664,0.9221900701522827,2258.56494140625,0.2,0.0032017934,0.03662109375,210,-0.002992943650315283,0.0003,4507.421662139893,6.753206253051758e-05
674,-1141.5986118499998,47104,200.0,69,23,-1.3366576857864856,0.9237276911735535,2086.561279296875,0.2,0.0023286834,0.006982421875,220,-0.00129940471961163,0.0003,4663.241661834717,4.565715789794922e-05
673,-1139.38044351,49152,200.0,72,24,-1.3357408575713634,0.9170240759849548,1763.3441162109375,0.2,0.002464136,0.009326171875,230,-0.001657219549815636,0.0003,3880.3496429443358,3.8623809814453125e-05
673,-1152.57031002,51200,200.0,76,25,-1.3409192036837339,0.9312047958374023,2012.9954833984375,0.2,0.00092672044,0.0025390625,240,-0.00065217693336308,0.0003,4593.987425231933,3.0338764190673828e-05
