rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/value_loss,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/std,train/clip_range,train/loss,train/approx_kl,train/policy_gradient_loss,train/entropy_loss
-1137.1065267,1223,200.0,2048,1,1,,,,,,,,,,,
-1239.6456127999998,865,200.0,4096,4,2,8120.696476745606,10,0.010386466979980469,0.0003,0.002001953125,1.0100499391555786,0.2,3839.361328125,0.00095342787,-0.0005741088665672578,-1.424475146830082
-1213.6982049,785,200.0,6144,7,3,10812.515426635742,20,0.11203539371490479,0.0003,0.007958984375,1.0085216760635376,0.2,5102.9033203125,0.0026156472,-0.0019512382059474476,-1.428347798064351
-1208.3986405,753,200.0,8192,10,4,7817.202130126953,30,0.15972298383712769,0.0003,0.01328125,1.0079325437545776,0.2,3802.424560546875,0.0027886198,-0.002440605602168944,-1.4277903381735086
-1201.3822240392158,734,200.0,10240,13,5,7256.125570678711,40,0.027243435382843018,0.0003,0.01103515625,1.0061711072921753,0.2,3356.531982421875,0.0027205572,-0.0020901069983665366,-1.4258245047181846
-1180.330218918033,723,200.0,12288,16,6,8177.800761413574,50,0.005765259265899658,0.0003,0.01513671875,0.996109664440155,0.2,3483.690185546875,0.0026621614,-0.0020209460795740596,-1.4209069609642029
-1190.4159209577465,716,200.0,14336,20,7,6065.572650146484,60,0.0029326677322387695,0.0003,0.032568359375,0.9934113621711731,0.2,2828.644775390625,0.0035892576,-0.0033815157643402927,-1.4146857235580683
-1192.9916026296296,710,200.0,16384,23,8,8237.441162109375,70,0.001254737377166748,0.0003,0.015869140625,0.9973351955413818,0.2,3838.853271484375,0.0026039993,-0.002647666580742225,-1.4163958251476287
-1181.0309416630434,705,200.0,18432,26,9,7369.389916992188,80,0.0013721585273742676,0.0003,0.000634765625,1.0033378601074219,0.2,3669.9580078125,0.0012187387,-0.0004111256239411887,-1.4194390021264554
-1190.52611818,702,200.0,20480,29,10,6616.541749572754,90,0.0011269450187683105,0.0003,0.012939453125,1.0168315172195435,0.2,2954.2587890625,0.0035556538,-0.0021572162717347966,-1.4308697029948234
-1183.7282995199998,699,200.0,22528,32,11,7822.505009460449,100,0.0005167722702026367,0.0003,0.004736328125,1.0139050483703613,0.2,3563.209228515625,0.0023467622,-0.0008361975764273666,-1.436340521648526
-1158.12164716,696,200.0,24576,35,12,5912.068887329102,110,0.000648200511932373,0.0003,0.009033203125,1.0155690908432007,0.2,2891.91259765625,0.0027961896,-0.0012744875391945242,-1.4326376397162677
-1158.86532847,693,200.0,26624,38,13,5172.924752807618,120,0.0004634857177734375,0.0003,0.02509765625,1.0038431882858276,0.2,2541.16259765625,0.0052116085,-0.003055768249760149,-1.4290623221546412
-1151.4050058600003,692,200.0,28672,41,14,5847.4085144042965,130,0.0002695918083190918,0.0003,0.00458984375,1.0041277408599854,0.2,2811.603515625,0.0020097285,-0.0007503752814955078,-1.4227376252412796
-1149.86348134,690,200.0,30720,44,15,5917.026008605957,140,0.0002442002296447754,0.0003,0.00751953125,1.002835988998413,0.2,2904.140869140625,0.002313233,-0.0011028840788640081,-1.4232770707458258
-1149.92674547,689,200.0,32768,47,16,6008.720085144043,150,0.0002034902572631836,0.0003,0.0078125,1.002636432647705,0.2,3506.27001953125,0.001735242,-0.0008111528877634555,-1.4220992721617223
-1145.28011576,687,200.0,34816,50,17,5007.588292694092,160,0.00016760826110839844,0.0003,0.03505859375,0.9696106314659119,0.2,2329.4287109375,0.0051629655,-0.003617578362172935,-1.403694487735629
-1140.15202726,686,200.0,36864,53,18,5151.968527221679,170,0.00017386674880981445,0.0003,0.012158203125,0.975795567035675,0.2,2058.6396484375,0.0024444321,-0.0015721862902864814,-1.3921953734010457
-1136.8982885900002,685,200.0,38912,56,19,4959.638454437256,180,0.00011223554611206055,0.0003,0.0271484375,0.9589152932167053,0.2,2348.208251953125,0.0032533025,-0.0030943529251089784,-1.3865760311484336
-1109.97105742,685,200.0,40960,59,20,4602.360224914551,190,8.028745651245117e-05,0.0003,0.04287109375,0.9667072296142578,0.2,2116.64111328125,0.0029741474,-0.003657048981403932,-1.3800420224666596
-1096.78198336,684,200.0,43008,62,21,3428.567273712158,200,7.927417755126953e-05,0.0003,0.042578125,0.9371229410171509,0.2,1565.068359375,0.005428083,-0.004246981710457476,-1.3679600980132818
-1093.87066217,683,200.0,45056,65,22,3303.453535461426,210,6.318092346191406e-05,0.0003,0.025537109375,0.9568884968757629,0.2,1521.378173828125,0.005789739,-0.001273585059971083,-1.3638516504317522
-1075.35611984,683,200.0,47104,68,23,3660.61399307251,220,4.00543212890625e-05,0.0003,0.022607421875,0.9554535746574402,0.2,1965.259033203125,0.0031653796,-0.000977062393212691,-1.3749052263796329
-1065.77978697,682,200.0,49152,71,24,2817.909479904175,230,4.488229751586914e-05,0.0003,0.0181640625,0.9499952793121338,0.2,1452.0194091796875,0.001837532,-0.0004428551554156002,-1.371450238674879
-1048.07735582,682,200.0,51200,75,25,3478.04368057251,240,2.9325485229492188e-05,0.0003,0.02880859375,0.951268196105957,0.2,1406.20849609375,0.0042414884,-0.0008866280943038874,-1.3687101192772388
-1026.7974038999998,681,200.0,53248,78,26,2983.6527088165285,250,1.728534698486328e-05,0.0003,0.0541015625,0.9396947026252747,0.2,1326.193603515625,0.005432534,-0.005276203842367977,-1.3620837714523077
-1024.46404305,681,200.0,55296,81,27,2677.9866989135744,260,1.4126300811767578e-05,0.0003,0.0375,0.9484381675720215,0.2,1224.1085205078125,0.003170901,-0.0027890441007912157,-1.3617162227630615
-1026.8242807699999,681,200.0,57344,84,28,3725.378971862793,270,1.055002212524414e-05,0.0003,0.01611328125,0.9512763619422913,0.2,1776.54541015625,0.0028556634,-0.0010233411427179816,-1.367246823757887
-1030.23610659,680,200.0,59392,87,29,3769.998331451416,280,1.3768672943115234e-05,0.0003,0.022509765625,0.935427188873291,0.2,1541.8167724609375,0.0025330922,-0.0019466114565148019,-1.3596907842904329
-1044.93831098,680,200.0,61440,90,30,3612.1597846984864,290,1.2695789337158203e-05,0.0003,0.025341796875,0.9200727939605713,0.2,1797.018798828125,0.002998914,-0.002467092583538033,-1.3447435542941093
-1042.7934892600001,679,200.0,63488,93,31,3385.8029594421387,300,1.1146068572998047e-05,0.0003,0.026708984375,0.904350757598877,0.2,1485.56005859375,0.0034660602,-0.002972222709649941,-1.3268645882606507
-1045.38680148,679,200.0,65536,96,32,2687.2642993927,310,1.3113021850585938e-05,0.0003,0.04033203125,0.9035606980323792,0.2,1228.765380859375,0.003467244,-0.0022062517833546734,-1.3177672192454337
-1056.1258034499997,679,200.0,67584,99,33,2591.7661838531494,320,9.5367431640625e-06,0.0003,0.034716796875,0.9211642146110535,0.2,1320.7003173828125,0.003212147,-0.002188912629208062,-1.3301944125443697
-1049.05322175,678,200.0,69632,102,34,2622.582627105713,330,9.119510650634766e-06,0.0003,0.014404296875,0.8987113237380981,0.2,1238.829833984375,0.0025267778,-0.0017838413754361683,-1.3247553177177906
-1064.53531047,678,200.0,71680,105,35,2242.509676361084,340,1.055002212524414e-05,0.0003,0.023681640625,0.8833624124526978,0.2,955.705322265625,0.0032052035,-0.0018775281685520894,-1.303060994297266
