time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/policy_gradient_loss,train/std,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/value_loss
2048,200.0,1,1,1224,-1422.4057871,,,,,,,,,,,
4096,200.0,2,4,842,-1272.9501203,-0.00047989498270908373,1.0096181631088257,10,0.00029296875,5451.41552734375,0.2,0.0006107411,0.0003,-0.0007874965667724609,-1.4233205731958152,11983.837109375
6144,200.0,3,7,769,-1197.5730857666667,-0.0018343279516557232,1.0102158784866333,20,0.0189453125,3109.945068359375,0.2,0.0033540847,0.0003,0.1596815586090088,-1.4297441709786654,7184.326634216309
8192,200.0,4,11,727,-1180.7683836,-0.0022293275891570375,1.006820559501648,30,0.024560546875,2882.100830078125,0.2,0.0030901884,0.0003,0.11726027727127075,-1.4268980674445628,6447.187237548828
10240,200.0,5,14,709,-1236.6888232941176,-0.0015730049010016956,0.9813222885131836,40,0.003466796875,3299.907470703125,0.2,0.0018818348,0.0003,0.027123212814331055,-1.4131461031734944,7259.77186126709
12288,200.0,6,17,701,-1251.037132,-0.001064737247361336,0.9829459190368652,50,0.005029296875,5813.248046875,0.2,0.0017894163,0.0003,0.006564080715179443,-1.4021226219832896,11742.567431640626
14336,200.0,7,20,695,-1262.916239197183,-0.0016137504127982539,0.9691324830055237,60,0.018115234375,4371.77001953125,0.2,0.00338654,0.0003,0.0062430500984191895,-1.3945067133754492,9763.686552429199
16384,200.0,8,23,691,-1268.6962218024692,-0.001822008573799394,0.971366822719574,70,0.0111328125,4720.5078125,0.2,0.0027552391,0.0003,0.0048177242279052734,-1.3876566939055919,9838.192529296875
18432,200.0,9,27,677,-1264.1478009239127,-0.0014469477042439393,0.959031879901886,80,0.009765625,3904.024658203125,0.2,0.002926611,0.0003,0.0034839510917663574,-1.38182823471725,8414.232878112793
20480,200.0,10,31,658,-1242.69389153,-0.0017912325631186832,0.9575310945510864,90,0.0138671875,3793.748291015625,0.2,0.0031380642,0.0003,0.0026037096977233887,-1.3762997332960367,8329.583633422852
22528,200.0,11,34,653,-1226.6364287099998,-0.001764095931139309,0.9465822577476501,100,0.018505859375,2958.731201171875,0.2,0.0034304215,0.0003,0.001867532730102539,-1.370330809056759,6042.9871826171875
24576,200.0,12,38,642,-1223.53737441,-0.0030646115861600264,0.9211609363555908,110,0.0359375,3200.899169921875,0.2,0.0050810054,0.0003,0.0012798309326171875,-1.34998246319592,6764.643713378906
26624,200.0,13,41,643,-1214.7717092700002,-0.0020433934943866914,0.9144189953804016,120,0.02666015625,3175.700439453125,0.2,0.0033923804,0.0003,0.000887751579284668,-1.331895313039422,5787.237487792969
28672,200.0,14,44,644,-1214.4828985099998,-0.0027788477702415547,0.8967201709747314,130,0.02685546875,2375.496826171875,0.2,0.0039564804,0.0003,0.0005853176116943359,-1.3194420758634806,4754.691693878174
30720,200.0,15,47,645,-1187.2873761,-0.0009767118805029894,0.9189605712890625,140,0.003759765625,2596.316650390625,0.2,0.0018476985,0.0003,0.0002281665802001953,-1.3227492343634366,5540.903805541992
32768,200.0,16,51,641,-1177.19679444,-0.0007557356511824764,0.9253488183021545,150,0.011328125,2643.036376953125,0.2,0.0026652622,0.0003,0.00024253129959106445,-1.3390954054892064,5616.953080749512
34816,200.0,17,54,634,-1158.22534303,-0.0029462695129041094,0.9389567971229553,160,0.0119140625,2442.705322265625,0.2,0.0032595913,0.0003,0.00021845102310180664,-1.3500142738223075,7117.951319885254
36864,200.0,18,58,630,-1139.6663622,-0.0024599886892247014,0.9406607747077942,170,0.040087890625,1884.484619140625,0.2,0.005172408,0.0003,0.0001983642578125,-1.356592833250761,4941.578739929199
38912,200.0,19,61,630,-1153.12569386,-0.001098830410046503,0.9658940434455872,180,0.005078125,2101.108154296875,0.2,0.0015470446,0.0003,0.0001595020294189453,-1.3730758979916573,4942.069058990479
40960,200.0,20,64,630,-1163.64247467,-0.001370336564286845,0.9392570853233337,190,0.00546875,3418.802978515625,0.2,0.00247759,0.0003,7.998943328857422e-05,-1.370524750649929,7172.0955459594725
43008,200.0,21,68,631,-1167.94055839,-0.002635945231304504,0.9323723912239075,200,0.0310546875,3151.279541015625,0.2,0.0050656716,0.0003,5.251169204711914e-05,-1.3526193108409643,6465.589022827148
45056,200.0,22,71,633,-1177.1439235399998,-0.0016874288354301824,0.9162228107452393,210,0.01201171875,2423.95263671875,0.2,0.0030220868,0.0003,0.0001068115234375,-1.3409808296710253,5368.974137115479
47104,200.0,23,74,634,-1181.95332131,-0.001242976961657405,0.9231126308441162,220,0.010693359375,2502.4267578125,0.2,0.0023429217,0.0003,9.262561798095703e-05,-1.3352032590657472,5025.386156463623
49152,200.0,24,77,635,-1172.94928502,-0.0020744034482049756,0.9183225035667419,230,0.018017578125,1911.7452392578125,0.2,0.0029039942,0.0003,7.271766662597656e-05,-1.3364600464701653,3984.274018859863
51200,200.0,25,80,636,-1161.80292979,-0.001105289370752871,0.9132130742073059,240,0.017626953125,1830.2493896484375,0.2,0.0025485128,0.0003,5.555152893066406e-05,-1.3311701577156783,3742.6640235900877
53248,200.0,26,83,637,-1162.97780038,0.00010283521696692332,0.912487804889679,250,0.00556640625,1788.212890625,0.2,0.0009632091,0.0003,4.225969314575195e-05,-1.327984356507659,3851.2542930603026
55296,200.0,27,86,637,-1174.30975691,-0.00278626857616473,0.9180322885513306,260,0.033935546875,2015.6910400390625,0.2,0.0048260465,0.0003,3.0994415283203125e-05,-1.3294672057032586,4517.04725112915
57344,200.0,28,89,638,-1167.79206164,-0.0026581220765365286,0.9065913558006287,270,0.011669921875,2141.44287109375,0.2,0.0024408782,0.0003,2.4378299713134766e-05,-1.328355300799012,4700.092344665527
59392,200.0,29,92,639,-1161.60476128,-0.0025743365047674162,0.9016510844230652,280,0.027587890625,1831.054931640625,0.2,0.0036594241,0.0003,2.4557113647460938e-05,-1.3189812943339347,3926.43856048584
61440,200.0,30,95,640,-1135.2010797499997,-0.0030187120188202242,0.9182351231575012,290,0.02421875,1877.0430908203125,0.2,0.0026215198,0.0003,2.1457672119140625e-05,-1.3259852726012469,3963.7118751525877
63488,200.0,31,99,640,-1129.1605692100002,-0.002049317969067488,0.9116160869598389,300,0.029345703125,1419.3819580078125,0.2,0.004580634,0.0003,2.2649765014648438e-05,-1.3295359622687102,3048.0398597717285
65536,200.0,32,102,641,-1123.49651421,-0.004758997551834909,0.9121699333190918,310,0.05419921875,1608.987060546875,0.2,0.0059028836,0.0003,2.0682811737060547e-05,-1.326585241779685,3096.7092674255373
67584,200.0,33,105,642,-1142.80022462,-0.002072335708362516,0.9048506617546082,320,0.027685546875,1550.55224609375,0.2,0.0035157916,0.0003,1.5556812286376953e-05,-1.3230622209608556,3534.6280632019043
69632,200.0,34,108,643,-1148.48916314,-0.0007046376820653677,0.8958960771560669,330,0.012548828125,2255.908935546875,0.2,0.0015023311,0.0003,1.0251998901367188e-05,-1.3153479997068644,4248.172449493408
71680,200.0,35,111,643,-1145.0181135600003,-0.002232125109003391,0.88524329662323,340,0.0158203125,1523.0223388671875,0.2,0.0022198285,0.0003,1.2755393981933594e-05,-1.3026324026286602,3469.729135131836
73728,200.0,36,114,644,-1131.85549997,-0.0015185178417596035,0.8688746094703674,350,0.01181640625,1154.84423828125,0.2,0.0023105876,0.0003,1.1026859283447266e-05,-1.2866503976285457,2653.449446105957
