time/total_timesteps,train/actor_loss,time/episodes,time/fps,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/critic_loss,train/ent_coef
800,16.213409423828125,4,52,-1162.5780650000002,0.0003,-0.32448744773864746,200.0,15,699,0.20446926355361938,0.8133768439292908
1600,43.249412536621094,8,47,-1415.77636675,0.0003,-0.6206682324409485,200.0,33,1499,0.1961812973022461,0.6477993130683899
2400,62.381309509277344,12,46,-1344.8646008333333,0.0003,-0.6547397971153259,200.0,51,2299,0.25712642073631287,0.5291488170623779
3200,67.97225189208984,16,45,-1104.71913675,0.0003,-0.38631322979927063,200.0,69,3099,0.2887358069419861,0.452807754278183
4000,73.70161437988281,20,45,-909.9140212,0.0003,-0.5100092887878418,200.0,87,3899,0.4439815282821655,0.3900836706161499
4800,59.309104919433594,24,46,-794.7058814166667,0.0003,-0.8249751329421997,200.0,103,4699,0.7327536344528198,0.32908040285110474
5600,69.38996124267578,28,46,-747.5659957857142,0.0003,-0.6260461211204529,200.0,120,5499,1.469717025756836,0.2725693881511688
6400,68.9549331665039,32,46,-694.9214051250001,0.0003,-0.5525571703910828,200.0,137,6299,2.7121429443359375,0.22589920461177826
7200,66.60303497314453,36,46,-634.8225655833334,0.0003,-0.5603451132774353,200.0,154,7099,3.0756049156188965,0.1876683235168457
8000,63.9215087890625,40,46,-586.9586685249999,0.0003,-0.24939677119255066,200.0,171,7899,2.139707088470459,0.15725384652614594
8800,60.10821533203125,44,46,-552.6058347045454,0.0003,-0.30054861307144165,200.0,188,8699,4.122541427612305,0.13310711085796356
9600,50.527950286865234,48,46,-518.9869562916666,0.0003,-0.4271417260169983,200.0,204,9499,3.2688653469085693,0.11253277957439423
10400,48.832950592041016,52,46,-490.5681692307693,0.0003,-0.584510862827301,200.0,221,10299,2.037261486053467,0.09442077577114105
11200,54.986629486083984,56,46,-466.21810300000004,0.0003,-0.5807477235794067,200.0,238,11099,2.6978225708007812,0.07937455177307129
12000,42.13026428222656,60,46,-445.4375118333334,0.0003,-0.8854773044586182,200.0,255,11899,1.7532649040222168,0.06783714145421982
12800,45.365333557128906,64,46,-430.990280328125,0.0003,0.21608570218086243,200.0,272,12699,2.7306058406829834,0.06566857546567917
13600,43.82658767700195,68,47,-413.31114786764704,0.0003,-0.44901376962661743,200.0,289,13499,1.1077990531921387,0.06293529272079468
14400,45.020469665527344,72,47,-398.83797358333334,0.0003,0.6881733536720276,200.0,306,14299,1.4938459396362305,0.06349099427461624
15200,48.84690475463867,76,47,-384.5659904868421,0.0003,0.45645642280578613,200.0,322,15099,1.033107042312622,0.06287942826747894
16000,40.96378707885742,80,47,-371.57518730000004,0.0003,-0.01656942069530487,200.0,339,15899,1.123578667640686,0.05596539005637169
16800,41.294837951660156,84,47,-359.7145218928572,0.0003,0.3013238310813904,200.0,356,16699,0.9089254140853882,0.0547659732401371
17600,32.02838897705078,88,47,-349.56203017045453,0.0003,0.10217132419347763,200.0,373,17499,0.6014012098312378,0.05933631956577301
18400,33.437652587890625,92,47,-341.06991342391296,0.0003,0.19673191010951996,200.0,390,18299,0.6129811406135559,0.060464974492788315
19200,30.25909423828125,96,47,-331.8798734375,0.0003,-0.19152121245861053,200.0,407,19099,0.855739176273346,0.0608544759452343
20000,27.488025665283203,100,47,-325.46604465,0.0003,-0.5596988797187805,200.0,424,19899,0.42218244075775146,0.062058642506599426
20800,32.7663688659668,104,47,-280.34463724,0.0003,0.7416375875473022,200.0,441,20699,0.3644352853298187,0.060240488499403
21600,36.91592025756836,108,47,-219.83251174,0.0003,0.3021416664123535,200.0,458,21499,0.7709412574768066,0.057880647480487823
22400,30.20269203186035,112,47,-180.04169512,0.0003,0.5645428895950317,200.0,475,22299,1.34263014793396,0.056192297488451004
23200,33.72809600830078,116,47,-172.01583204999994,0.0003,0.08474764227867126,200.0,492,23099,0.6027772426605225,0.05194950848817825
24000,26.041662216186523,120,47,-169.33802456999993,0.0003,-0.2987610101699829,200.0,509,23899,1.0712687969207764,0.04826190695166588
24800,31.177610397338867,124,47,-167.67780164999996,0.0003,0.10136591643095016,200.0,526,24699,0.8930070400238037,0.046152472496032715
25600,23.01873016357422,128,47,-157.38753124000002,0.0003,0.08153465390205383,200.0,543,25499,0.7924528121948242,0.04401460289955139
26400,35.51295852661133,132,47,-150.48760654,0.0003,-0.10363863408565521,200.0,560,26299,0.5493787527084351,0.043856848031282425
27200,24.25166130065918,136,47,-151.51207078999997,0.0003,-0.7918413281440735,200.0,577,27099,0.5972834825515747,0.04151145741343498
28000,25.65591049194336,140,47,-151.32727470999998,0.0003,0.8861454129219055,200.0,594,27899,1.0380359888076782,0.03870266675949097
28800,24.897480010986328,144,47,-147.92862146000002,0.0003,-0.44242024421691895,200.0,610,28699,0.6275051832199097,0.037712763994932175
29600,25.4593505859375,148,47,-146.73266621000002,0.0003,0.020218342542648315,200.0,627,29499,0.46852588653564453,0.03582144156098366
30400,19.518428802490234,152,47,-146.89927168000003,0.0003,-0.14087915420532227,200.0,644,30299,0.3994882106781006,0.036902327090501785
31200,32.28185272216797,156,47,-144.53210987000003,0.0003,-0.11480186879634857,200.0,661,31099,0.6765849590301514,0.036901552230119705
32000,28.228923797607422,160,47,-146.94324276,0.0003,0.17629465460777283,200.0,678,31899,0.7070111036300659,0.03578207641839981
32800,19.04056739807129,164,47,-143.38776113,0.0003,-0.49489641189575195,200.0,695,32699,0.42337048053741455,0.034561529755592346
33600,20.991506576538086,168,47,-145.24151613,0.0003,-0.25843119621276855,200.0,712,33499,0.4794253706932068,0.03311161324381828
34400,20.793424606323242,172,47,-144.76047002000004,0.0003,-0.6446915864944458,200.0,729,34299,0.34838032722473145,0.032009758055210114
35200,29.43486976623535,176,47,-144.55330417,0.0003,0.21762597560882568,200.0,746,35099,0.6134337186813354,0.031457025557756424
36000,27.68745231628418,180,47,-145.67558775,0.0003,0.21587830781936646,200.0,763,35899,0.6993004083633423,0.03031359240412712
36800,25.07952117919922,184,47,-146.7788563,0.0003,0.024207763373851776,200.0,779,36699,0.8416337966918945,0.029959870502352715
37600,28.068565368652344,188,47,-147.35002444,0.0003,0.6708866357803345,200.0,796,37499,0.9619331359863281,0.02792324125766754
38400,21.93868064880371,192,47,-146.20109927,0.0003,-0.43060633540153503,200.0,813,38299,0.37353676557540894,0.02687535248696804
39200,27.153533935546875,196,47,-146.31634852,0.0003,0.18693487346172333,200.0,830,39099,1.1166150569915771,0.027048295363783836
40000,19.73245620727539,200,47,-146.8268894,0.0003,0.09969840943813324,200.0,847,39899,0.5886370539665222,0.024969179183244705
40800,19.33113670349121,204,47,-150.4629826,0.0003,0.3166278004646301,200.0,864,40699,0.6506288051605225,0.027055280283093452
41600,22.824539184570312,208,47,-150.26622352,0.0003,-0.18649762868881226,200.0,881,41499,0.6983112096786499,0.027405787259340286
42400,19.637039184570312,212,47,-145.68297755,0.0003,-0.9064379930496216,200.0,898,42299,0.5864145159721375,0.027132241055369377
43200,22.40312957763672,216,47,-144.34692535,0.0003,-0.28584903478622437,200.0,915,43099,0.43743354082107544,0.027112234383821487
44000,20.12494468688965,220,47,-146.69008573,0.0003,-0.025183483958244324,200.0,932,43899,0.7706518173217773,0.025716735050082207
44800,14.216142654418945,224,47,-143.32029047999998,0.0003,-0.9147570729255676,200.0,949,44699,0.5491111278533936,0.024713365361094475
45600,32.50507354736328,228,47,-141.0236227,0.0003,0.6828179955482483,200.0,966,45499,0.7565414309501648,0.022965455427765846
46400,15.805102348327637,232,47,-141.00624778,0.0003,-0.5420061349868774,200.0,983,46299,0.34017112851142883,0.021639244630932808
47200,23.496814727783203,236,47,-136.27198733,0.0003,0.7218498587608337,200.0,1000,47099,0.5611782073974609,0.02080201916396618
48000,23.433637619018555,240,47,-133.91338285,0.0003,-0.4993113875389099,200.0,1017,47899,0.2547040581703186,0.01868465356528759
48800,20.061203002929688,244,47,-132.5983525,0.0003,-1.2419178485870361,200.0,1034,48699,0.4743416905403137,0.018410401418805122
49600,19.069580078125,248,47,-132.66927194,0.0003,1.055618405342102,200.0,1052,49499,0.6650879979133606,0.017644282430410385
