time/total_timesteps,train/actor_loss,train/n_updates,time/episodes,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,train/learning_rate,time/fps,rollout/ep_len_mean
800,15.723409652709961,699,4,15,0.03624459356069565,-1439.38919375,0.001,50,200.0
1600,27.74188804626465,1499,8,35,0.033479124307632446,-1475.893889125,0.001,45,200.0
2400,41.199649810791016,2299,12,70,0.04822283983230591,-1465.6848774999999,0.001,34,200.0
3200,52.735050201416016,3099,16,122,0.08819280564785004,-1440.6007306249999,0.001,26,200.0
4000,61.925140380859375,3899,20,158,0.17516809701919556,-1374.4975404,0.001,25,200.0
4800,70.94908142089844,4699,24,188,0.2876250147819519,-1293.9923481666667,0.001,25,200.0
5600,73.85569763183594,5499,28,215,0.4480655789375305,-1195.7905984642857,0.001,26,200.0
6400,75.8032455444336,6299,32,237,0.5683510899543762,-1094.7349648125,0.001,26,200.0
7200,79.67695617675781,7099,36,255,1.086729884147644,-1001.0102339722222,0.001,28,200.0
8000,75.15232849121094,7899,40,270,1.004192590713501,-916.2719748000002,0.001,29,200.0
8800,75.75127410888672,8699,44,286,0.8784806728363037,-844.017935818182,0.001,30,200.0
9600,66.47467803955078,9499,48,302,1.6289585828781128,-781.1838022916667,0.001,31,200.0
10400,76.3796615600586,10299,52,318,1.1675137281417847,-735.0210722884616,0.001,32,200.0
11200,71.1072998046875,11099,56,336,1.670121431350708,-689.0016760357142,0.001,33,200.0
12000,77.0262222290039,11899,60,355,2.35174822807312,-651.0317688,0.001,33,200.0
12800,63.43659973144531,12699,64,374,1.4158425331115723,-621.638080234375,0.001,34,200.0
13600,63.019691467285156,13499,68,395,1.318516731262207,-596.64869175,0.001,34,200.0
14400,64.0504150390625,14299,72,413,6.140841484069824,-571.755590875,0.001,34,200.0
15200,70.53372955322266,15099,76,429,0.9654416441917419,-553.3597566447368,0.001,35,200.0
16000,64.6700668334961,15899,80,447,1.8707828521728516,-531.7142860625002,0.001,35,200.0
16800,65.29948425292969,16699,84,463,2.0129480361938477,-514.6310111904763,0.001,36,200.0
17600,63.429176330566406,17499,88,479,2.0070700645446777,-496.7627685,0.001,36,200.0
18400,57.78302764892578,18299,92,501,2.6021385192871094,-482.76135113043483,0.001,36,200.0
19200,55.469093322753906,19099,96,523,1.519115686416626,-467.7966004166667,0.001,36,200.0
20000,53.78728485107422,19899,100,546,1.1238553524017334,-452.67730603999996,0.001,36,200.0
20800,55.123756408691406,20699,104,569,5.243324279785156,-399.9544716599999,0.001,36,200.0
21600,52.02180099487305,21499,108,592,3.3742973804473877,-345.57605004000004,0.001,36,200.0
22400,49.363712310791016,22299,112,610,2.4443507194519043,-294.67374883,0.001,36,200.0
23200,52.80610656738281,23099,116,629,2.5673060417175293,-244.93062911999996,0.001,36,200.0
24000,42.79591751098633,23899,120,649,3.2344112396240234,-207.67644333,0.001,36,200.0
24800,37.65751647949219,24699,124,667,3.980374813079834,-178.46461827,0.001,37,200.0
25600,46.153568267822266,25499,128,686,1.3250964879989624,-159.01888762000002,0.001,37,200.0
26400,46.20460891723633,26299,132,705,4.385295867919922,-145.90966243,0.001,37,200.0
27200,40.6861457824707,27099,136,725,2.5829334259033203,-143.01510643,0.001,37,200.0
28000,39.12389373779297,27899,140,746,2.131195545196533,-146.55286587999998,0.001,37,200.0
28800,43.54705810546875,28699,144,766,1.0184690952301025,-148.54333752,0.001,37,200.0
29600,47.01943588256836,29499,148,787,1.161844253540039,-149.73823166000003,0.001,37,200.0
30400,36.98890686035156,30299,152,808,2.0897722244262695,-149.63059893,0.001,37,200.0
31200,42.12236022949219,31099,156,830,1.6838998794555664,-153.04649452,0.001,37,200.0
32000,35.775306701660156,31899,160,852,1.9710134267807007,-154.95097926,0.001,37,200.0
32800,30.91734504699707,32699,164,869,9.362068176269531,-152.39969905,0.001,37,200.0
33600,34.88523483276367,33499,168,888,2.431905746459961,-148.06731136,0.001,37,200.0
34400,35.58469772338867,34299,172,911,3.6970043182373047,-147.96513223999997,0.001,37,200.0
35200,45.04206085205078,35099,176,936,1.3397916555404663,-142.66548673,0.001,37,200.0
36000,37.56093978881836,35899,180,959,2.790205717086792,-142.62205509,0.001,37,200.0
