rollout/ep_len_mean,time/episodes,train/n_updates,rollout/ep_rew_mean,train/critic_loss,train/actor_loss,time/total_timesteps,train/learning_rate,time/fps,time/time_elapsed
200.0,4,699,-1483.84835575,0.05801713839173317,16.553163528442383,800,0.001,61,13
200.0,8,1499,-1462.079347375,0.03856112062931061,27.967138290405273,1600,0.001,55,28
200.0,12,2299,-1425.09112425,0.060139577835798264,40.76795196533203,2400,0.001,53,44
200.0,16,3099,-1343.8159791875,0.18177911639213562,49.93918228149414,3200,0.001,52,60
200.0,20,3899,-1209.2070676999997,0.15022507309913635,56.24158477783203,4000,0.001,52,76
200.0,24,4699,-1109.3811660416666,0.522311806678772,61.738826751708984,4800,0.001,52,92
200.0,28,5499,-1016.6830196785712,0.4968005120754242,62.755428314208984,5600,0.001,51,108
200.0,32,6299,-938.05385503125,0.6178411841392517,66.3790283203125,6400,0.001,51,123
200.0,36,7099,-869.8862869722223,0.7108606100082397,73.11752319335938,7200,0.001,51,139
200.0,40,7899,-824.58471185,1.2262449264526367,71.85531616210938,8000,0.001,51,155
200.0,44,8699,-767.2440689545455,1.412771463394165,74.58140563964844,8800,0.001,51,171
200.0,48,9499,-719.3737144791667,1.5769010782241821,70.65689849853516,9600,0.001,51,187
200.0,52,10299,-673.5861885576923,2.2864274978637695,68.62543487548828,10400,0.001,51,203
200.0,56,11099,-640.7406827678572,2.6880147457122803,65.13375854492188,11200,0.001,51,219
200.0,60,11899,-606.0932954666666,3.316312074661255,60.731502532958984,12000,0.001,50,235
200.0,64,12699,-583.722533296875,6.672824382781982,68.01173400878906,12800,0.001,50,251
200.0,68,13499,-560.2720848529412,9.35012435913086,63.605106353759766,13600,0.001,50,267
200.0,72,14299,-538.9841831250001,2.100485324859619,62.04671096801758,14400,0.001,50,282
200.0,76,15099,-518.69156025,4.210053443908691,62.33938980102539,15200,0.001,50,298
200.0,80,15899,-501.2131571874999,5.285669803619385,70.74024963378906,16000,0.001,50,314
200.0,84,16699,-480.31314277380943,14.258724212646484,60.090606689453125,16800,0.001,50,330
200.0,88,17499,-466.77840015909084,8.860652923583984,61.020835876464844,17600,0.001,50,346
200.0,92,18299,-455.4616015,3.4715991020202637,51.127506256103516,18400,0.001,50,362
200.0,96,19099,-445.42542331249996,7.762679100036621,65.3703842163086,19200,0.001,50,378
200.0,100,19899,-432.53253100999996,15.040431022644043,57.386756896972656,20000,0.001,50,394
200.0,104,20699,-382.55755818,6.544304847717285,63.159706115722656,20800,0.001,50,410
200.0,108,21499,-331.03072655999995,4.374264717102051,56.76353454589844,21600,0.001,50,425
200.0,112,22299,-281.82381446000005,11.252140045166016,52.166805267333984,22400,0.001,50,441
200.0,116,23099,-242.57757069,10.895099639892578,54.40449523925781,23200,0.001,50,457
200.0,120,23899,-224.42358852000004,11.09072494506836,47.972984313964844,24000,0.001,50,473
200.0,124,24699,-204.85157634000004,22.9376277923584,52.17353820800781,24800,0.001,50,489
200.0,128,25499,-191.1696515,3.0975029468536377,61.03558349609375,25600,0.001,50,505
200.0,132,26299,-181.84760982,9.305370330810547,60.82283020019531,26400,0.001,50,521
200.0,136,27099,-172.52674639,7.696689605712891,45.254337310791016,27200,0.001,50,537
200.0,140,27899,-158.26704036,6.004454612731934,46.731170654296875,28000,0.001,50,553
200.0,144,28699,-155.54964715000003,6.394419193267822,47.659122467041016,28800,0.001,50,569
200.0,148,29499,-155.30879760000002,3.7869980335235596,43.30674743652344,29600,0.001,50,585
